inflasi,kelompok,tahun,bulan
5.84,"Makanan, Minuman dan Tembakau",2024,Januari
6.36,"Makanan, Minuman dan Tembakau",2024,Februari
7.43,"Makanan, Minuman dan Tembakau",2024,Maret
7.04,"Makanan, Minuman dan Tembakau",2024,April
6.18,"Makanan, Minuman dan Tembakau",2024,Mei
4.95,"Makanan, Minuman dan Tembakau",2024,Juni
3.66,"Makanan, Minuman dan Tembakau",2024,Juli
3.39,"Makanan, Minuman dan Tembakau",2024,Agustus
5.84,Makanan,2024,Januari
6.73,Makanan,2024,Februari
8.09,Makanan,2024,Maret
7.65,Makanan,2024,April
6.62,Makanan,2024,Mei
5.11,Makanan,2024,Juni
3.43,Makanan,2024,Juli
2.98,Makanan,2024,Agustus
2.79,Minuman yang Tidak Beralkohol,2024,Januari
2.64,Minuman yang Tidak Beralkohol,2024,Februari
2.77,Minuman yang Tidak Beralkohol,2024,Maret
2.77,Minuman yang Tidak Beralkohol,2024,April
2.69,Minuman yang Tidak Beralkohol,2024,Mei
2.48,Minuman yang Tidak Beralkohol,2024,Juni
2.89,Minuman yang Tidak Beralkohol,2024,Juli
3.86,Minuman yang Tidak Beralkohol,2024,Agustus
0.03,Minuman Beralkohol,2024,Januari
1.65,Minuman Beralkohol,2024,Februari
1.74,Minuman Beralkohol,2024,Maret
1.74,Minuman Beralkohol,2024,April
1.53,Minuman Beralkohol,2024,Mei
1.44,Minuman Beralkohol,2024,Juni
1.55,Minuman Beralkohol,2024,Juli
1.24,Minuman Beralkohol,2024,Agustus
7.76,Rokok dan Tembakau,2024,Januari
6.34,Rokok dan Tembakau,2024,Februari
6.01,Rokok dan Tembakau,2024,Maret
5.66,Rokok dan Tembakau,2024,April
5.51,Rokok dan Tembakau,2024,Mei
5.49,Rokok dan Tembakau,2024,Juni
5.62,Rokok dan Tembakau,2024,Juli
5.77,Rokok dan Tembakau,2024,Agustus
1.02,Pakaian dan Alas Kaki,2024,Januari
0.9,Pakaian dan Alas Kaki,2024,Februari
0.89,Pakaian dan Alas Kaki,2024,Maret
0.67,Pakaian dan Alas Kaki,2024,April
1.1,Pakaian dan Alas Kaki,2024,Mei
1.09,Pakaian dan Alas Kaki,2024,Juni
0.99,Pakaian dan Alas Kaki,2024,Juli
1.19,Pakaian dan Alas Kaki,2024,Agustus
1.02,Pakaian,2024,Januari
0.87,Pakaian,2024,Februari
0.87,Pakaian,2024,Maret
0.62,Pakaian,2024,April
1.11,Pakaian,2024,Mei
1.08,Pakaian,2024,Juni
1.01,Pakaian,2024,Juli
1.19,Pakaian,2024,Agustus
1.03,Alas Kaki,2024,Januari
1.01,Alas Kaki,2024,Februari
0.92,Alas Kaki,2024,Maret
0.82,Alas Kaki,2024,April
1.11,Alas Kaki,2024,Mei
1.15,Alas Kaki,2024,Juni
0.94,Alas Kaki,2024,Juli
1.16,Alas Kaki,2024,Agustus
0.58,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.55,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.5,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.54,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.47,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.5,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.26,Sewa dan Kontrak Rumah,2024,Januari
1.27,Sewa dan Kontrak Rumah,2024,Februari
1.11,Sewa dan Kontrak Rumah,2024,Maret
1.03,Sewa dan Kontrak Rumah,2024,April
1.13,Sewa dan Kontrak Rumah,2024,Mei
0.99,Sewa dan Kontrak Rumah,2024,Juni
1,Sewa dan Kontrak Rumah,2024,Juli
1,Sewa dan Kontrak Rumah,2024,Agustus
0.81,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.76,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.61,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.59,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.5,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.5,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.54,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0.73,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0.75,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
1.3,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
1.24,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
1.22,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
1.22,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
1.41,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
1.43,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.15,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.19,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.23,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.21,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.23,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.13,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.03,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
