inflasi,kelompok,tahun,bulan
4.49,"Makanan, Minuman dan Tembakau",2024,Januari
5.21,"Makanan, Minuman dan Tembakau",2024,Februari
6.33,"Makanan, Minuman dan Tembakau",2024,Maret
6.38,"Makanan, Minuman dan Tembakau",2024,April
5.25,"Makanan, Minuman dan Tembakau",2024,Mei
3.69,"Makanan, Minuman dan Tembakau",2024,Juni
3.31,"Makanan, Minuman dan Tembakau",2024,Juli
3.23,"Makanan, Minuman dan Tembakau",2024,Agustus
4.31,Makanan,2024,Januari
5.45,Makanan,2024,Februari
6.79,Makanan,2024,Maret
6.89,Makanan,2024,April
5.56,Makanan,2024,Mei
3.79,Makanan,2024,Juni
3.4,Makanan,2024,Juli
3.4,Makanan,2024,Agustus
1.94,Minuman yang Tidak Beralkohol,2024,Januari
1.22,Minuman yang Tidak Beralkohol,2024,Februari
1.29,Minuman yang Tidak Beralkohol,2024,Maret
1.23,Minuman yang Tidak Beralkohol,2024,April
1.2,Minuman yang Tidak Beralkohol,2024,Mei
0.96,Minuman yang Tidak Beralkohol,2024,Juni
0.96,Minuman yang Tidak Beralkohol,2024,Juli
0.85,Minuman yang Tidak Beralkohol,2024,Agustus
7.57,Rokok dan Tembakau,2024,Januari
5.89,Rokok dan Tembakau,2024,Februari
5.9,Rokok dan Tembakau,2024,Maret
5.61,Rokok dan Tembakau,2024,April
5.33,Rokok dan Tembakau,2024,Mei
4.6,Rokok dan Tembakau,2024,Juni
4.06,Rokok dan Tembakau,2024,Juli
3.36,Rokok dan Tembakau,2024,Agustus
1.37,Pakaian dan Alas Kaki,2024,Januari
1.79,Pakaian dan Alas Kaki,2024,Februari
1.6,Pakaian dan Alas Kaki,2024,Maret
1.77,Pakaian dan Alas Kaki,2024,April
1.96,Pakaian dan Alas Kaki,2024,Mei
2.3,Pakaian dan Alas Kaki,2024,Juni
2.05,Pakaian dan Alas Kaki,2024,Juli
1.79,Pakaian dan Alas Kaki,2024,Agustus
0.74,Pakaian,2024,Januari
1.14,Pakaian,2024,Februari
1.32,Pakaian,2024,Maret
