inflasi,kelompok,tahun,bulan
3.73,"Makanan, Minuman dan Tembakau",2024,Januari
2.89,"Makanan, Minuman dan Tembakau",2024,Februari
5.89,"Makanan, Minuman dan Tembakau",2024,Maret
5.11,"Makanan, Minuman dan Tembakau",2024,April
6.1,"Makanan, Minuman dan Tembakau",2024,Mei
5.71,"Makanan, Minuman dan Tembakau",2024,Juni
1.79,"Makanan, Minuman dan Tembakau",2024,Juli
1.52,"Makanan, Minuman dan Tembakau",2024,Agustus
2.23,Makanan,2024,Januari
1.76,Makanan,2024,Februari
5.73,Makanan,2024,Maret
4.63,Makanan,2024,April
6.01,Makanan,2024,Mei
5.5,Makanan,2024,Juni
0.6,Makanan,2024,Juli
-0.28,Makanan,2024,Agustus
0.77,Minuman yang Tidak Beralkohol,2024,Januari
1.81,Minuman yang Tidak Beralkohol,2024,Februari
1.45,Minuman yang Tidak Beralkohol,2024,Maret
1.19,Minuman yang Tidak Beralkohol,2024,April
0.67,Minuman yang Tidak Beralkohol,2024,Mei
0.63,Minuman yang Tidak Beralkohol,2024,Juni
-0.19,Minuman yang Tidak Beralkohol,2024,Juli
-0.05,Minuman yang Tidak Beralkohol,2024,Agustus
12.76,Rokok dan Tembakau,2024,Januari
9.08,Rokok dan Tembakau,2024,Februari
8.33,Rokok dan Tembakau,2024,Maret
8.97,Rokok dan Tembakau,2024,April
8.41,Rokok dan Tembakau,2024,Mei
8.55,Rokok dan Tembakau,2024,Juni
8.28,Rokok dan Tembakau,2024,Juli
11.07,Rokok dan Tembakau,2024,Agustus
8.69,Pakaian dan Alas Kaki,2024,Januari
8.08,Pakaian dan Alas Kaki,2024,Februari
3.02,Pakaian dan Alas Kaki,2024,Maret
-0.88,Pakaian dan Alas Kaki,2024,April
0.73,Pakaian dan Alas Kaki,2024,Mei
0.6,Pakaian dan Alas Kaki,2024,Juni
0.17,Pakaian dan Alas Kaki,2024,Juli
0.72,Pakaian dan Alas Kaki,2024,Agustus
8.37,Pakaian,2024,Januari
7.69,Pakaian,2024,Februari
2.43,Pakaian,2024,Maret
-1.37,Pakaian,2024,April
0.89,Pakaian,2024,Mei
0.73,Pakaian,2024,Juni
0.36,Pakaian,2024,Juli
0.67,Pakaian,2024,Agustus
10.09,Alas Kaki,2024,Januari
9.81,Alas Kaki,2024,Februari
5.67,Alas Kaki,2024,Maret
1.31,Alas Kaki,2024,April
0.05,Alas Kaki,2024,Mei
0.05,Alas Kaki,2024,Juni
-0.62,Alas Kaki,2024,Juli
0.95,Alas Kaki,2024,Agustus
-0.74,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.75,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.6,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
