inflasi,kelompok,tahun,bulan
7.08,"Makanan, Minuman dan Tembakau",2024,Januari
7.01,"Makanan, Minuman dan Tembakau",2024,Februari
7.68,"Makanan, Minuman dan Tembakau",2024,Maret
5.07,"Makanan, Minuman dan Tembakau",2024,April
4.16,"Makanan, Minuman dan Tembakau",2024,Mei
2.75,"Makanan, Minuman dan Tembakau",2024,Juni
2.64,"Makanan, Minuman dan Tembakau",2024,Juli
2.34,"Makanan, Minuman dan Tembakau",2024,Agustus
7.04,Makanan,2024,Januari
7.36,Makanan,2024,Februari
8.06,Makanan,2024,Maret
4.88,Makanan,2024,April
3.87,Makanan,2024,Mei
2.68,Makanan,2024,Juni
2.45,Makanan,2024,Juli
2.05,Makanan,2024,Agustus
11.07,Minuman yang Tidak Beralkohol,2024,Januari
8.93,Minuman yang Tidak Beralkohol,2024,Februari
8.6,Minuman yang Tidak Beralkohol,2024,Maret
7.06,Minuman yang Tidak Beralkohol,2024,April
5.15,Minuman yang Tidak Beralkohol,2024,Mei
-0.09,Minuman yang Tidak Beralkohol,2024,Juni
-0.23,Minuman yang Tidak Beralkohol,2024,Juli
-0.01,Minuman yang Tidak Beralkohol,2024,Agustus
5.13,Rokok dan Tembakau,2024,Januari
3.96,Rokok dan Tembakau,2024,Februari
5.04,Rokok dan Tembakau,2024,Maret
4.95,Rokok dan Tembakau,2024,April
5.19,Rokok dan Tembakau,2024,Mei
4.7,Rokok dan Tembakau,2024,Juni
5.44,Rokok dan Tembakau,2024,Juli
5.39,Rokok dan Tembakau,2024,Agustus
-0.2,Pakaian dan Alas Kaki,2024,Januari
-0.58,Pakaian dan Alas Kaki,2024,Februari
-0.66,Pakaian dan Alas Kaki,2024,Maret
-1.86,Pakaian dan Alas Kaki,2024,April
1.98,Pakaian dan Alas Kaki,2024,Mei
3.6,Pakaian dan Alas Kaki,2024,Juni
3.6,Pakaian dan Alas Kaki,2024,Juli
3.35,Pakaian dan Alas Kaki,2024,Agustus
0.91,Pakaian,2024,Januari
0.43,Pakaian,2024,Februari
0.34,Pakaian,2024,Maret
-0.2,Pakaian,2024,April
2.84,Pakaian,2024,Mei
4.44,Pakaian,2024,Juni
4.39,Pakaian,2024,Juli
3.84,Pakaian,2024,Agustus
-3.6,Alas Kaki,2024,Januari
-3.7,Alas Kaki,2024,Februari
-3.75,Alas Kaki,2024,Maret
-6.93,Alas Kaki,2024,April
-0.76,Alas Kaki,2024,Mei
0.9,Alas Kaki,2024,Juni
1.06,Alas Kaki,2024,Juli
1.72,Alas Kaki,2024,Agustus
0.93,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.88,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.66,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0.45,Sewa dan Kontrak Rumah,2024,Juni
1.86,Sewa dan Kontrak Rumah,2024,Juli
1.86,Sewa dan Kontrak Rumah,2024,Agustus
4.64,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
4.65,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
4.57,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
4.98,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
4.34,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
2.81,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
3.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
3.24,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.52,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.51,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.71,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.71,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0.33,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.24,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.35,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
2.09,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
2.11,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
2.02,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
2.39,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.62,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.06,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
1.74,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
2.57,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
7.05,"Furnitur, Perlengkapan dan Karpet",2024,Januari
6.63,"Furnitur, Perlengkapan dan Karpet",2024,Februari
6.41,"Furnitur, Perlengkapan dan Karpet",2024,Maret
3.54,"Furnitur, Perlengkapan dan Karpet",2024,April
3.84,"Furnitur, Perlengkapan dan Karpet",2024,Mei
3.56,"Furnitur, Perlengkapan dan Karpet",2024,Juni
3.41,"Furnitur, Perlengkapan dan Karpet",2024,Juli
3.73,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.65,Tekstil Rumah Tangga,2024,Januari
0.65,Tekstil Rumah Tangga,2024,Februari
0.65,Tekstil Rumah Tangga,2024,Maret
0.47,Tekstil Rumah Tangga,2024,April
4.52,Tekstil Rumah Tangga,2024,Mei
-0.58,Tekstil Rumah Tangga,2024,Juni
-0.58,Tekstil Rumah Tangga,2024,Juli
-0.58,Tekstil Rumah Tangga,2024,Agustus
3.42,Peralatan Rumah Tangga,2024,Januari
3.31,Peralatan Rumah Tangga,2024,Februari
2.67,Peralatan Rumah Tangga,2024,Maret
0.26,Peralatan Rumah Tangga,2024,April
0.26,Peralatan Rumah Tangga,2024,Mei
1.7,Peralatan Rumah Tangga,2024,Juni
1.75,Peralatan Rumah Tangga,2024,Juli
1.8,Peralatan Rumah Tangga,2024,Agustus
-2.9,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-2.06,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
-2.07,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
2.11,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
6.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
4.78,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
4.85,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
6.86,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
-7.66,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
-7.66,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
-6.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
-5.33,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-5.97,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-5.97,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
-5.42,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0.55,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
2.3,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
2.31,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
2.3,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
3.46,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
1.27,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
0.61,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
1.75,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
2.45,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
3.9,Kesehatan,2024,Januari
3.82,Kesehatan,2024,Februari
3.82,Kesehatan,2024,Maret
4.72,Kesehatan,2024,April
4.65,Kesehatan,2024,Mei
4.28,Kesehatan,2024,Juni
3.81,Kesehatan,2024,Juli
3.73,Kesehatan,2024,Agustus
2.28,Obat-obatan dan Produk Kesehatan,2024,Januari
2.28,Obat-obatan dan Produk Kesehatan,2024,Februari
2.28,Obat-obatan dan Produk Kesehatan,2024,Maret
4.37,Obat-obatan dan Produk Kesehatan,2024,April
4.21,Obat-obatan dan Produk Kesehatan,2024,Mei
3.37,Obat-obatan dan Produk Kesehatan,2024,Juni
3.41,Obat-obatan dan Produk Kesehatan,2024,Juli
