inflasi,kelompok,tahun,bulan
-3.51,"Makanan, Minuman dan Tembakau",2024,Januari
-2.22,"Makanan, Minuman dan Tembakau",2024,Februari
-0.19,"Makanan, Minuman dan Tembakau",2024,Maret
0.28,"Makanan, Minuman dan Tembakau",2024,April
2.07,"Makanan, Minuman dan Tembakau",2024,Mei
1.69,"Makanan, Minuman dan Tembakau",2024,Juni
0.36,"Makanan, Minuman dan Tembakau",2024,Juli
0.89,"Makanan, Minuman dan Tembakau",2024,Agustus
-5,Makanan,2024,Januari
-3.21,Makanan,2024,Februari
-0.67,Makanan,2024,Maret
0.34,Makanan,2024,April
2.37,Makanan,2024,Mei
1.89,Makanan,2024,Juni
0.2,Makanan,2024,Juli
0.87,Makanan,2024,Agustus
2,Minuman yang Tidak Beralkohol,2024,Januari
-0.79,Minuman yang Tidak Beralkohol,2024,Februari
-0.79,Minuman yang Tidak Beralkohol,2024,Maret
-1.49,Minuman yang Tidak Beralkohol,2024,April
1.58,Minuman yang Tidak Beralkohol,2024,Mei
1.58,Minuman yang Tidak Beralkohol,2024,Juni
1.58,Minuman yang Tidak Beralkohol,2024,Juli
1.58,Minuman yang Tidak Beralkohol,2024,Agustus
2.71,Rokok dan Tembakau,2024,Januari
2.71,Rokok dan Tembakau,2024,Februari
2.71,Rokok dan Tembakau,2024,Maret
0.67,Rokok dan Tembakau,2024,April
0.67,Rokok dan Tembakau,2024,Mei
0.67,Rokok dan Tembakau,2024,Juni
0.67,Rokok dan Tembakau,2024,Juli
0.67,Rokok dan Tembakau,2024,Agustus
5.93,Pakaian dan Alas Kaki,2024,Januari
7.27,Pakaian dan Alas Kaki,2024,Februari
7.14,Pakaian dan Alas Kaki,2024,Maret
4.19,Pakaian dan Alas Kaki,2024,April
3.57,Pakaian dan Alas Kaki,2024,Mei
3.57,Pakaian dan Alas Kaki,2024,Juni
3.57,Pakaian dan Alas Kaki,2024,Juli
3.91,Pakaian dan Alas Kaki,2024,Agustus
6.96,Pakaian,2024,Januari
8.58,Pakaian,2024,Februari
8.58,Pakaian,2024,Maret
4.55,Pakaian,2024,April
3.77,Pakaian,2024,Mei
3.78,Pakaian,2024,Juni
3.78,Pakaian,2024,Juli
4.07,Pakaian,2024,Agustus
1.95,Alas Kaki,2024,Januari
2.34,Alas Kaki,2024,Februari
1.69,Alas Kaki,2024,Maret
2.75,Alas Kaki,2024,April
2.75,Alas Kaki,2024,Mei
2.75,Alas Kaki,2024,Juni
2.75,Alas Kaki,2024,Juli
3.26,Alas Kaki,2024,Agustus
-4.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-4.81,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-4.3,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-4.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-4.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-2.13,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-2.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-2.2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0.49,Sewa dan Kontrak Rumah,2024,Februari
0.49,Sewa dan Kontrak Rumah,2024,Maret
0.49,Sewa dan Kontrak Rumah,2024,April
0.49,Sewa dan Kontrak Rumah,2024,Mei
0.49,Sewa dan Kontrak Rumah,2024,Juni
0.49,Sewa dan Kontrak Rumah,2024,Juli
0.49,Sewa dan Kontrak Rumah,2024,Agustus
0.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.56,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.76,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.76,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.76,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.76,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-7.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-7.39,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-6.64,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-6.52,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-6.83,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-3.48,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-3.83,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-3.53,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.69,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
3.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.78,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-1.11,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
