inflasi,kelompok,tahun,bulan
2.25,"Makanan, Minuman dan Tembakau",2024,Januari
9.99,"Makanan, Minuman dan Tembakau",2024,Februari
9.97,"Makanan, Minuman dan Tembakau",2024,Maret
8.53,"Makanan, Minuman dan Tembakau",2024,April
8.6,"Makanan, Minuman dan Tembakau",2024,Mei
8.2,"Makanan, Minuman dan Tembakau",2024,Juni
4.51,"Makanan, Minuman dan Tembakau",2024,Juli
4.56,"Makanan, Minuman dan Tembakau",2024,Agustus
1.65,Makanan,2024,Januari
11.14,Makanan,2024,Februari
11.41,Makanan,2024,Maret
9.56,Makanan,2024,April
9.38,Makanan,2024,Mei
9.18,Makanan,2024,Juni
4.69,Makanan,2024,Juli
4.35,Makanan,2024,Agustus
0.46,Minuman yang Tidak Beralkohol,2024,Januari
0.22,Minuman yang Tidak Beralkohol,2024,Februari
0.32,Minuman yang Tidak Beralkohol,2024,Maret
0.63,Minuman yang Tidak Beralkohol,2024,April
2.23,Minuman yang Tidak Beralkohol,2024,Mei
0.83,Minuman yang Tidak Beralkohol,2024,Juni
0.97,Minuman yang Tidak Beralkohol,2024,Juli
6.27,Minuman yang Tidak Beralkohol,2024,Agustus
7.61,Rokok dan Tembakau,2024,Januari
6.95,Rokok dan Tembakau,2024,Februari
5.04,Rokok dan Tembakau,2024,Maret
5.17,Rokok dan Tembakau,2024,April
6.22,Rokok dan Tembakau,2024,Mei
5.06,Rokok dan Tembakau,2024,Juni
5.02,Rokok dan Tembakau,2024,Juli
5.11,Rokok dan Tembakau,2024,Agustus
5.15,Pakaian dan Alas Kaki,2024,Januari
4.64,Pakaian dan Alas Kaki,2024,Februari
4.05,Pakaian dan Alas Kaki,2024,Maret
2.1,Pakaian dan Alas Kaki,2024,April
2.62,Pakaian dan Alas Kaki,2024,Mei
3.52,Pakaian dan Alas Kaki,2024,Juni
3.17,Pakaian dan Alas Kaki,2024,Juli
3.16,Pakaian dan Alas Kaki,2024,Agustus
5.15,Pakaian,2024,Januari
4.97,Pakaian,2024,Februari
4.44,Pakaian,2024,Maret
2.35,Pakaian,2024,April
2.99,Pakaian,2024,Mei
4.14,Pakaian,2024,Juni
3.86,Pakaian,2024,Juli
3.74,Pakaian,2024,Agustus
5.14,Alas Kaki,2024,Januari
3.38,Alas Kaki,2024,Februari
2.51,Alas Kaki,2024,Maret
1.08,Alas Kaki,2024,April
1.1,Alas Kaki,2024,Mei
0.99,Alas Kaki,2024,Juni
0.39,Alas Kaki,2024,Juli
0.87,Alas Kaki,2024,Agustus
1.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.26,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.37,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.29,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.04,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.35,Sewa dan Kontrak Rumah,2024,Januari
1.35,Sewa dan Kontrak Rumah,2024,Februari
1.35,Sewa dan Kontrak Rumah,2024,Maret
1.35,Sewa dan Kontrak Rumah,2024,April
1.35,Sewa dan Kontrak Rumah,2024,Mei
0.28,Sewa dan Kontrak Rumah,2024,Juni
0.28,Sewa dan Kontrak Rumah,2024,Juli
0.28,Sewa dan Kontrak Rumah,2024,Agustus
0.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.28,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.29,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.87,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.9,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
1.06,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.86,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
