inflasi,kelompok,tahun,bulan
9.97,"Makanan, Minuman dan Tembakau",2024,Januari
9,"Makanan, Minuman dan Tembakau",2024,Februari
9.16,"Makanan, Minuman dan Tembakau",2024,Maret
9.24,"Makanan, Minuman dan Tembakau",2024,April
5.77,"Makanan, Minuman dan Tembakau",2024,Mei
1.36,"Makanan, Minuman dan Tembakau",2024,Juni
1.69,"Makanan, Minuman dan Tembakau",2024,Juli
1.28,"Makanan, Minuman dan Tembakau",2024,Agustus
11.45,Makanan,2024,Januari
10.4,Makanan,2024,Februari
9.91,Makanan,2024,Maret
10.02,Makanan,2024,April
5.65,Makanan,2024,Mei
0.72,Makanan,2024,Juni
0.9,Makanan,2024,Juli
0.38,Makanan,2024,Agustus
1.09,Minuman yang Tidak Beralkohol,2024,Januari
1.19,Minuman yang Tidak Beralkohol,2024,Februari
1.97,Minuman yang Tidak Beralkohol,2024,Maret
1.82,Minuman yang Tidak Beralkohol,2024,April
1.51,Minuman yang Tidak Beralkohol,2024,Mei
1.55,Minuman yang Tidak Beralkohol,2024,Juni
3.25,Minuman yang Tidak Beralkohol,2024,Juli
3.36,Minuman yang Tidak Beralkohol,2024,Agustus
6.5,Rokok dan Tembakau,2024,Januari
4.95,Rokok dan Tembakau,2024,Februari
10.17,Rokok dan Tembakau,2024,Maret
10.11,Rokok dan Tembakau,2024,April
11.44,Rokok dan Tembakau,2024,Mei
7.05,Rokok dan Tembakau,2024,Juni
7.05,Rokok dan Tembakau,2024,Juli
7.05,Rokok dan Tembakau,2024,Agustus
1.16,Pakaian dan Alas Kaki,2024,Januari
0.96,Pakaian dan Alas Kaki,2024,Februari
1.12,Pakaian dan Alas Kaki,2024,Maret
2,Pakaian dan Alas Kaki,2024,April
1.81,Pakaian dan Alas Kaki,2024,Mei
1.82,Pakaian dan Alas Kaki,2024,Juni
2.72,Pakaian dan Alas Kaki,2024,Juli
1.72,Pakaian dan Alas Kaki,2024,Agustus
1.14,Pakaian,2024,Januari
0.88,Pakaian,2024,Februari
1.09,Pakaian,2024,Maret
2.24,Pakaian,2024,April
2.21,Pakaian,2024,Mei
2.26,Pakaian,2024,Juni
3.12,Pakaian,2024,Juli
2,Pakaian,2024,Agustus
1.32,Alas Kaki,2024,Januari
1.33,Alas Kaki,2024,Februari
1.28,Alas Kaki,2024,Maret
0.88,Alas Kaki,2024,April
-0.03,Alas Kaki,2024,Mei
-0.17,Alas Kaki,2024,Juni
0.9,Alas Kaki,2024,Juli
0.43,Alas Kaki,2024,Agustus
0.41,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.49,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.23,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.25,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.63,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
1.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.89,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.31,Sewa dan Kontrak Rumah,2024,Januari
0.31,Sewa dan Kontrak Rumah,2024,Februari
0.31,Sewa dan Kontrak Rumah,2024,Maret
0.31,Sewa dan Kontrak Rumah,2024,April
0.31,Sewa dan Kontrak Rumah,2024,Mei
0.31,Sewa dan Kontrak Rumah,2024,Juni
