inflasi,kelompok,tahun,bulan
4.7,"Makanan, Minuman dan Tembakau",2024,Januari
3.47,"Makanan, Minuman dan Tembakau",2024,Februari
6.34,"Makanan, Minuman dan Tembakau",2024,Maret
7.47,"Makanan, Minuman dan Tembakau",2024,April
9.24,"Makanan, Minuman dan Tembakau",2024,Mei
7.24,"Makanan, Minuman dan Tembakau",2024,Juni
2.48,"Makanan, Minuman dan Tembakau",2024,Juli
1.65,"Makanan, Minuman dan Tembakau",2024,Agustus
4.73,Makanan,2024,Januari
3.51,Makanan,2024,Februari
7.07,Makanan,2024,Maret
8.17,Makanan,2024,April
10.38,Makanan,2024,Mei
7.67,Makanan,2024,Juni
1.76,Makanan,2024,Juli
0.34,Makanan,2024,Agustus
2.52,Minuman yang Tidak Beralkohol,2024,Januari
2.52,Minuman yang Tidak Beralkohol,2024,Februari
2.59,Minuman yang Tidak Beralkohol,2024,Maret
5.2,Minuman yang Tidak Beralkohol,2024,April
5.19,Minuman yang Tidak Beralkohol,2024,Mei
5.19,Minuman yang Tidak Beralkohol,2024,Juni
5.18,Minuman yang Tidak Beralkohol,2024,Juli
5.9,Minuman yang Tidak Beralkohol,2024,Agustus
5.59,Rokok dan Tembakau,2024,Januari
3.53,Rokok dan Tembakau,2024,Februari
3.53,Rokok dan Tembakau,2024,Maret
4.29,Rokok dan Tembakau,2024,April
4.29,Rokok dan Tembakau,2024,Mei
5.48,Rokok dan Tembakau,2024,Juni
5.69,Rokok dan Tembakau,2024,Juli
7.91,Rokok dan Tembakau,2024,Agustus
2.4,Pakaian dan Alas Kaki,2024,Januari
2.4,Pakaian dan Alas Kaki,2024,Februari
1.9,Pakaian dan Alas Kaki,2024,Maret
2.78,Pakaian dan Alas Kaki,2024,April
2.84,Pakaian dan Alas Kaki,2024,Mei
2.84,Pakaian dan Alas Kaki,2024,Juni
2.62,Pakaian dan Alas Kaki,2024,Juli
2.64,Pakaian dan Alas Kaki,2024,Agustus
2.64,Pakaian,2024,Januari
2.64,Pakaian,2024,Februari
2.64,Pakaian,2024,Maret
3.62,Pakaian,2024,April
3.7,Pakaian,2024,Mei
3.7,Pakaian,2024,Juni
3.4,Pakaian,2024,Juli
3.43,Pakaian,2024,Agustus
1.75,Alas Kaki,2024,Januari
1.75,Alas Kaki,2024,Februari
-0.14,Alas Kaki,2024,Maret
0.48,Alas Kaki,2024,April
0.48,Alas Kaki,2024,Mei
0.48,Alas Kaki,2024,Juni
0.48,Alas Kaki,2024,Juli
0.48,Alas Kaki,2024,Agustus
0.42,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.35,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.37,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.34,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.37,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.76,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0.51,Sewa dan Kontrak Rumah,2024,Maret
0.51,Sewa dan Kontrak Rumah,2024,April
0.51,Sewa dan Kontrak Rumah,2024,Mei
0.51,Sewa dan Kontrak Rumah,2024,Juni
0.51,Sewa dan Kontrak Rumah,2024,Juli
1.35,Sewa dan Kontrak Rumah,2024,Agustus
3.46,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
3.47,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
3.89,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
3.94,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
4.28,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
4.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
4.17,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
4.93,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.12,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.26,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-0.46,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.28,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.4,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.78,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.77,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.79,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.43,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-0.1,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0,"Furnitur, Perlengkapan dan Karpet",2024,Maret
1.8,"Furnitur, Perlengkapan dan Karpet",2024,April
1.8,"Furnitur, Perlengkapan dan Karpet",2024,Mei
1.8,"Furnitur, Perlengkapan dan Karpet",2024,Juni
1.8,"Furnitur, Perlengkapan dan Karpet",2024,Juli
4.17,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0,Tekstil Rumah Tangga,2024,Januari
0,Tekstil Rumah Tangga,2024,Februari
0,Tekstil Rumah Tangga,2024,Maret
0,Tekstil Rumah Tangga,2024,April
0,Tekstil Rumah Tangga,2024,Mei
0,Tekstil Rumah Tangga,2024,Juni
0,Tekstil Rumah Tangga,2024,Juli
0,Tekstil Rumah Tangga,2024,Agustus
0,Peralatan Rumah Tangga,2024,Januari
0,Peralatan Rumah Tangga,2024,Februari
0,Peralatan Rumah Tangga,2024,Maret
-0.25,Peralatan Rumah Tangga,2024,April
-0.25,Peralatan Rumah Tangga,2024,Mei
-0.25,Peralatan Rumah Tangga,2024,Juni
3.07,Peralatan Rumah Tangga,2024,Juli
3.07,Peralatan Rumah Tangga,2024,Agustus
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
3.85,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
-0.85,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
-0.6,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
-0.77,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
-1.39,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-1.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
-1.41,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-1.46,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-1.18,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
0,Kesehatan,2024,Januari
0.45,Kesehatan,2024,Februari
0.45,Kesehatan,2024,Maret
0.74,Kesehatan,2024,April
0.74,Kesehatan,2024,Mei
0.89,Kesehatan,2024,Juni
1.32,Kesehatan,2024,Juli
1.32,Kesehatan,2024,Agustus
0,Obat-obatan dan Produk Kesehatan,2024,Januari
0.99,Obat-obatan dan Produk Kesehatan,2024,Februari
0.99,Obat-obatan dan Produk Kesehatan,2024,Maret
0.99,Obat-obatan dan Produk Kesehatan,2024,April
0.99,Obat-obatan dan Produk Kesehatan,2024,Mei
1.29,Obat-obatan dan Produk Kesehatan,2024,Juni
1.29,Obat-obatan dan Produk Kesehatan,2024,Juli
1.29,Obat-obatan dan Produk Kesehatan,2024,Agustus
0,Jasa Rawat Jalan,2024,Januari
0,Jasa Rawat Jalan,2024,Februari
0,Jasa Rawat Jalan,2024,Maret
0,Jasa Rawat Jalan,2024,April
0,Jasa Rawat Jalan,2024,Mei
0,Jasa Rawat Jalan,2024,Juni
1.7,Jasa Rawat Jalan,2024,Juli
1.7,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
0,Jasa Kesehatan Lainnya,2024,Januari
0,Jasa Kesehatan Lainnya,2024,Februari
0,Jasa Kesehatan Lainnya,2024,Maret
12.5,Jasa Kesehatan Lainnya,2024,April
12.5,Jasa Kesehatan Lainnya,2024,Mei
12.5,Jasa Kesehatan Lainnya,2024,Juni
12.5,Jasa Kesehatan Lainnya,2024,Juli
12.5,Jasa Kesehatan Lainnya,2024,Agustus
0.03,Transportasi,2024,Januari
0.01,Transportasi,2024,Februari
0,Transportasi,2024,Maret
0.23,Transportasi,2024,April
0.04,Transportasi,2024,Mei
0.21,Transportasi,2024,Juni
-0.06,Transportasi,2024,Juli
0.09,Transportasi,2024,Agustus
0,Pembelian Kendaraan,2024,Januari
0,Pembelian Kendaraan,2024,Februari
0,Pembelian Kendaraan,2024,Maret
0,Pembelian Kendaraan,2024,April
0,Pembelian Kendaraan,2024,Mei
1.34,Pembelian Kendaraan,2024,Juni
1.34,Pembelian Kendaraan,2024,Juli
1.46,Pembelian Kendaraan,2024,Agustus
-0.26,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
-0.22,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
-0.22,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
-0.14,Pengoperasian Peralatan Transportasi Pribadi,2024,April
-0.14,Pengoperasian Peralatan Transportasi Pribadi,2024,Mei
-0.14,Pengoperasian Peralatan Transportasi Pribadi,2024,Juni
-0.31,Pengoperasian Peralatan Transportasi Pribadi,2024,Juli
-0.13,Pengoperasian Peralatan Transportasi Pribadi,2024,Agustus
1.24,Jasa Angkutan Penumpang,2024,Januari
0.95,Jasa Angkutan Penumpang,2024,Februari
0.9,Jasa Angkutan Penumpang,2024,Maret
1.95,Jasa Angkutan Penumpang,2024,April
0.8,Jasa Angkutan Penumpang,2024,Mei
0.85,Jasa Angkutan Penumpang,2024,Juni
-0.07,Jasa Angkutan Penumpang,2024,Juli
-0.02,Jasa Angkutan Penumpang,2024,Agustus
0,Jasa Pengiriman Barang,2024,Januari
0,Jasa Pengiriman Barang,2024,Februari
0,Jasa Pengiriman Barang,2024,Maret
0,Jasa Pengiriman Barang,2024,April
0,Jasa Pengiriman Barang,2024,Mei
0,Jasa Pengiriman Barang,2024,Juni
0,Jasa Pengiriman Barang,2024,Juli
