inflasi,kelompok,tahun,bulan
3.3,"Makanan, Minuman dan Tembakau",2024,Januari
5.48,"Makanan, Minuman dan Tembakau",2024,Februari
7.83,"Makanan, Minuman dan Tembakau",2024,Maret
8.82,"Makanan, Minuman dan Tembakau",2024,April
8.43,"Makanan, Minuman dan Tembakau",2024,Mei
9.21,"Makanan, Minuman dan Tembakau",2024,Juni
3.61,"Makanan, Minuman dan Tembakau",2024,Juli
5.87,"Makanan, Minuman dan Tembakau",2024,Agustus
3.97,Makanan,2024,Januari
6.69,Makanan,2024,Februari
9.63,Makanan,2024,Maret
10.87,Makanan,2024,April
10.1,Makanan,2024,Mei
10.29,Makanan,2024,Juni
3.31,Makanan,2024,Juli
6.11,Makanan,2024,Agustus
0,Minuman yang Tidak Beralkohol,2024,Januari
0,Minuman yang Tidak Beralkohol,2024,Februari
0,Minuman yang Tidak Beralkohol,2024,Maret
0.11,Minuman yang Tidak Beralkohol,2024,April
6.19,Minuman yang Tidak Beralkohol,2024,Mei
7.4,Minuman yang Tidak Beralkohol,2024,Juni
7.45,Minuman yang Tidak Beralkohol,2024,Juli
7.45,Minuman yang Tidak Beralkohol,2024,Agustus
0.67,Rokok dan Tembakau,2024,Januari
0.67,Rokok dan Tembakau,2024,Februari
0.67,Rokok dan Tembakau,2024,Maret
0.72,Rokok dan Tembakau,2024,April
0.72,Rokok dan Tembakau,2024,Mei
4.27,Rokok dan Tembakau,2024,Juni
4.27,Rokok dan Tembakau,2024,Juli
4.27,Rokok dan Tembakau,2024,Agustus
1.7,Pakaian dan Alas Kaki,2024,Januari
1.73,Pakaian dan Alas Kaki,2024,Februari
2.52,Pakaian dan Alas Kaki,2024,Maret
3.23,Pakaian dan Alas Kaki,2024,April
3.31,Pakaian dan Alas Kaki,2024,Mei
3.37,Pakaian dan Alas Kaki,2024,Juni
3.17,Pakaian dan Alas Kaki,2024,Juli
2.81,Pakaian dan Alas Kaki,2024,Agustus
2.19,Pakaian,2024,Januari
2.19,Pakaian,2024,Februari
3.13,Pakaian,2024,Maret
4,Pakaian,2024,April
4.09,Pakaian,2024,Mei
4.11,Pakaian,2024,Juni
3.87,Pakaian,2024,Juli
3.21,Pakaian,2024,Agustus
-0.49,Alas Kaki,2024,Januari
-0.29,Alas Kaki,2024,Februari
-0.26,Alas Kaki,2024,Maret
-0.26,Alas Kaki,2024,April
-0.26,Alas Kaki,2024,Mei
-0.04,Alas Kaki,2024,Juni
-0.04,Alas Kaki,2024,Juli
0.95,Alas Kaki,2024,Agustus
0.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.87,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.87,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.87,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.82,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.73,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.73,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
