inflasi,kelompok,tahun,bulan
7.48,"Makanan, Minuman dan Tembakau",2024,Januari
8.24,"Makanan, Minuman dan Tembakau",2024,Februari
9.19,"Makanan, Minuman dan Tembakau",2024,Maret
7.35,"Makanan, Minuman dan Tembakau",2024,April
4.9,"Makanan, Minuman dan Tembakau",2024,Mei
5.52,"Makanan, Minuman dan Tembakau",2024,Juni
4.82,"Makanan, Minuman dan Tembakau",2024,Juli
4.58,"Makanan, Minuman dan Tembakau",2024,Agustus
8.88,Makanan,2024,Januari
9.83,Makanan,2024,Februari
11.04,Makanan,2024,Maret
8.75,Makanan,2024,April
5.75,Makanan,2024,Mei
6.54,Makanan,2024,Juni
5.68,Makanan,2024,Juli
5.34,Makanan,2024,Agustus
2.25,Minuman yang Tidak Beralkohol,2024,Januari
1.96,Minuman yang Tidak Beralkohol,2024,Februari
1.68,Minuman yang Tidak Beralkohol,2024,Maret
1.74,Minuman yang Tidak Beralkohol,2024,April
2.93,Minuman yang Tidak Beralkohol,2024,Mei
2.89,Minuman yang Tidak Beralkohol,2024,Juni
2.33,Minuman yang Tidak Beralkohol,2024,Juli
2.6,Minuman yang Tidak Beralkohol,2024,Agustus
1.34,Rokok dan Tembakau,2024,Januari
1.34,Rokok dan Tembakau,2024,Februari
1.34,Rokok dan Tembakau,2024,Maret
1.34,Rokok dan Tembakau,2024,April
0.34,Rokok dan Tembakau,2024,Mei
0.34,Rokok dan Tembakau,2024,Juni
0.45,Rokok dan Tembakau,2024,Juli
0.77,Rokok dan Tembakau,2024,Agustus
0.02,Pakaian dan Alas Kaki,2024,Januari
0.45,Pakaian dan Alas Kaki,2024,Februari
0.45,Pakaian dan Alas Kaki,2024,Maret
0.88,Pakaian dan Alas Kaki,2024,April
0.85,Pakaian dan Alas Kaki,2024,Mei
1.33,Pakaian dan Alas Kaki,2024,Juni
1.98,Pakaian dan Alas Kaki,2024,Juli
3.31,Pakaian dan Alas Kaki,2024,Agustus
-0.09,Pakaian,2024,Januari
0.31,Pakaian,2024,Februari
0.29,Pakaian,2024,Maret
0.89,Pakaian,2024,April
0.84,Pakaian,2024,Mei
1.51,Pakaian,2024,Juni
2.38,Pakaian,2024,Juli
3.43,Pakaian,2024,Agustus
0.46,Alas Kaki,2024,Januari
1.01,Alas Kaki,2024,Februari
1.02,Alas Kaki,2024,Maret
0.79,Alas Kaki,2024,April
0.85,Alas Kaki,2024,Mei
0.62,Alas Kaki,2024,Juni
0.41,Alas Kaki,2024,Juli
2.84,Alas Kaki,2024,Agustus
-0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.11,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.12,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.09,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.07,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.06,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
-0.62,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.72,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-0.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-0.81,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.81,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.74,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.74,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-0.14,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.09,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.09,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0.13,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.16,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.27,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.89,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.03,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.03,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
1.03,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.61,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.69,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
1.77,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
1.96,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0.53,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0.53,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0.53,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.53,"Furnitur, Perlengkapan dan Karpet",2024,April
0.68,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.68,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0.68,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0.9,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
1.87,Tekstil Rumah Tangga,2024,Januari
1.87,Tekstil Rumah Tangga,2024,Februari
1.87,Tekstil Rumah Tangga,2024,Maret
1.87,Tekstil Rumah Tangga,2024,April
1.87,Tekstil Rumah Tangga,2024,Mei
1.87,Tekstil Rumah Tangga,2024,Juni
1.87,Tekstil Rumah Tangga,2024,Juli
0.15,Tekstil Rumah Tangga,2024,Agustus
-0.34,Peralatan Rumah Tangga,2024,Januari
0.31,Peralatan Rumah Tangga,2024,Februari
