inflasi,kelompok,tahun,bulan
10.34,"Makanan, Minuman dan Tembakau",2024,Januari
9.62,"Makanan, Minuman dan Tembakau",2024,Februari
5.43,"Makanan, Minuman dan Tembakau",2024,Maret
3.03,"Makanan, Minuman dan Tembakau",2024,April
2.79,"Makanan, Minuman dan Tembakau",2024,Mei
3.17,"Makanan, Minuman dan Tembakau",2024,Juni
3.38,"Makanan, Minuman dan Tembakau",2024,Juli
3.7,"Makanan, Minuman dan Tembakau",2024,Agustus
11.06,Makanan,2024,Januari
10.1,Makanan,2024,Februari
5.17,Makanan,2024,Maret
1.7,Makanan,2024,April
1.24,Makanan,2024,Mei
1.55,Makanan,2024,Juni
2.09,Makanan,2024,Juli
2.43,Makanan,2024,Agustus
4.99,Minuman yang Tidak Beralkohol,2024,Januari
7.29,Minuman yang Tidak Beralkohol,2024,Februari
6.14,Minuman yang Tidak Beralkohol,2024,Maret
8.21,Minuman yang Tidak Beralkohol,2024,April
8.82,Minuman yang Tidak Beralkohol,2024,Mei
11.43,Minuman yang Tidak Beralkohol,2024,Juni
5.48,Minuman yang Tidak Beralkohol,2024,Juli
5.48,Minuman yang Tidak Beralkohol,2024,Agustus
7.93,Rokok dan Tembakau,2024,Januari
7.37,Rokok dan Tembakau,2024,Februari
7.08,Rokok dan Tembakau,2024,Maret
10.79,Rokok dan Tembakau,2024,April
11.75,Rokok dan Tembakau,2024,Mei
11.8,Rokok dan Tembakau,2024,Juni
12.31,Rokok dan Tembakau,2024,Juli
12.62,Rokok dan Tembakau,2024,Agustus
5.03,Pakaian dan Alas Kaki,2024,Januari
3.32,Pakaian dan Alas Kaki,2024,Februari
2.09,Pakaian dan Alas Kaki,2024,Maret
3.28,Pakaian dan Alas Kaki,2024,April
1.46,Pakaian dan Alas Kaki,2024,Mei
1.94,Pakaian dan Alas Kaki,2024,Juni
0.8,Pakaian dan Alas Kaki,2024,Juli
2.49,Pakaian dan Alas Kaki,2024,Agustus
4.2,Pakaian,2024,Januari
2.33,Pakaian,2024,Februari
1.64,Pakaian,2024,Maret
2.59,Pakaian,2024,April
2.01,Pakaian,2024,Mei
1.8,Pakaian,2024,Juni
1.01,Pakaian,2024,Juli
3.11,Pakaian,2024,Agustus
8.74,Alas Kaki,2024,Januari
7.81,Alas Kaki,2024,Februari
4.04,Alas Kaki,2024,Maret
6.35,Alas Kaki,2024,April
-0.84,Alas Kaki,2024,Mei
2.5,Alas Kaki,2024,Juni
-0.17,Alas Kaki,2024,Juli
-0.17,Alas Kaki,2024,Agustus
-1.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.89,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-1.2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.17,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.65,Sewa dan Kontrak Rumah,2024,Januari
0.65,Sewa dan Kontrak Rumah,2024,Februari
0.65,Sewa dan Kontrak Rumah,2024,Maret
0.65,Sewa dan Kontrak Rumah,2024,April
0.3,Sewa dan Kontrak Rumah,2024,Mei
0.3,Sewa dan Kontrak Rumah,2024,Juni
0.3,Sewa dan Kontrak Rumah,2024,Juli
0.3,Sewa dan Kontrak Rumah,2024,Agustus
-4.93,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-2.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-2.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
1.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.62,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.55,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
1.03,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.72,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.27,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.92,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.86,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.86,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.86,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.76,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.76,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
2.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.44,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.25,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.1,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.21,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.37,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.34,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
6.38,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
17.78,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
17.78,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
