inflasi,kelompok,tahun,bulan
10.53,"Makanan, Minuman dan Tembakau",2024,Januari
5.86,"Makanan, Minuman dan Tembakau",2024,Februari
6.08,"Makanan, Minuman dan Tembakau",2024,Maret
7.77,"Makanan, Minuman dan Tembakau",2024,April
4.46,"Makanan, Minuman dan Tembakau",2024,Mei
4.8,"Makanan, Minuman dan Tembakau",2024,Juni
-0.97,"Makanan, Minuman dan Tembakau",2024,Juli
-1.96,"Makanan, Minuman dan Tembakau",2024,Agustus
10.96,Makanan,2024,Januari
5.59,Makanan,2024,Februari
6.21,Makanan,2024,Maret
8.13,Makanan,2024,April
4.3,Makanan,2024,Mei
4.67,Makanan,2024,Juni
-2,Makanan,2024,Juli
-3.34,Makanan,2024,Agustus
4.32,Minuman yang Tidak Beralkohol,2024,Januari
4.32,Minuman yang Tidak Beralkohol,2024,Februari
0.54,Minuman yang Tidak Beralkohol,2024,Maret
2.22,Minuman yang Tidak Beralkohol,2024,April
2.22,Minuman yang Tidak Beralkohol,2024,Mei
4.15,Minuman yang Tidak Beralkohol,2024,Juni
4.15,Minuman yang Tidak Beralkohol,2024,Juli
6.21,Minuman yang Tidak Beralkohol,2024,Agustus
9.44,Rokok dan Tembakau,2024,Januari
9.79,Rokok dan Tembakau,2024,Februari
7.91,Rokok dan Tembakau,2024,Maret
6.94,Rokok dan Tembakau,2024,April
7.42,Rokok dan Tembakau,2024,Mei
6.67,Rokok dan Tembakau,2024,Juni
7.21,Rokok dan Tembakau,2024,Juli
7.74,Rokok dan Tembakau,2024,Agustus
2.18,Pakaian dan Alas Kaki,2024,Januari
2.75,Pakaian dan Alas Kaki,2024,Februari
2.64,Pakaian dan Alas Kaki,2024,Maret
2.19,Pakaian dan Alas Kaki,2024,April
2.23,Pakaian dan Alas Kaki,2024,Mei
2.23,Pakaian dan Alas Kaki,2024,Juni
1.23,Pakaian dan Alas Kaki,2024,Juli
1.16,Pakaian dan Alas Kaki,2024,Agustus
2.45,Pakaian,2024,Januari
3.44,Pakaian,2024,Februari
3.41,Pakaian,2024,Maret
2.86,Pakaian,2024,April
2.91,Pakaian,2024,Mei
2.91,Pakaian,2024,Juni
2.03,Pakaian,2024,Juli
2.17,Pakaian,2024,Agustus
0.89,Alas Kaki,2024,Januari
-0.57,Alas Kaki,2024,Februari
-1.06,Alas Kaki,2024,Maret
-1.06,Alas Kaki,2024,April
-1.06,Alas Kaki,2024,Mei
-1.06,Alas Kaki,2024,Juni
-2.56,Alas Kaki,2024,Juli
-3.73,Alas Kaki,2024,Agustus
0.96,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.86,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
1.41,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.81,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.85,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
2.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
1.96,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
1.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.13,Sewa dan Kontrak Rumah,2024,Januari
0.13,Sewa dan Kontrak Rumah,2024,Februari
0.13,Sewa dan Kontrak Rumah,2024,Maret
0.13,Sewa dan Kontrak Rumah,2024,April
0.13,Sewa dan Kontrak Rumah,2024,Mei
0.13,Sewa dan Kontrak Rumah,2024,Juni
0.13,Sewa dan Kontrak Rumah,2024,Juli
0.13,Sewa dan Kontrak Rumah,2024,Agustus
5.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
5.25,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
5.22,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
6.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
6.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
6.37,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
4.38,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
3.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.95,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
1.42,Listrik dan Bahan Bakar Rumah Tangga,2024,April
1.49,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
1.85,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
2.18,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
1.11,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
2.12,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
2.42,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
2.75,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
2.58,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.94,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
