inflasi,kelompok,tahun,bulan
5.1,"Makanan, Minuman dan Tembakau",2024,Januari
5.28,"Makanan, Minuman dan Tembakau",2024,Februari
7.2,"Makanan, Minuman dan Tembakau",2024,Maret
7.68,"Makanan, Minuman dan Tembakau",2024,April
9.42,"Makanan, Minuman dan Tembakau",2024,Mei
6,"Makanan, Minuman dan Tembakau",2024,Juni
2.68,"Makanan, Minuman dan Tembakau",2024,Juli
-1.04,"Makanan, Minuman dan Tembakau",2024,Agustus
2.32,Makanan,2024,Januari
3.46,Makanan,2024,Februari
6.68,Makanan,2024,Maret
8.52,Makanan,2024,April
10.86,Makanan,2024,Mei
6.35,Makanan,2024,Juni
2.22,Makanan,2024,Juli
-2.43,Makanan,2024,Agustus
-1.23,Minuman yang Tidak Beralkohol,2024,Januari
-2.02,Minuman yang Tidak Beralkohol,2024,Februari
-2.93,Minuman yang Tidak Beralkohol,2024,Maret
-2.78,Minuman yang Tidak Beralkohol,2024,April
-2.24,Minuman yang Tidak Beralkohol,2024,Mei
-4.27,Minuman yang Tidak Beralkohol,2024,Juni
-4.27,Minuman yang Tidak Beralkohol,2024,Juli
-3.65,Minuman yang Tidak Beralkohol,2024,Agustus
0,Minuman Beralkohol,2024,Januari
0,Minuman Beralkohol,2024,Februari
0,Minuman Beralkohol,2024,Maret
0,Minuman Beralkohol,2024,April
0,Minuman Beralkohol,2024,Mei
0,Minuman Beralkohol,2024,Juni
0,Minuman Beralkohol,2024,Juli
0,Minuman Beralkohol,2024,Agustus
19.71,Rokok dan Tembakau,2024,Januari
14.99,Rokok dan Tembakau,2024,Februari
10.99,Rokok dan Tembakau,2024,Maret
5.52,Rokok dan Tembakau,2024,April
4.85,Rokok dan Tembakau,2024,Mei
5.89,Rokok dan Tembakau,2024,Juni
5.77,Rokok dan Tembakau,2024,Juli
5.77,Rokok dan Tembakau,2024,Agustus
7.28,Pakaian dan Alas Kaki,2024,Januari
4.4,Pakaian dan Alas Kaki,2024,Februari
6.29,Pakaian dan Alas Kaki,2024,Maret
5.47,Pakaian dan Alas Kaki,2024,April
5.11,Pakaian dan Alas Kaki,2024,Mei
5.21,Pakaian dan Alas Kaki,2024,Juni
4.96,Pakaian dan Alas Kaki,2024,Juli
5.17,Pakaian dan Alas Kaki,2024,Agustus
7.87,Pakaian,2024,Januari
4.52,Pakaian,2024,Februari
5.35,Pakaian,2024,Maret
4.71,Pakaian,2024,April
4.03,Pakaian,2024,Mei
4.16,Pakaian,2024,Juni
4.37,Pakaian,2024,Juli
4.65,Pakaian,2024,Agustus
5.52,Alas Kaki,2024,Januari
4.06,Alas Kaki,2024,Februari
9.33,Alas Kaki,2024,Maret
7.89,Alas Kaki,2024,April
8.59,Alas Kaki,2024,Mei
8.59,Alas Kaki,2024,Juni
6.79,Alas Kaki,2024,Juli
6.79,Alas Kaki,2024,Agustus
2.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
1.95,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
2.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.98,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-1.03,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.9,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.96,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.93,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
8.05,Sewa dan Kontrak Rumah,2024,Januari
8.05,Sewa dan Kontrak Rumah,2024,Februari
8.05,Sewa dan Kontrak Rumah,2024,Maret
0.01,Sewa dan Kontrak Rumah,2024,April
0.01,Sewa dan Kontrak Rumah,2024,Mei
0.01,Sewa dan Kontrak Rumah,2024,Juni
0.01,Sewa dan Kontrak Rumah,2024,Juli
0.01,Sewa dan Kontrak Rumah,2024,Agustus
3.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.64,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
3,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-1.89,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-1.6,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-1.6,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-1.6,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-1.65,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
1.08,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.57,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-2.28,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-2.39,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-2.04,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-2.18,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-1.94,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-2.07,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-1.99,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.51,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.86,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
