inflasi,kelompok,tahun,bulan
5.91,"Makanan, Minuman dan Tembakau",2024,Januari
5.64,"Makanan, Minuman dan Tembakau",2024,Februari
4.21,"Makanan, Minuman dan Tembakau",2024,Maret
4.09,"Makanan, Minuman dan Tembakau",2024,April
3.33,"Makanan, Minuman dan Tembakau",2024,Mei
3.37,"Makanan, Minuman dan Tembakau",2024,Juni
3.41,"Makanan, Minuman dan Tembakau",2024,Juli
3.59,"Makanan, Minuman dan Tembakau",2024,Agustus
5.39,Makanan,2024,Januari
4.41,Makanan,2024,Februari
2.7,Makanan,2024,Maret
2.59,Makanan,2024,April
1.76,Makanan,2024,Mei
1.84,Makanan,2024,Juni
2.74,Makanan,2024,Juli
2.95,Makanan,2024,Agustus
0.99,Minuman yang Tidak Beralkohol,2024,Januari
0.86,Minuman yang Tidak Beralkohol,2024,Februari
0.86,Minuman yang Tidak Beralkohol,2024,Maret
0.86,Minuman yang Tidak Beralkohol,2024,April
0.05,Minuman yang Tidak Beralkohol,2024,Mei
0.05,Minuman yang Tidak Beralkohol,2024,Juni
1.73,Minuman yang Tidak Beralkohol,2024,Juli
1.94,Minuman yang Tidak Beralkohol,2024,Agustus
10.83,Rokok dan Tembakau,2024,Januari
14.83,Rokok dan Tembakau,2024,Februari
14.83,Rokok dan Tembakau,2024,Maret
14.83,Rokok dan Tembakau,2024,April
14.25,Rokok dan Tembakau,2024,Mei
13.95,Rokok dan Tembakau,2024,Juni
7.86,Rokok dan Tembakau,2024,Juli
7.86,Rokok dan Tembakau,2024,Agustus
0.13,Pakaian dan Alas Kaki,2024,Januari
0.11,Pakaian dan Alas Kaki,2024,Februari
0.22,Pakaian dan Alas Kaki,2024,Maret
-0.46,Pakaian dan Alas Kaki,2024,April
-0.06,Pakaian dan Alas Kaki,2024,Mei
-0.08,Pakaian dan Alas Kaki,2024,Juni
0.03,Pakaian dan Alas Kaki,2024,Juli
0.03,Pakaian dan Alas Kaki,2024,Agustus
0.17,Pakaian,2024,Januari
0.14,Pakaian,2024,Februari
0.11,Pakaian,2024,Maret
-0.77,Pakaian,2024,April
-0.4,Pakaian,2024,Mei
-0.42,Pakaian,2024,Juni
-0.28,Pakaian,2024,Juli
-0.28,Pakaian,2024,Agustus
0,Alas Kaki,2024,Januari
0,Alas Kaki,2024,Februari
0.6,Alas Kaki,2024,Maret
0.6,Alas Kaki,2024,April
1.06,Alas Kaki,2024,Mei
1.06,Alas Kaki,2024,Juni
1.06,Alas Kaki,2024,Juli
1.06,Alas Kaki,2024,Agustus
2.88,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
2.86,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
2.67,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
2.87,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
2.79,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
3.07,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.83,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
-1.34,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-1.12,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-1.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.12,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.29,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.34,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
