inflasi,kelompok,tahun,bulan
6.5,"Makanan, Minuman dan Tembakau",2024,Januari
8.63,"Makanan, Minuman dan Tembakau",2024,Februari
8.05,"Makanan, Minuman dan Tembakau",2024,Maret
8.86,"Makanan, Minuman dan Tembakau",2024,April
7.93,"Makanan, Minuman dan Tembakau",2024,Mei
6.41,"Makanan, Minuman dan Tembakau",2024,Juni
4.97,"Makanan, Minuman dan Tembakau",2024,Juli
4.48,"Makanan, Minuman dan Tembakau",2024,Agustus
6.28,Makanan,2024,Januari
8.74,Makanan,2024,Februari
7.98,Makanan,2024,Maret
8.38,Makanan,2024,April
7.26,Makanan,2024,Mei
5.04,Makanan,2024,Juni
2.58,Makanan,2024,Juli
1.45,Makanan,2024,Agustus
3.96,Minuman yang Tidak Beralkohol,2024,Januari
4.97,Minuman yang Tidak Beralkohol,2024,Februari
4.21,Minuman yang Tidak Beralkohol,2024,Maret
5.36,Minuman yang Tidak Beralkohol,2024,April
5.48,Minuman yang Tidak Beralkohol,2024,Mei
6.93,Minuman yang Tidak Beralkohol,2024,Juni
11.25,Minuman yang Tidak Beralkohol,2024,Juli
13.12,Minuman yang Tidak Beralkohol,2024,Agustus
8.24,Rokok dan Tembakau,2024,Januari
9.27,Rokok dan Tembakau,2024,Februari
9.51,Rokok dan Tembakau,2024,Maret
12.08,Rokok dan Tembakau,2024,April
11.62,Rokok dan Tembakau,2024,Mei
12.32,Rokok dan Tembakau,2024,Juni
13.99,Rokok dan Tembakau,2024,Juli
15.75,Rokok dan Tembakau,2024,Agustus
-0.52,Pakaian dan Alas Kaki,2024,Januari
-0.18,Pakaian dan Alas Kaki,2024,Februari
-0.22,Pakaian dan Alas Kaki,2024,Maret
-0.23,Pakaian dan Alas Kaki,2024,April
-0.45,Pakaian dan Alas Kaki,2024,Mei
-0.72,Pakaian dan Alas Kaki,2024,Juni
-0.89,Pakaian dan Alas Kaki,2024,Juli
-1.07,Pakaian dan Alas Kaki,2024,Agustus
0.27,Pakaian,2024,Januari
0.19,Pakaian,2024,Februari
0.18,Pakaian,2024,Maret
0.17,Pakaian,2024,April
-0.05,Pakaian,2024,Mei
-0.23,Pakaian,2024,Juni
-0.79,Pakaian,2024,Juli
-1.04,Pakaian,2024,Agustus
-3.04,Alas Kaki,2024,Januari
-1.34,Alas Kaki,2024,Februari
-1.48,Alas Kaki,2024,Maret
-1.48,Alas Kaki,2024,April
-1.76,Alas Kaki,2024,Mei
-2.26,Alas Kaki,2024,Juni
-1.22,Alas Kaki,2024,Juli
-1.19,Alas Kaki,2024,Agustus
-1.34,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-1.79,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-2.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-2.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-1.98,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-2.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.45,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
3.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.45,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-0.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.41,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
1.25,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.46,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-4.79,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-4.84,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-4.6,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-4.5,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-4.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-4.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.25,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.25,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
3.85,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.47,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.02,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.81,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.67,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
1.99,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
1.79,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
9.77,"Furnitur, Perlengkapan dan Karpet",2024,Januari
6.25,"Furnitur, Perlengkapan dan Karpet",2024,Februari
6.02,"Furnitur, Perlengkapan dan Karpet",2024,Maret
4.77,"Furnitur, Perlengkapan dan Karpet",2024,April
4.77,"Furnitur, Perlengkapan dan Karpet",2024,Mei
3.94,"Furnitur, Perlengkapan dan Karpet",2024,Juni
4.66,"Furnitur, Perlengkapan dan Karpet",2024,Juli
4.66,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
4.68,Tekstil Rumah Tangga,2024,Januari
5.73,Tekstil Rumah Tangga,2024,Februari
5.73,Tekstil Rumah Tangga,2024,Maret
3.66,Tekstil Rumah Tangga,2024,April
3.37,Tekstil Rumah Tangga,2024,Mei
3.37,Tekstil Rumah Tangga,2024,Juni
3.37,Tekstil Rumah Tangga,2024,Juli
3.37,Tekstil Rumah Tangga,2024,Agustus
3.17,Peralatan Rumah Tangga,2024,Januari
1.43,Peralatan Rumah Tangga,2024,Februari
0.62,Peralatan Rumah Tangga,2024,Maret
1.36,Peralatan Rumah Tangga,2024,April
1.36,Peralatan Rumah Tangga,2024,Mei
0.71,Peralatan Rumah Tangga,2024,Juni
-0.12,Peralatan Rumah Tangga,2024,Juli
-0.13,Peralatan Rumah Tangga,2024,Agustus
12.09,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
7.52,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
4.24,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0.95,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-0.56,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-2.75,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
