inflasi,kelompok,tahun,bulan
12.62,"Makanan, Minuman dan Tembakau",2024,Januari
5.94,"Makanan, Minuman dan Tembakau",2024,Februari
4.64,"Makanan, Minuman dan Tembakau",2024,Maret
2.36,"Makanan, Minuman dan Tembakau",2024,April
0.23,"Makanan, Minuman dan Tembakau",2024,Mei
2.23,"Makanan, Minuman dan Tembakau",2024,Juni
1.45,"Makanan, Minuman dan Tembakau",2024,Juli
-0.93,"Makanan, Minuman dan Tembakau",2024,Agustus
14.11,Makanan,2024,Januari
5.87,Makanan,2024,Februari
4.04,Makanan,2024,Maret
1.16,Makanan,2024,April
-1.09,Makanan,2024,Mei
1.01,Makanan,2024,Juni
0.06,Makanan,2024,Juli
-3,Makanan,2024,Agustus
3.19,Minuman yang Tidak Beralkohol,2024,Januari
7.49,Minuman yang Tidak Beralkohol,2024,Februari
9.1,Minuman yang Tidak Beralkohol,2024,Maret
8.43,Minuman yang Tidak Beralkohol,2024,April
8.04,Minuman yang Tidak Beralkohol,2024,Mei
11.05,Minuman yang Tidak Beralkohol,2024,Juni
12.02,Minuman yang Tidak Beralkohol,2024,Juli
15.82,Minuman yang Tidak Beralkohol,2024,Agustus
5.44,Rokok dan Tembakau,2024,Januari
5.53,Rokok dan Tembakau,2024,Februari
7.06,Rokok dan Tembakau,2024,Maret
9.19,Rokok dan Tembakau,2024,April
7.38,Rokok dan Tembakau,2024,Mei
8.2,Rokok dan Tembakau,2024,Juni
8.25,Rokok dan Tembakau,2024,Juli
8.42,Rokok dan Tembakau,2024,Agustus
1.72,Pakaian dan Alas Kaki,2024,Januari
1.59,Pakaian dan Alas Kaki,2024,Februari
1.59,Pakaian dan Alas Kaki,2024,Maret
0.52,Pakaian dan Alas Kaki,2024,April
1.71,Pakaian dan Alas Kaki,2024,Mei
0.84,Pakaian dan Alas Kaki,2024,Juni
0.55,Pakaian dan Alas Kaki,2024,Juli
0.64,Pakaian dan Alas Kaki,2024,Agustus
4.79,Pakaian,2024,Januari
4.58,Pakaian,2024,Februari
4.58,Pakaian,2024,Maret
3,Pakaian,2024,April
4.57,Pakaian,2024,Mei
3.32,Pakaian,2024,Juni
2.88,Pakaian,2024,Juli
2.98,Pakaian,2024,Agustus
-5.18,Alas Kaki,2024,Januari
-5.18,Alas Kaki,2024,Februari
-5.18,Alas Kaki,2024,Maret
-5.18,Alas Kaki,2024,April
-4.86,Alas Kaki,2024,Mei
-4.94,Alas Kaki,2024,Juni
-4.94,Alas Kaki,2024,Juli
-4.82,Alas Kaki,2024,Agustus
1.03,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.39,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.48,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.34,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.54,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.9,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
1.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.92,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.03,Sewa dan Kontrak Rumah,2024,Januari
0.03,Sewa dan Kontrak Rumah,2024,Februari
0.03,Sewa dan Kontrak Rumah,2024,Maret
0.03,Sewa dan Kontrak Rumah,2024,April
0.03,Sewa dan Kontrak Rumah,2024,Mei
0.03,Sewa dan Kontrak Rumah,2024,Juni
0.03,Sewa dan Kontrak Rumah,2024,Juli
0.03,Sewa dan Kontrak Rumah,2024,Agustus
-0.57,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.29,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.27,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.8,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.55,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.21,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
4.31,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
2.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.39,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.21,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.38,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.12,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0.99,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
1.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
1.18,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-0.14,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.72,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.59,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.26,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.84,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
