inflasi,kelompok,tahun,bulan
12.89,"Makanan, Minuman dan Tembakau",2024,Januari
12.64,"Makanan, Minuman dan Tembakau",2024,Februari
12.94,"Makanan, Minuman dan Tembakau",2024,Maret
16.32,"Makanan, Minuman dan Tembakau",2024,April
15.89,"Makanan, Minuman dan Tembakau",2024,Mei
15.94,"Makanan, Minuman dan Tembakau",2024,Juni
14.29,"Makanan, Minuman dan Tembakau",2024,Juli
17.56,"Makanan, Minuman dan Tembakau",2024,Agustus
14.43,Makanan,2024,Januari
13.55,Makanan,2024,Februari
14.18,Makanan,2024,Maret
18.82,Makanan,2024,April
18.27,Makanan,2024,Mei
18.33,Makanan,2024,Juni
16.02,Makanan,2024,Juli
20.55,Makanan,2024,Agustus
2.4,Minuman yang Tidak Beralkohol,2024,Januari
2.74,Minuman yang Tidak Beralkohol,2024,Februari
2.35,Minuman yang Tidak Beralkohol,2024,Maret
1.4,Minuman yang Tidak Beralkohol,2024,April
1.16,Minuman yang Tidak Beralkohol,2024,Mei
1.24,Minuman yang Tidak Beralkohol,2024,Juni
3.37,Minuman yang Tidak Beralkohol,2024,Juli
3.18,Minuman yang Tidak Beralkohol,2024,Agustus
9.24,Rokok dan Tembakau,2024,Januari
12.38,Rokok dan Tembakau,2024,Februari
11.23,Rokok dan Tembakau,2024,Maret
10.3,Rokok dan Tembakau,2024,April
10.3,Rokok dan Tembakau,2024,Mei
10.17,Rokok dan Tembakau,2024,Juni
10.17,Rokok dan Tembakau,2024,Juli
8.93,Rokok dan Tembakau,2024,Agustus
-2.69,Pakaian dan Alas Kaki,2024,Januari
-3.45,Pakaian dan Alas Kaki,2024,Februari
-2.4,Pakaian dan Alas Kaki,2024,Maret
-2.39,Pakaian dan Alas Kaki,2024,April
-2.6,Pakaian dan Alas Kaki,2024,Mei
-2.25,Pakaian dan Alas Kaki,2024,Juni
-2.68,Pakaian dan Alas Kaki,2024,Juli
-4.52,Pakaian dan Alas Kaki,2024,Agustus
-1.38,Pakaian,2024,Januari
-2.46,Pakaian,2024,Februari
-0.98,Pakaian,2024,Maret
-0.88,Pakaian,2024,April
-1.07,Pakaian,2024,Mei
-0.56,Pakaian,2024,Juni
-0.96,Pakaian,2024,Juli
-4.53,Pakaian,2024,Agustus
-5.97,Alas Kaki,2024,Januari
-5.97,Alas Kaki,2024,Februari
-5.97,Alas Kaki,2024,Maret
-6.22,Alas Kaki,2024,April
-6.44,Alas Kaki,2024,Mei
-6.44,Alas Kaki,2024,Juni
-6.99,Alas Kaki,2024,Juli
-4.44,Alas Kaki,2024,Agustus
-0.68,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.55,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.43,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.49,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.34,Sewa dan Kontrak Rumah,2024,Januari
0.34,Sewa dan Kontrak Rumah,2024,Februari
0.34,Sewa dan Kontrak Rumah,2024,Maret
0.34,Sewa dan Kontrak Rumah,2024,April
0.34,Sewa dan Kontrak Rumah,2024,Mei
0.34,Sewa dan Kontrak Rumah,2024,Juni
0.34,Sewa dan Kontrak Rumah,2024,Juli
0.34,Sewa dan Kontrak Rumah,2024,Agustus
-2.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-1.89,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-1.79,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-2.07,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-2.46,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
2.12,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.88,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.86,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
