inflasi,kelompok,tahun,bulan
8.16,"Makanan, Minuman dan Tembakau",2024,Januari
11.97,"Makanan, Minuman dan Tembakau",2024,Februari
13.19,"Makanan, Minuman dan Tembakau",2024,Maret
14.39,"Makanan, Minuman dan Tembakau",2024,April
10.86,"Makanan, Minuman dan Tembakau",2024,Mei
9.19,"Makanan, Minuman dan Tembakau",2024,Juni
7.71,"Makanan, Minuman dan Tembakau",2024,Juli
2.63,"Makanan, Minuman dan Tembakau",2024,Agustus
9.23,Makanan,2024,Januari
14.2,Makanan,2024,Februari
15.76,Makanan,2024,Maret
17.42,Makanan,2024,April
12.79,Makanan,2024,Mei
10.6,Makanan,2024,Juni
8.69,Makanan,2024,Juli
3.23,Makanan,2024,Agustus
0.78,Minuman yang Tidak Beralkohol,2024,Januari
0.78,Minuman yang Tidak Beralkohol,2024,Februari
0.78,Minuman yang Tidak Beralkohol,2024,Maret
-0.33,Minuman yang Tidak Beralkohol,2024,April
-0.33,Minuman yang Tidak Beralkohol,2024,Mei
-0.33,Minuman yang Tidak Beralkohol,2024,Juni
-0.33,Minuman yang Tidak Beralkohol,2024,Juli
1.7,Minuman yang Tidak Beralkohol,2024,Agustus
5.53,Rokok dan Tembakau,2024,Januari
5.53,Rokok dan Tembakau,2024,Februari
5.53,Rokok dan Tembakau,2024,Maret
5.53,Rokok dan Tembakau,2024,April
5.53,Rokok dan Tembakau,2024,Mei
5.53,Rokok dan Tembakau,2024,Juni
5.53,Rokok dan Tembakau,2024,Juli
0.32,Rokok dan Tembakau,2024,Agustus
-0.21,Pakaian dan Alas Kaki,2024,Januari
-0.2,Pakaian dan Alas Kaki,2024,Februari
-0.37,Pakaian dan Alas Kaki,2024,Maret
-0.02,Pakaian dan Alas Kaki,2024,April
-0.02,Pakaian dan Alas Kaki,2024,Mei
0.08,Pakaian dan Alas Kaki,2024,Juni
0.22,Pakaian dan Alas Kaki,2024,Juli
0.66,Pakaian dan Alas Kaki,2024,Agustus
0.33,Pakaian,2024,Januari
0.33,Pakaian,2024,Februari
0.1,Pakaian,2024,Maret
0,Pakaian,2024,April
0,Pakaian,2024,Mei
0,Pakaian,2024,Juni
0.19,Pakaian,2024,Juli
0.57,Pakaian,2024,Agustus
-2.03,Alas Kaki,2024,Januari
-2.03,Alas Kaki,2024,Februari
-2.03,Alas Kaki,2024,Maret
-0.08,Alas Kaki,2024,April
-0.08,Alas Kaki,2024,Mei
0.35,Alas Kaki,2024,Juni
0.35,Alas Kaki,2024,Juli
1,Alas Kaki,2024,Agustus
-0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.33,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-1.31,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
