inflasi,kelompok,tahun,bulan
11.35,"Makanan, Minuman dan Tembakau",2024,Januari
8.53,"Makanan, Minuman dan Tembakau",2024,Februari
6.12,"Makanan, Minuman dan Tembakau",2024,Maret
4.71,"Makanan, Minuman dan Tembakau",2024,April
3.33,"Makanan, Minuman dan Tembakau",2024,Mei
0.82,"Makanan, Minuman dan Tembakau",2024,Juni
-0.79,"Makanan, Minuman dan Tembakau",2024,Juli
0.02,"Makanan, Minuman dan Tembakau",2024,Agustus
11.41,Makanan,2024,Januari
8.28,Makanan,2024,Februari
5.89,Makanan,2024,Maret
4.18,Makanan,2024,April
2.57,Makanan,2024,Mei
-0.79,Makanan,2024,Juni
-2.25,Makanan,2024,Juli
-1.63,Makanan,2024,Agustus
16.95,Minuman yang Tidak Beralkohol,2024,Januari
13.02,Minuman yang Tidak Beralkohol,2024,Februari
8.12,Minuman yang Tidak Beralkohol,2024,Maret
9.15,Minuman yang Tidak Beralkohol,2024,April
13.18,Minuman yang Tidak Beralkohol,2024,Mei
19.36,Minuman yang Tidak Beralkohol,2024,Juni
22.86,Minuman yang Tidak Beralkohol,2024,Juli
30.23,Minuman yang Tidak Beralkohol,2024,Agustus
9.67,Rokok dan Tembakau,2024,Januari
8.79,Rokok dan Tembakau,2024,Februari
6.77,Rokok dan Tembakau,2024,Maret
6.41,Rokok dan Tembakau,2024,April
4.97,Rokok dan Tembakau,2024,Mei
4.97,Rokok dan Tembakau,2024,Juni
1.06,Rokok dan Tembakau,2024,Juli
1.06,Rokok dan Tembakau,2024,Agustus
7.75,Pakaian dan Alas Kaki,2024,Januari
4.73,Pakaian dan Alas Kaki,2024,Februari
4.73,Pakaian dan Alas Kaki,2024,Maret
4.73,Pakaian dan Alas Kaki,2024,April
4.72,Pakaian dan Alas Kaki,2024,Mei
4.77,Pakaian dan Alas Kaki,2024,Juni
2.98,Pakaian dan Alas Kaki,2024,Juli
3.45,Pakaian dan Alas Kaki,2024,Agustus
8.62,Pakaian,2024,Januari
5.1,Pakaian,2024,Februari
5.1,Pakaian,2024,Maret
5.1,Pakaian,2024,April
5.38,Pakaian,2024,Mei
5.38,Pakaian,2024,Juni
3.07,Pakaian,2024,Juli
3.68,Pakaian,2024,Agustus
5.19,Alas Kaki,2024,Januari
3.6,Alas Kaki,2024,Februari
3.6,Alas Kaki,2024,Maret
3.6,Alas Kaki,2024,April
2.73,Alas Kaki,2024,Mei
2.94,Alas Kaki,2024,Juni
2.71,Alas Kaki,2024,Juli
2.71,Alas Kaki,2024,Agustus
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.49,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.99,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
1.31,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.15,Sewa dan Kontrak Rumah,2024,Januari
0.15,Sewa dan Kontrak Rumah,2024,Februari
0.15,Sewa dan Kontrak Rumah,2024,Maret
0.15,Sewa dan Kontrak Rumah,2024,April
0.15,Sewa dan Kontrak Rumah,2024,Mei
0.52,Sewa dan Kontrak Rumah,2024,Juni
0.52,Sewa dan Kontrak Rumah,2024,Juli
0.52,Sewa dan Kontrak Rumah,2024,Agustus
0.43,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.33,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
1.83,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
1.47,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
1.34,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.81,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.14,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.78,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
1.79,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
1.49,Listrik dan Bahan Bakar Rumah Tangga,2024,April
1.75,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
1.8,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-2.31,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-2.29,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-2.24,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-2.2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-3.67,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-3.87,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-2.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-2.49,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
-4.58,Peralatan Rumah Tangga,2024,Januari
-3.24,Peralatan Rumah Tangga,2024,Februari
-3.01,Peralatan Rumah Tangga,2024,Maret
-2.31,Peralatan Rumah Tangga,2024,April
