inflasi,kelompok,tahun,bulan
3.38,"Makanan, Minuman dan Tembakau",2024,Januari
7.5,"Makanan, Minuman dan Tembakau",2024,Februari
5.95,"Makanan, Minuman dan Tembakau",2024,Maret
6.32,"Makanan, Minuman dan Tembakau",2024,April
7.05,"Makanan, Minuman dan Tembakau",2024,Mei
8.28,"Makanan, Minuman dan Tembakau",2024,Juni
2.55,"Makanan, Minuman dan Tembakau",2024,Juli
3.23,"Makanan, Minuman dan Tembakau",2024,Agustus
3,Makanan,2024,Januari
8.22,Makanan,2024,Februari
5.96,Makanan,2024,Maret
6.43,Makanan,2024,April
7.26,Makanan,2024,Mei
8.37,Makanan,2024,Juni
0.75,Makanan,2024,Juli
1.69,Makanan,2024,Agustus
2.92,Minuman yang Tidak Beralkohol,2024,Januari
3.32,Minuman yang Tidak Beralkohol,2024,Februari
4.68,Minuman yang Tidak Beralkohol,2024,Maret
5.38,Minuman yang Tidak Beralkohol,2024,April
5.91,Minuman yang Tidak Beralkohol,2024,Mei
11.21,Minuman yang Tidak Beralkohol,2024,Juni
11.21,Minuman yang Tidak Beralkohol,2024,Juli
10.95,Minuman yang Tidak Beralkohol,2024,Agustus
5.06,Rokok dan Tembakau,2024,Januari
5.34,Rokok dan Tembakau,2024,Februari
6.21,Rokok dan Tembakau,2024,Maret
6.03,Rokok dan Tembakau,2024,April
6.39,Rokok dan Tembakau,2024,Mei
7.33,Rokok dan Tembakau,2024,Juni
8.45,Rokok dan Tembakau,2024,Juli
7.95,Rokok dan Tembakau,2024,Agustus
3.27,Pakaian dan Alas Kaki,2024,Januari
2.94,Pakaian dan Alas Kaki,2024,Februari
3.01,Pakaian dan Alas Kaki,2024,Maret
2.56,Pakaian dan Alas Kaki,2024,April
2.94,Pakaian dan Alas Kaki,2024,Mei
2.74,Pakaian dan Alas Kaki,2024,Juni
2.68,Pakaian dan Alas Kaki,2024,Juli
0.03,Pakaian dan Alas Kaki,2024,Agustus
3.24,Pakaian,2024,Januari
2.85,Pakaian,2024,Februari
2.94,Pakaian,2024,Maret
2.41,Pakaian,2024,April
2.85,Pakaian,2024,Mei
2.58,Pakaian,2024,Juni
2.51,Pakaian,2024,Juli
-0.66,Pakaian,2024,Agustus
3.42,Alas Kaki,2024,Januari
3.34,Alas Kaki,2024,Februari
3.34,Alas Kaki,2024,Maret
3.34,Alas Kaki,2024,April
3.34,Alas Kaki,2024,Mei
3.55,Alas Kaki,2024,Juni
3.55,Alas Kaki,2024,Juli
3.55,Alas Kaki,2024,Agustus
1.99,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
2.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
2.04,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
2.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
1.65,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
1.65,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
1.52,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.75,Sewa dan Kontrak Rumah,2024,Januari
1.75,Sewa dan Kontrak Rumah,2024,Februari
1.75,Sewa dan Kontrak Rumah,2024,Maret
1.75,Sewa dan Kontrak Rumah,2024,April
1.75,Sewa dan Kontrak Rumah,2024,Mei
1.75,Sewa dan Kontrak Rumah,2024,Juni
1.75,Sewa dan Kontrak Rumah,2024,Juli
1.75,Sewa dan Kontrak Rumah,2024,Agustus
3.21,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
3.21,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
3.21,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
3.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-1.41,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.62,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.62,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-1.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
2.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
2.11,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
2.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
2.46,Listrik dan Bahan Bakar Rumah Tangga,2024,April
2.37,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
2.37,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
2.37,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
2.11,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
5.49,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
5.35,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
5.68,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
3.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
2.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
4.68,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
4.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
4.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
13.91,"Furnitur, Perlengkapan dan Karpet",2024,Januari
13.91,"Furnitur, Perlengkapan dan Karpet",2024,Februari
15.32,"Furnitur, Perlengkapan dan Karpet",2024,Maret
6.9,"Furnitur, Perlengkapan dan Karpet",2024,April
6.9,"Furnitur, Perlengkapan dan Karpet",2024,Mei
10.84,"Furnitur, Perlengkapan dan Karpet",2024,Juni
10.84,"Furnitur, Perlengkapan dan Karpet",2024,Juli
10.84,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
1.09,Tekstil Rumah Tangga,2024,Januari
1.09,Tekstil Rumah Tangga,2024,Februari
1.09,Tekstil Rumah Tangga,2024,Maret
0.27,Tekstil Rumah Tangga,2024,April
0.27,Tekstil Rumah Tangga,2024,Mei
19.65,Tekstil Rumah Tangga,2024,Juni
16.58,Tekstil Rumah Tangga,2024,Juli
16.58,Tekstil Rumah Tangga,2024,Agustus
0.76,Peralatan Rumah Tangga,2024,Januari
0.76,Peralatan Rumah Tangga,2024,Februari
0.76,Peralatan Rumah Tangga,2024,Maret
0.76,Peralatan Rumah Tangga,2024,April
1.06,Peralatan Rumah Tangga,2024,Mei
0.29,Peralatan Rumah Tangga,2024,Juni
0.29,Peralatan Rumah Tangga,2024,Juli
0.29,Peralatan Rumah Tangga,2024,Agustus
8.97,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
8.97,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
8.97,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
8.97,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
8.97,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
14.52,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
14.52,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
14.52,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
8.14,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
8.14,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
8.14,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
7.5,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-3.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-3.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
-3.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
-3.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
1.49,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
1.13,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
