inflasi,kelompok,tahun,bulan
8.44,"Makanan, Minuman dan Tembakau",2024,Januari
5.43,"Makanan, Minuman dan Tembakau",2024,Februari
9.45,"Makanan, Minuman dan Tembakau",2024,Maret
12.09,"Makanan, Minuman dan Tembakau",2024,April
14.5,"Makanan, Minuman dan Tembakau",2024,Mei
11.22,"Makanan, Minuman dan Tembakau",2024,Juni
12.25,"Makanan, Minuman dan Tembakau",2024,Juli
9.57,"Makanan, Minuman dan Tembakau",2024,Agustus
9.3,Makanan,2024,Januari
5.9,Makanan,2024,Februari
10.57,Makanan,2024,Maret
14.16,Makanan,2024,April
17.57,Makanan,2024,Mei
13,Makanan,2024,Juni
14.36,Makanan,2024,Juli
10.84,Makanan,2024,Agustus
-2.24,Minuman yang Tidak Beralkohol,2024,Januari
-1.88,Minuman yang Tidak Beralkohol,2024,Februari
-0.48,Minuman yang Tidak Beralkohol,2024,Maret
-1.11,Minuman yang Tidak Beralkohol,2024,April
-1.85,Minuman yang Tidak Beralkohol,2024,Mei
-0.98,Minuman yang Tidak Beralkohol,2024,Juni
-0.28,Minuman yang Tidak Beralkohol,2024,Juli
0.99,Minuman yang Tidak Beralkohol,2024,Agustus
6.11,Minuman Beralkohol,2024,Januari
6.11,Minuman Beralkohol,2024,Februari
8.27,Minuman Beralkohol,2024,Maret
8.27,Minuman Beralkohol,2024,April
8.27,Minuman Beralkohol,2024,Mei
8.27,Minuman Beralkohol,2024,Juni
8.27,Minuman Beralkohol,2024,Juli
8.27,Minuman Beralkohol,2024,Agustus
9.79,Rokok dan Tembakau,2024,Januari
7.01,Rokok dan Tembakau,2024,Februari
9.04,Rokok dan Tembakau,2024,Maret
8.63,Rokok dan Tembakau,2024,April
7.76,Rokok dan Tembakau,2024,Mei
8.27,Rokok dan Tembakau,2024,Juni
7.97,Rokok dan Tembakau,2024,Juli
7.47,Rokok dan Tembakau,2024,Agustus
2.07,Pakaian dan Alas Kaki,2024,Januari
2.14,Pakaian dan Alas Kaki,2024,Februari
-1.46,Pakaian dan Alas Kaki,2024,Maret
-2.15,Pakaian dan Alas Kaki,2024,April
-1.83,Pakaian dan Alas Kaki,2024,Mei
-1.45,Pakaian dan Alas Kaki,2024,Juni
-2.1,Pakaian dan Alas Kaki,2024,Juli
-1.5,Pakaian dan Alas Kaki,2024,Agustus
-0.19,Pakaian,2024,Januari
-0.81,Pakaian,2024,Februari
-3.79,Pakaian,2024,Maret
-3.53,Pakaian,2024,April
-3.49,Pakaian,2024,Mei
-3.47,Pakaian,2024,Juni
-4.21,Pakaian,2024,Juli
-3.42,Pakaian,2024,Agustus
8.61,Alas Kaki,2024,Januari
10.93,Alas Kaki,2024,Februari
5.35,Alas Kaki,2024,Maret
1.7,Alas Kaki,2024,April
2.87,Alas Kaki,2024,Mei
4.41,Alas Kaki,2024,Juni
4.03,Alas Kaki,2024,Juli
4.03,Alas Kaki,2024,Agustus
3.87,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
3.78,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
2.76,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.99,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.99,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
1.7,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
2.62,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.8,Sewa dan Kontrak Rumah,2024,Januari
0.8,Sewa dan Kontrak Rumah,2024,Februari
