inflasi,kelompok,tahun,bulan
3.73,"Makanan, Minuman dan Tembakau",2024,Januari
5.02,"Makanan, Minuman dan Tembakau",2024,Februari
5.51,"Makanan, Minuman dan Tembakau",2024,Maret
6.6,"Makanan, Minuman dan Tembakau",2024,April
4.72,"Makanan, Minuman dan Tembakau",2024,Mei
2.39,"Makanan, Minuman dan Tembakau",2024,Juni
1.15,"Makanan, Minuman dan Tembakau",2024,Juli
0.94,"Makanan, Minuman dan Tembakau",2024,Agustus
3.78,Makanan,2024,Januari
5.47,Makanan,2024,Februari
6.11,Makanan,2024,Maret
7.1,Makanan,2024,April
4.81,Makanan,2024,Mei
1.74,Makanan,2024,Juni
0.03,Makanan,2024,Juli
-0.35,Makanan,2024,Agustus
2.57,Minuman yang Tidak Beralkohol,2024,Januari
1.97,Minuman yang Tidak Beralkohol,2024,Februari
0.46,Minuman yang Tidak Beralkohol,2024,Maret
3.54,Minuman yang Tidak Beralkohol,2024,April
5.22,Minuman yang Tidak Beralkohol,2024,Mei
7.75,Minuman yang Tidak Beralkohol,2024,Juni
10.54,Minuman yang Tidak Beralkohol,2024,Juli
11.07,Minuman yang Tidak Beralkohol,2024,Agustus
3.88,Rokok dan Tembakau,2024,Januari
3.51,Rokok dan Tembakau,2024,Februari
3.95,Rokok dan Tembakau,2024,Maret
4.68,Rokok dan Tembakau,2024,April
3.83,Rokok dan Tembakau,2024,Mei
4.06,Rokok dan Tembakau,2024,Juni
4.06,Rokok dan Tembakau,2024,Juli
4.45,Rokok dan Tembakau,2024,Agustus
-0.25,Pakaian dan Alas Kaki,2024,Januari
-0.37,Pakaian dan Alas Kaki,2024,Februari
-1.04,Pakaian dan Alas Kaki,2024,Maret
0.04,Pakaian dan Alas Kaki,2024,April
1.66,Pakaian dan Alas Kaki,2024,Mei
1.33,Pakaian dan Alas Kaki,2024,Juni
1.49,Pakaian dan Alas Kaki,2024,Juli
2.08,Pakaian dan Alas Kaki,2024,Agustus
-1.45,Pakaian,2024,Januari
-1.47,Pakaian,2024,Februari
-2.2,Pakaian,2024,Maret
-0.76,Pakaian,2024,April
0.92,Pakaian,2024,Mei
1.02,Pakaian,2024,Juni
1.18,Pakaian,2024,Juli
1.76,Pakaian,2024,Agustus
4.01,Alas Kaki,2024,Januari
3.52,Alas Kaki,2024,Februari
3.11,Alas Kaki,2024,Maret
2.92,Alas Kaki,2024,April
4.33,Alas Kaki,2024,Mei
2.39,Alas Kaki,2024,Juni
2.61,Alas Kaki,2024,Juli
3.26,Alas Kaki,2024,Agustus
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.04,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.44,Sewa dan Kontrak Rumah,2024,Januari
0.44,Sewa dan Kontrak Rumah,2024,Februari
0.44,Sewa dan Kontrak Rumah,2024,Maret
0.44,Sewa dan Kontrak Rumah,2024,April
0.44,Sewa dan Kontrak Rumah,2024,Mei
0.44,Sewa dan Kontrak Rumah,2024,Juni
0.44,Sewa dan Kontrak Rumah,2024,Juli
0.44,Sewa dan Kontrak Rumah,2024,Agustus
1.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
1.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
2.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
2.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
2.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.98,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.34,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
3.33,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
3.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
3.31,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
4.34,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
3.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
2.84,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
3.2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
3.87,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
-1.71,"Furnitur, Perlengkapan dan Karpet",2024,Januari
-2.09,"Furnitur, Perlengkapan dan Karpet",2024,Februari
-1.71,"Furnitur, Perlengkapan dan Karpet",2024,Maret
-1.71,"Furnitur, Perlengkapan dan Karpet",2024,April
-1.5,"Furnitur, Perlengkapan dan Karpet",2024,Mei
-2.32,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-2.32,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-1.68,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
-0.11,Tekstil Rumah Tangga,2024,Januari
1.49,Tekstil Rumah Tangga,2024,Februari
4.62,Tekstil Rumah Tangga,2024,Maret
4.62,Tekstil Rumah Tangga,2024,April
2.97,Tekstil Rumah Tangga,2024,Mei
2.97,Tekstil Rumah Tangga,2024,Juni
1.51,Tekstil Rumah Tangga,2024,Juli
1.92,Tekstil Rumah Tangga,2024,Agustus
-0.82,Peralatan Rumah Tangga,2024,Januari
-0.22,Peralatan Rumah Tangga,2024,Februari
-0.01,Peralatan Rumah Tangga,2024,Maret
0.07,Peralatan Rumah Tangga,2024,April
-0.28,Peralatan Rumah Tangga,2024,Mei
-0.74,Peralatan Rumah Tangga,2024,Juni
1.31,Peralatan Rumah Tangga,2024,Juli
2.69,Peralatan Rumah Tangga,2024,Agustus
19.91,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
19.89,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
19.89,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
19.89,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
19.89,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
19.89,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
19.89,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
20.76,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
1.86,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
1.86,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
1.86,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
1.86,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
1.86,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
4.88,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
5.11,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
3.96,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
6,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
4.01,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
3.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
3.62,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
4.14,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
1.55,Kesehatan,2024,Januari
1.88,Kesehatan,2024,Februari
1.84,Kesehatan,2024,Maret
2.26,Kesehatan,2024,April
2.63,Kesehatan,2024,Mei
3.13,Kesehatan,2024,Juni
3.6,Kesehatan,2024,Juli
3.77,Kesehatan,2024,Agustus
4.96,Obat-obatan dan Produk Kesehatan,2024,Januari
4.93,Obat-obatan dan Produk Kesehatan,2024,Februari
4.78,Obat-obatan dan Produk Kesehatan,2024,Maret
6.48,Obat-obatan dan Produk Kesehatan,2024,April
5.78,Obat-obatan dan Produk Kesehatan,2024,Mei
3.66,Obat-obatan dan Produk Kesehatan,2024,Juni
5.54,Obat-obatan dan Produk Kesehatan,2024,Juli
6.12,Obat-obatan dan Produk Kesehatan,2024,Agustus
0.73,Jasa Rawat Jalan,2024,Januari
1.45,Jasa Rawat Jalan,2024,Februari
1.45,Jasa Rawat Jalan,2024,Maret
1.45,Jasa Rawat Jalan,2024,April
2.66,Jasa Rawat Jalan,2024,Mei
4.96,Jasa Rawat Jalan,2024,Juni
4.96,Jasa Rawat Jalan,2024,Juli
4.96,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
0,Jasa Kesehatan Lainnya,2024,Januari
0,Jasa Kesehatan Lainnya,2024,Februari
0,Jasa Kesehatan Lainnya,2024,Maret
0,Jasa Kesehatan Lainnya,2024,April
0,Jasa Kesehatan Lainnya,2024,Mei
0,Jasa Kesehatan Lainnya,2024,Juni
0,Jasa Kesehatan Lainnya,2024,Juli
0,Jasa Kesehatan Lainnya,2024,Agustus
0.65,Transportasi,2024,Januari
0.68,Transportasi,2024,Februari
0.63,Transportasi,2024,Maret
0.86,Transportasi,2024,April
0.79,Transportasi,2024,Mei
0.69,Transportasi,2024,Juni
0.72,Transportasi,2024,Juli
1.23,Transportasi,2024,Agustus
3.1,Pembelian Kendaraan,2024,Januari
3.3,Pembelian Kendaraan,2024,Februari
3.05,Pembelian Kendaraan,2024,Maret
2.92,Pembelian Kendaraan,2024,April
3.44,Pembelian Kendaraan,2024,Mei
2.63,Pembelian Kendaraan,2024,Juni
2.79,Pembelian Kendaraan,2024,Juli
3.39,Pembelian Kendaraan,2024,Agustus
0.25,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
