inflasi,kelompok,tahun,bulan
6.82,"Makanan, Minuman dan Tembakau",2024,Januari
11.15,"Makanan, Minuman dan Tembakau",2024,Februari
12.58,"Makanan, Minuman dan Tembakau",2024,Maret
11.18,"Makanan, Minuman dan Tembakau",2024,April
12.46,"Makanan, Minuman dan Tembakau",2024,Mei
12.02,"Makanan, Minuman dan Tembakau",2024,Juni
6.32,"Makanan, Minuman dan Tembakau",2024,Juli
3.28,"Makanan, Minuman dan Tembakau",2024,Agustus
6.94,Makanan,2024,Januari
12.01,Makanan,2024,Februari
14.39,Makanan,2024,Maret
13.17,Makanan,2024,April
15.09,Makanan,2024,Mei
14.36,Makanan,2024,Juni
6.93,Makanan,2024,Juli
3.29,Makanan,2024,Agustus
1.45,Minuman yang Tidak Beralkohol,2024,Januari
0.42,Minuman yang Tidak Beralkohol,2024,Februari
0.42,Minuman yang Tidak Beralkohol,2024,Maret
-1.95,Minuman yang Tidak Beralkohol,2024,April
-1.69,Minuman yang Tidak Beralkohol,2024,Mei
-1.93,Minuman yang Tidak Beralkohol,2024,Juni
-1.93,Minuman yang Tidak Beralkohol,2024,Juli
-1.93,Minuman yang Tidak Beralkohol,2024,Agustus
7.45,Rokok dan Tembakau,2024,Januari
9.7,Rokok dan Tembakau,2024,Februari
7.21,Rokok dan Tembakau,2024,Maret
5.56,Rokok dan Tembakau,2024,April
4.46,Rokok dan Tembakau,2024,Mei
5.2,Rokok dan Tembakau,2024,Juni
5.45,Rokok dan Tembakau,2024,Juli
4.36,Rokok dan Tembakau,2024,Agustus
5.6,Pakaian dan Alas Kaki,2024,Januari
6.78,Pakaian dan Alas Kaki,2024,Februari
3.36,Pakaian dan Alas Kaki,2024,Maret
4.58,Pakaian dan Alas Kaki,2024,April
4.57,Pakaian dan Alas Kaki,2024,Mei
4.59,Pakaian dan Alas Kaki,2024,Juni
4.28,Pakaian dan Alas Kaki,2024,Juli
4.27,Pakaian dan Alas Kaki,2024,Agustus
5.78,Pakaian,2024,Januari
7.07,Pakaian,2024,Februari
3.29,Pakaian,2024,Maret
4.65,Pakaian,2024,April
4.61,Pakaian,2024,Mei
4.67,Pakaian,2024,Juni
4.27,Pakaian,2024,Juli
4.23,Pakaian,2024,Agustus
4.69,Alas Kaki,2024,Januari
5.39,Alas Kaki,2024,Februari
3.69,Alas Kaki,2024,Maret
4.23,Alas Kaki,2024,April
4.47,Alas Kaki,2024,Mei
4.3,Alas Kaki,2024,Juni
4.3,Alas Kaki,2024,Juli
4.4,Alas Kaki,2024,Agustus
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.31,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.33,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.39,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.38,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.26,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.29,Sewa dan Kontrak Rumah,2024,Januari
0.29,Sewa dan Kontrak Rumah,2024,Februari
0.29,Sewa dan Kontrak Rumah,2024,Maret
0.29,Sewa dan Kontrak Rumah,2024,April
0.29,Sewa dan Kontrak Rumah,2024,Mei
0.29,Sewa dan Kontrak Rumah,2024,Juni
0.29,Sewa dan Kontrak Rumah,2024,Juli
0.29,Sewa dan Kontrak Rumah,2024,Agustus
1.45,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.93,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.94,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
2.03,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
1.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
1.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
1.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.03,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.08,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.28,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.28,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.06,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.15,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.67,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.04,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.35,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.28,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.28,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
5.52,"Furnitur, Perlengkapan dan Karpet",2024,Januari
-0.44,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.09,"Furnitur, Perlengkapan dan Karpet",2024,April
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.96,Tekstil Rumah Tangga,2024,Januari
1.12,Tekstil Rumah Tangga,2024,Februari
1.12,Tekstil Rumah Tangga,2024,Maret
0.81,Tekstil Rumah Tangga,2024,April
2.38,Tekstil Rumah Tangga,2024,Mei
1.12,Tekstil Rumah Tangga,2024,Juni
1.12,Tekstil Rumah Tangga,2024,Juli
1.12,Tekstil Rumah Tangga,2024,Agustus
0.13,Peralatan Rumah Tangga,2024,Januari
-0.05,Peralatan Rumah Tangga,2024,Februari
-0.2,Peralatan Rumah Tangga,2024,Maret
0.79,Peralatan Rumah Tangga,2024,April
1.22,Peralatan Rumah Tangga,2024,Mei
1.64,Peralatan Rumah Tangga,2024,Juni
1.75,Peralatan Rumah Tangga,2024,Juli
1.53,Peralatan Rumah Tangga,2024,Agustus
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
1.63,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
1.3,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
1.3,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
1.3,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
-1.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-1.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-1.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
-1.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
-1.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
1.27,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
1.05,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
1.75,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
0.69,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-0.16,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
-0.2,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-0.23,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-0.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
2.03,Kesehatan,2024,Januari
3.68,Kesehatan,2024,Februari
4.05,Kesehatan,2024,Maret
4.05,Kesehatan,2024,April
3.88,Kesehatan,2024,Mei
4.04,Kesehatan,2024,Juni
4.04,Kesehatan,2024,Juli
4.15,Kesehatan,2024,Agustus
1.86,Obat-obatan dan Produk Kesehatan,2024,Januari
3.36,Obat-obatan dan Produk Kesehatan,2024,Februari
4.42,Obat-obatan dan Produk Kesehatan,2024,Maret
4.45,Obat-obatan dan Produk Kesehatan,2024,April
3.97,Obat-obatan dan Produk Kesehatan,2024,Mei
4.37,Obat-obatan dan Produk Kesehatan,2024,Juni
4.37,Obat-obatan dan Produk Kesehatan,2024,Juli
4.37,Obat-obatan dan Produk Kesehatan,2024,Agustus
2.96,Jasa Rawat Jalan,2024,Januari
5.71,Jasa Rawat Jalan,2024,Februari
5.71,Jasa Rawat Jalan,2024,Maret
5.71,Jasa Rawat Jalan,2024,April
5.71,Jasa Rawat Jalan,2024,Mei
5.71,Jasa Rawat Jalan,2024,Juni
5.71,Jasa Rawat Jalan,2024,Juli
5.71,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
1.98,Jasa Kesehatan Lainnya,2024,Januari
1.98,Jasa Kesehatan Lainnya,2024,Februari
