inflasi,kelompok,tahun,bulan
5.17,"Makanan, Minuman dan Tembakau",2024,Januari
6.66,"Makanan, Minuman dan Tembakau",2024,Februari
5.98,"Makanan, Minuman dan Tembakau",2024,Maret
6.04,"Makanan, Minuman dan Tembakau",2024,April
5.49,"Makanan, Minuman dan Tembakau",2024,Mei
3.8,"Makanan, Minuman dan Tembakau",2024,Juni
2.14,"Makanan, Minuman dan Tembakau",2024,Juli
1.35,"Makanan, Minuman dan Tembakau",2024,Agustus
6.37,Makanan,2024,Januari
8.2,Makanan,2024,Februari
7.2,Makanan,2024,Maret
7.38,Makanan,2024,April
7,Makanan,2024,Mei
4.84,Makanan,2024,Juni
2.46,Makanan,2024,Juli
1.5,Makanan,2024,Agustus
-5.72,Minuman yang Tidak Beralkohol,2024,Januari
-5.72,Minuman yang Tidak Beralkohol,2024,Februari
-4.61,Minuman yang Tidak Beralkohol,2024,Maret
-6.15,Minuman yang Tidak Beralkohol,2024,April
-6.19,Minuman yang Tidak Beralkohol,2024,Mei
-5.27,Minuman yang Tidak Beralkohol,2024,Juni
-0.18,Minuman yang Tidak Beralkohol,2024,Juli
-0.09,Minuman yang Tidak Beralkohol,2024,Agustus
2.32,Rokok dan Tembakau,2024,Januari
2.32,Rokok dan Tembakau,2024,Februari
2.92,Rokok dan Tembakau,2024,Maret
2.92,Rokok dan Tembakau,2024,April
0.62,Rokok dan Tembakau,2024,Mei
0.93,Rokok dan Tembakau,2024,Juni
0.93,Rokok dan Tembakau,2024,Juli
1.06,Rokok dan Tembakau,2024,Agustus
-0.53,Pakaian dan Alas Kaki,2024,Januari
-0.53,Pakaian dan Alas Kaki,2024,Februari
0.47,Pakaian dan Alas Kaki,2024,Maret
1.12,Pakaian dan Alas Kaki,2024,April
0.98,Pakaian dan Alas Kaki,2024,Mei
2,Pakaian dan Alas Kaki,2024,Juni
1.48,Pakaian dan Alas Kaki,2024,Juli
1.46,Pakaian dan Alas Kaki,2024,Agustus
2.58,Pakaian,2024,Januari
2.58,Pakaian,2024,Februari
2.13,Pakaian,2024,Maret
1.8,Pakaian,2024,April
1.22,Pakaian,2024,Mei
1.83,Pakaian,2024,Juni
1.75,Pakaian,2024,Juli
1.71,Pakaian,2024,Agustus
-12.2,Alas Kaki,2024,Januari
-12.19,Alas Kaki,2024,Februari
-6.22,Alas Kaki,2024,Maret
-1.77,Alas Kaki,2024,April
-0.08,Alas Kaki,2024,Mei
2.72,Alas Kaki,2024,Juni
0.33,Alas Kaki,2024,Juli
0.33,Alas Kaki,2024,Agustus
2.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
2.72,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.99,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.87,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
1.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.89,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.9,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0.66,Sewa dan Kontrak Rumah,2024,Mei
0.66,Sewa dan Kontrak Rumah,2024,Juni
0.66,Sewa dan Kontrak Rumah,2024,Juli
0.66,Sewa dan Kontrak Rumah,2024,Agustus
3.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
3.35,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
2.34,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
3.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
2.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
1.83,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
1.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.96,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
3.63,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
3.91,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
2.94,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
2.66,Listrik dan Bahan Bakar Rumah Tangga,2024,April
2.52,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
1.82,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.78,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.75,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-3.09,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-3.89,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.4,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.12,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.91,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.72,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.61,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
-1.98,"Furnitur, Perlengkapan dan Karpet",2024,Januari
-1.98,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0.04,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.04,"Furnitur, Perlengkapan dan Karpet",2024,April
0.04,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.04,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0.04,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0.04,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
7.3,Tekstil Rumah Tangga,2024,Januari
7.3,Tekstil Rumah Tangga,2024,Februari
7.3,Tekstil Rumah Tangga,2024,Maret
2.12,Tekstil Rumah Tangga,2024,April
2.12,Tekstil Rumah Tangga,2024,Mei
2.12,Tekstil Rumah Tangga,2024,Juni
2.12,Tekstil Rumah Tangga,2024,Juli
2.12,Tekstil Rumah Tangga,2024,Agustus
-9.94,Peralatan Rumah Tangga,2024,Januari
-9.01,Peralatan Rumah Tangga,2024,Februari
-2.92,Peralatan Rumah Tangga,2024,Maret
-2.38,Peralatan Rumah Tangga,2024,April
2.13,Peralatan Rumah Tangga,2024,Mei
2.13,Peralatan Rumah Tangga,2024,Juni
2.13,Peralatan Rumah Tangga,2024,Juli
1.47,Peralatan Rumah Tangga,2024,Agustus
-14.93,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-19.29,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
0.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
0.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
1.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
1.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
1.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
1.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
0.32,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0.32,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
-0.04,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
-0.06,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-0.04,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-0.04,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
-0.04,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
-0.04,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
-1.23,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
-2.23,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
0,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
1.02,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
1.29,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
0.87,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
0.54,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
0.47,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
2.97,Kesehatan,2024,Januari
3.57,Kesehatan,2024,Februari
-2.33,Kesehatan,2024,Maret
-1.79,Kesehatan,2024,April
-2.34,Kesehatan,2024,Mei
-0.28,Kesehatan,2024,Juni
2.13,Kesehatan,2024,Juli
3.1,Kesehatan,2024,Agustus
4.84,Obat-obatan dan Produk Kesehatan,2024,Januari
5.83,Obat-obatan dan Produk Kesehatan,2024,Februari
-3.68,Obat-obatan dan Produk Kesehatan,2024,Maret
-2.83,Obat-obatan dan Produk Kesehatan,2024,April
-3.7,Obat-obatan dan Produk Kesehatan,2024,Mei
-0.45,Obat-obatan dan Produk Kesehatan,2024,Juni
-0.28,Obat-obatan dan Produk Kesehatan,2024,Juli
1.25,Obat-obatan dan Produk Kesehatan,2024,Agustus
0,Jasa Rawat Jalan,2024,Januari
0,Jasa Rawat Jalan,2024,Februari
0,Jasa Rawat Jalan,2024,Maret
0,Jasa Rawat Jalan,2024,April
0,Jasa Rawat Jalan,2024,Mei
0,Jasa Rawat Jalan,2024,Juni
10.68,Jasa Rawat Jalan,2024,Juli
10.68,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
3.26,Transportasi,2024,Januari
3.3,Transportasi,2024,Februari
0.72,Transportasi,2024,Maret
0.72,Transportasi,2024,April
0.86,Transportasi,2024,Mei
0.22,Transportasi,2024,Juni
0.87,Transportasi,2024,Juli
0.38,Transportasi,2024,Agustus
7.8,Pembelian Kendaraan,2024,Januari
7.8,Pembelian Kendaraan,2024,Februari
1.53,Pembelian Kendaraan,2024,Maret
1.53,Pembelian Kendaraan,2024,April
2.39,Pembelian Kendaraan,2024,Mei
2.39,Pembelian Kendaraan,2024,Juni
2.39,Pembelian Kendaraan,2024,Juli
2.39,Pembelian Kendaraan,2024,Agustus
0.75,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
0.8,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
0.68,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
0.68,Pengoperasian Peralatan Transportasi Pribadi,2024,April
0.68,Pengoperasian Peralatan Transportasi Pribadi,2024,Mei
-0.25,Pengoperasian Peralatan Transportasi Pribadi,2024,Juni
-0.25,Pengoperasian Peralatan Transportasi Pribadi,2024,Juli
-0.04,Pengoperasian Peralatan Transportasi Pribadi,2024,Agustus
8.74,Jasa Angkutan Penumpang,2024,Januari
8.74,Jasa Angkutan Penumpang,2024,Februari
-0.02,Jasa Angkutan Penumpang,2024,Maret
-0.02,Jasa Angkutan Penumpang,2024,April
-0.02,Jasa Angkutan Penumpang,2024,Mei
-0.02,Jasa Angkutan Penumpang,2024,Juni
4.32,Jasa Angkutan Penumpang,2024,Juli
0,Jasa Angkutan Penumpang,2024,Agustus
24.84,Jasa Pengiriman Barang,2024,Januari
24.84,Jasa Pengiriman Barang,2024,Februari
0,Jasa Pengiriman Barang,2024,Maret
0,Jasa Pengiriman Barang,2024,April
0,Jasa Pengiriman Barang,2024,Mei
0,Jasa Pengiriman Barang,2024,Juni
0,Jasa Pengiriman Barang,2024,Juli
0,Jasa Pengiriman Barang,2024,Agustus
-0.5,"Informasi, Komunikasi dan Jasa Keuangan",2024,Januari
-0.5,"Informasi, Komunikasi dan Jasa Keuangan",2024,Februari
-0.45,"Informasi, Komunikasi dan Jasa Keuangan",2024,Maret
-0.45,"Informasi, Komunikasi dan Jasa Keuangan",2024,April
-0.62,"Informasi, Komunikasi dan Jasa Keuangan",2024,Mei
-1.05,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juni
-1.04,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juli
-1.44,"Informasi, Komunikasi dan Jasa Keuangan",2024,Agustus
-2.34,Peralatan Informasi dan Komunikasi,2024,Januari
-2.34,Peralatan Informasi dan Komunikasi,2024,Februari
-2.17,Peralatan Informasi dan Komunikasi,2024,Maret
-2.17,Peralatan Informasi dan Komunikasi,2024,April
-2.95,Peralatan Informasi dan Komunikasi,2024,Mei
-5.06,Peralatan Informasi dan Komunikasi,2024,Juni
-4.98,Peralatan Informasi dan Komunikasi,2024,Juli
-6.77,Peralatan Informasi dan Komunikasi,2024,Agustus
0,Layanan Informasi dan Komunikasi,2024,Januari
0,Layanan Informasi dan Komunikasi,2024,Februari
0,Layanan Informasi dan Komunikasi,2024,Maret
0,Layanan Informasi dan Komunikasi,2024,April
0,Layanan Informasi dan Komunikasi,2024,Mei
0,Layanan Informasi dan Komunikasi,2024,Juni
0,Layanan Informasi dan Komunikasi,2024,Juli
0,Layanan Informasi dan Komunikasi,2024,Agustus
0,Jasa Keuangan,2024,Januari
0,Jasa Keuangan,2024,Februari
0,Jasa Keuangan,2024,Maret
0,Jasa Keuangan,2024,April
0,Jasa Keuangan,2024,Mei
0,Jasa Keuangan,2024,Juni
0,Jasa Keuangan,2024,Juli
0,Jasa Keuangan,2024,Agustus
13.42,"Rekreasi, Olahraga dan Budaya",2024,Januari
13.42,"Rekreasi, Olahraga dan Budaya",2024,Februari
9.19,"Rekreasi, Olahraga dan Budaya",2024,Maret
9.19,"Rekreasi, Olahraga dan Budaya",2024,April
9.19,"Rekreasi, Olahraga dan Budaya",2024,Mei
10.13,"Rekreasi, Olahraga dan Budaya",2024,Juni
13.91,"Rekreasi, Olahraga dan Budaya",2024,Juli
8.66,"Rekreasi, Olahraga dan Budaya",2024,Agustus
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,Januari
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,Februari
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,Maret
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,April
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,Mei
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,Juni
7.42,Barang Rekreasi Lainnya dan Olahraga,2024,Juli
0,Barang Rekreasi Lainnya dan Olahraga,2024,Agustus
33.38,Layanan Rekreasi dan Olahraga,2024,Januari
33.38,Layanan Rekreasi dan Olahraga,2024,Februari
18.56,Layanan Rekreasi dan Olahraga,2024,Maret
18.56,Layanan Rekreasi dan Olahraga,2024,April
18.56,Layanan Rekreasi dan Olahraga,2024,Mei
18.56,Layanan Rekreasi dan Olahraga,2024,Juni
37.58,Layanan Rekreasi dan Olahraga,2024,Juli
25,Layanan Rekreasi dan Olahraga,2024,Agustus
10.45,"Koran, Buku dan Perlengkapan Sekolah",2024,Januari
10.45,"Koran, Buku dan Perlengkapan Sekolah",2024,Februari
6.42,"Koran, Buku dan Perlengkapan Sekolah",2024,Maret
6.42,"Koran, Buku dan Perlengkapan Sekolah",2024,April
6.42,"Koran, Buku dan Perlengkapan Sekolah",2024,Mei
8.64,"Koran, Buku dan Perlengkapan Sekolah",2024,Juni
8.71,"Koran, Buku dan Perlengkapan Sekolah",2024,Juli
8.71,"Koran, Buku dan Perlengkapan Sekolah",2024,Agustus
0,Pendidikan,2024,Januari
0,Pendidikan,2024,Februari
0,Pendidikan,2024,Maret
0,Pendidikan,2024,April
0,Pendidikan,2024,Mei
0,Pendidikan,2024,Juni
0.06,Pendidikan,2024,Juli
1.21,Pendidikan,2024,Agustus
0,Pendidikan Dasar dan Anak Usia Dini,2024,Januari
0,Pendidikan Dasar dan Anak Usia Dini,2024,Februari
0,Pendidikan Dasar dan Anak Usia Dini,2024,Maret
0,Pendidikan Dasar dan Anak Usia Dini,2024,April
0,Pendidikan Dasar dan Anak Usia Dini,2024,Mei
0,Pendidikan Dasar dan Anak Usia Dini,2024,Juni
0.33,Pendidikan Dasar dan Anak Usia Dini,2024,Juli
2.05,Pendidikan Dasar dan Anak Usia Dini,2024,Agustus
0,Pendidikan Menengah,2024,Januari
0,Pendidikan Menengah,2024,Februari
0,Pendidikan Menengah,2024,Maret
0,Pendidikan Menengah,2024,April
0,Pendidikan Menengah,2024,Mei
0,Pendidikan Menengah,2024,Juni
0,Pendidikan Menengah,2024,Juli
4.05,Pendidikan Menengah,2024,Agustus
0,Pendidikan Tinggi,2024,Januari
0,Pendidikan Tinggi,2024,Februari
0,Pendidikan Tinggi,2024,Maret
0,Pendidikan Tinggi,2024,April
0,Pendidikan Tinggi,2024,Mei
0,Pendidikan Tinggi,2024,Juni
0,Pendidikan Tinggi,2024,Juli
0,Pendidikan Tinggi,2024,Agustus
1.87,Penyediaan Makanan dan Minuman / Restoran,2024,Januari
2.34,Penyediaan Makanan dan Minuman / Restoran,2024,Februari
2.39,Penyediaan Makanan dan Minuman / Restoran,2024,Maret
2.5,Penyediaan Makanan dan Minuman / Restoran,2024,April
3.1,Penyediaan Makanan dan Minuman / Restoran,2024,Mei
3.39,Penyediaan Makanan dan Minuman / Restoran,2024,Juni
3.21,Penyediaan Makanan dan Minuman / Restoran,2024,Juli
3.06,Penyediaan Makanan dan Minuman / Restoran,2024,Agustus
1.87,Jasa Pelayanan Makanan dan Minuman,2024,Januari
2.34,Jasa Pelayanan Makanan dan Minuman,2024,Februari
2.39,Jasa Pelayanan Makanan dan Minuman,2024,Maret
2.5,Jasa Pelayanan Makanan dan Minuman,2024,April
3.1,Jasa Pelayanan Makanan dan Minuman,2024,Mei
3.39,Jasa Pelayanan Makanan dan Minuman,2024,Juni
3.21,Jasa Pelayanan Makanan dan Minuman,2024,Juli
3.06,Jasa Pelayanan Makanan dan Minuman,2024,Agustus
3.79,Perawatan Pribadi dan Jasa Lainnya,2024,Januari
3.71,Perawatan Pribadi dan Jasa Lainnya,2024,Februari
3.22,Perawatan Pribadi dan Jasa Lainnya,2024,Maret
4.12,Perawatan Pribadi dan Jasa Lainnya,2024,April
2,Perawatan Pribadi dan Jasa Lainnya,2024,Mei
1.55,Perawatan Pribadi dan Jasa Lainnya,2024,Juni
1.4,Perawatan Pribadi dan Jasa Lainnya,2024,Juli
2.41,Perawatan Pribadi dan Jasa Lainnya,2024,Agustus
2.57,Perawatan Pribadi,2024,Januari
2.6,Perawatan Pribadi,2024,Februari
1.28,Perawatan Pribadi,2024,Maret
2.92,Perawatan Pribadi,2024,April
0.54,Perawatan Pribadi,2024,Mei
-1.16,Perawatan Pribadi,2024,Juni
-1.48,Perawatan Pribadi,2024,Juli
-0.21,Perawatan Pribadi,2024,Agustus
