inflasi,kelompok,tahun,bulan
2.95,"Makanan, Minuman dan Tembakau",2024,Januari
4.6,"Makanan, Minuman dan Tembakau",2024,Februari
5.03,"Makanan, Minuman dan Tembakau",2024,Maret
9.84,"Makanan, Minuman dan Tembakau",2024,April
10.03,"Makanan, Minuman dan Tembakau",2024,Mei
6.57,"Makanan, Minuman dan Tembakau",2024,Juni
7.86,"Makanan, Minuman dan Tembakau",2024,Juli
6.61,"Makanan, Minuman dan Tembakau",2024,Agustus
1.38,Makanan,2024,Januari
4.19,Makanan,2024,Februari
4.5,Makanan,2024,Maret
10.41,Makanan,2024,April
10.12,Makanan,2024,Mei
5.63,Makanan,2024,Juni
7.27,Makanan,2024,Juli
5.49,Makanan,2024,Agustus
2.96,Minuman yang Tidak Beralkohol,2024,Januari
0.52,Minuman yang Tidak Beralkohol,2024,Februari
0.34,Minuman yang Tidak Beralkohol,2024,Maret
2.03,Minuman yang Tidak Beralkohol,2024,April
6.22,Minuman yang Tidak Beralkohol,2024,Mei
6.22,Minuman yang Tidak Beralkohol,2024,Juni
5.93,Minuman yang Tidak Beralkohol,2024,Juli
5.36,Minuman yang Tidak Beralkohol,2024,Agustus
11.86,Rokok dan Tembakau,2024,Januari
8.58,Rokok dan Tembakau,2024,Februari
9.97,Rokok dan Tembakau,2024,Maret
10.47,Rokok dan Tembakau,2024,April
11.29,Rokok dan Tembakau,2024,Mei
11.73,Rokok dan Tembakau,2024,Juni
11.89,Rokok dan Tembakau,2024,Juli
13.1,Rokok dan Tembakau,2024,Agustus
-0.45,Pakaian dan Alas Kaki,2024,Januari
-0.6,Pakaian dan Alas Kaki,2024,Februari
-0.63,Pakaian dan Alas Kaki,2024,Maret
-0.65,Pakaian dan Alas Kaki,2024,April
-0.67,Pakaian dan Alas Kaki,2024,Mei
-0.56,Pakaian dan Alas Kaki,2024,Juni
-0.5,Pakaian dan Alas Kaki,2024,Juli
-0.55,Pakaian dan Alas Kaki,2024,Agustus
-0.37,Pakaian,2024,Januari
-0.57,Pakaian,2024,Februari
-0.51,Pakaian,2024,Maret
-0.47,Pakaian,2024,April
-0.5,Pakaian,2024,Mei
-0.36,Pakaian,2024,Juni
-0.35,Pakaian,2024,Juli
-0.39,Pakaian,2024,Agustus
-0.67,Alas Kaki,2024,Januari
-0.67,Alas Kaki,2024,Februari
-1.07,Alas Kaki,2024,Maret
-1.24,Alas Kaki,2024,April
