inflasi,kelompok,tahun,bulan
9.11,"Makanan, Minuman dan Tembakau",2024,Januari
7.77,"Makanan, Minuman dan Tembakau",2024,Februari
8.3,"Makanan, Minuman dan Tembakau",2024,Maret
7.66,"Makanan, Minuman dan Tembakau",2024,April
5.13,"Makanan, Minuman dan Tembakau",2024,Mei
3.59,"Makanan, Minuman dan Tembakau",2024,Juni
3.16,"Makanan, Minuman dan Tembakau",2024,Juli
4.3,"Makanan, Minuman dan Tembakau",2024,Agustus
10.51,Makanan,2024,Januari
8.95,Makanan,2024,Februari
9.43,Makanan,2024,Maret
8.61,Makanan,2024,April
5.05,Makanan,2024,Mei
3.1,Makanan,2024,Juni
2.34,Makanan,2024,Juli
3.75,Makanan,2024,Agustus
2.49,Minuman yang Tidak Beralkohol,2024,Januari
0.59,Minuman yang Tidak Beralkohol,2024,Februari
2.22,Minuman yang Tidak Beralkohol,2024,Maret
2.17,Minuman yang Tidak Beralkohol,2024,April
2.17,Minuman yang Tidak Beralkohol,2024,Mei
1.46,Minuman yang Tidak Beralkohol,2024,Juni
4.68,Minuman yang Tidak Beralkohol,2024,Juli
5.49,Minuman yang Tidak Beralkohol,2024,Agustus
6.93,Rokok dan Tembakau,2024,Januari
6.93,Rokok dan Tembakau,2024,Februari
6.93,Rokok dan Tembakau,2024,Maret
6.75,Rokok dan Tembakau,2024,April
7.47,Rokok dan Tembakau,2024,Mei
7.47,Rokok dan Tembakau,2024,Juni
6.25,Rokok dan Tembakau,2024,Juli
6.25,Rokok dan Tembakau,2024,Agustus
1.16,Pakaian dan Alas Kaki,2024,Januari
0.75,Pakaian dan Alas Kaki,2024,Februari
-0.2,Pakaian dan Alas Kaki,2024,Maret
-0.2,Pakaian dan Alas Kaki,2024,April
-0.2,Pakaian dan Alas Kaki,2024,Mei
-0.2,Pakaian dan Alas Kaki,2024,Juni
-1.15,Pakaian dan Alas Kaki,2024,Juli
-1.04,Pakaian dan Alas Kaki,2024,Agustus
-0.66,Pakaian,2024,Januari
-0.74,Pakaian,2024,Februari
-1.63,Pakaian,2024,Maret
-1.63,Pakaian,2024,April
