inflasi,kelompok,tahun,bulan
7.37,"Makanan, Minuman dan Tembakau",2024,Januari
5.86,"Makanan, Minuman dan Tembakau",2024,Februari
5.37,"Makanan, Minuman dan Tembakau",2024,Maret
6.3,"Makanan, Minuman dan Tembakau",2024,April
6.79,"Makanan, Minuman dan Tembakau",2024,Mei
3.01,"Makanan, Minuman dan Tembakau",2024,Juni
2.62,"Makanan, Minuman dan Tembakau",2024,Juli
3.5,"Makanan, Minuman dan Tembakau",2024,Agustus
7.13,Makanan,2024,Januari
5.25,Makanan,2024,Februari
4.8,Makanan,2024,Maret
5.91,Makanan,2024,April
7.03,Makanan,2024,Mei
2.23,Makanan,2024,Juni
1.78,Makanan,2024,Juli
2.79,Makanan,2024,Agustus
6.13,Minuman yang Tidak Beralkohol,2024,Januari
4.76,Minuman yang Tidak Beralkohol,2024,Februari
3.97,Minuman yang Tidak Beralkohol,2024,Maret
4.49,Minuman yang Tidak Beralkohol,2024,April
4.43,Minuman yang Tidak Beralkohol,2024,Mei
4.49,Minuman yang Tidak Beralkohol,2024,Juni
4.49,Minuman yang Tidak Beralkohol,2024,Juli
5.96,Minuman yang Tidak Beralkohol,2024,Agustus
9.23,Rokok dan Tembakau,2024,Januari
9.72,Rokok dan Tembakau,2024,Februari
9.21,Rokok dan Tembakau,2024,Maret
9.21,Rokok dan Tembakau,2024,April
6.43,Rokok dan Tembakau,2024,Mei
6.84,Rokok dan Tembakau,2024,Juni
6.58,Rokok dan Tembakau,2024,Juli
6.47,Rokok dan Tembakau,2024,Agustus
-3.07,Pakaian dan Alas Kaki,2024,Januari
-2.87,Pakaian dan Alas Kaki,2024,Februari
-2.6,Pakaian dan Alas Kaki,2024,Maret
-2.6,Pakaian dan Alas Kaki,2024,April
-2.6,Pakaian dan Alas Kaki,2024,Mei
-2.6,Pakaian dan Alas Kaki,2024,Juni
-2.88,Pakaian dan Alas Kaki,2024,Juli
-0.7,Pakaian dan Alas Kaki,2024,Agustus
-5.71,Pakaian,2024,Januari
-3.39,Pakaian,2024,Februari
-3.05,Pakaian,2024,Maret
-3.05,Pakaian,2024,April
-3.05,Pakaian,2024,Mei
-3.05,Pakaian,2024,Juni
-3.39,Pakaian,2024,Juli
-0.89,Pakaian,2024,Agustus
8.56,Alas Kaki,2024,Januari
-0.83,Alas Kaki,2024,Februari
-0.83,Alas Kaki,2024,Maret
-0.83,Alas Kaki,2024,April
-0.83,Alas Kaki,2024,Mei
-0.83,Alas Kaki,2024,Juni
-0.83,Alas Kaki,2024,Juli
0,Alas Kaki,2024,Agustus
0.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.17,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.13,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.34,Sewa dan Kontrak Rumah,2024,Januari
0.34,Sewa dan Kontrak Rumah,2024,Februari
0.34,Sewa dan Kontrak Rumah,2024,Maret
0.34,Sewa dan Kontrak Rumah,2024,April
0.34,Sewa dan Kontrak Rumah,2024,Mei
0.34,Sewa dan Kontrak Rumah,2024,Juni
0.34,Sewa dan Kontrak Rumah,2024,Juli
0.34,Sewa dan Kontrak Rumah,2024,Agustus
-1.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-3.02,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-2.52,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-2.86,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-3.02,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-3.24,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-2.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.55,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
1.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.74,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.74,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.74,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0.71,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.74,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.46,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.6,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.09,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.74,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.11,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.19,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.26,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-0.4,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
2.1,"Furnitur, Perlengkapan dan Karpet",2024,Januari
1.09,"Furnitur, Perlengkapan dan Karpet",2024,Februari
1.09,"Furnitur, Perlengkapan dan Karpet",2024,Maret
-1.56,"Furnitur, Perlengkapan dan Karpet",2024,April
1.72,"Furnitur, Perlengkapan dan Karpet",2024,Mei
1.72,"Furnitur, Perlengkapan dan Karpet",2024,Juni
1.72,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
-10.25,Tekstil Rumah Tangga,2024,Januari
-10.25,Tekstil Rumah Tangga,2024,Februari
-10.25,Tekstil Rumah Tangga,2024,Maret
-10.25,Tekstil Rumah Tangga,2024,April
-10.25,Tekstil Rumah Tangga,2024,Mei
-10.25,Tekstil Rumah Tangga,2024,Juni
-10.25,Tekstil Rumah Tangga,2024,Juli
0,Tekstil Rumah Tangga,2024,Agustus
5.3,Peralatan Rumah Tangga,2024,Januari
-0.54,Peralatan Rumah Tangga,2024,Februari
-0.54,Peralatan Rumah Tangga,2024,Maret
-0.54,Peralatan Rumah Tangga,2024,April
-0.54,Peralatan Rumah Tangga,2024,Mei
-0.54,Peralatan Rumah Tangga,2024,Juni
-0.54,Peralatan Rumah Tangga,2024,Juli
0,Peralatan Rumah Tangga,2024,Agustus
4.23,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
4.23,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
4.23,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
4.23,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
4.23,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
0.71,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
0.71,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
-4.27,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
-2.84,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
-1.72,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
-1.8,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-1.82,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-0.76,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
-1.18,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
-6.28,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
-0.34,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
-0.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
0.6,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
0.17,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
0.34,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
0.56,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
0.45,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
0.18,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
2.75,Kesehatan,2024,Januari
2.19,Kesehatan,2024,Februari
3.05,Kesehatan,2024,Maret
3.05,Kesehatan,2024,April
2.32,Kesehatan,2024,Mei
2.32,Kesehatan,2024,Juni
1.87,Kesehatan,2024,Juli
1.69,Kesehatan,2024,Agustus
3.91,Obat-obatan dan Produk Kesehatan,2024,Januari
3.23,Obat-obatan dan Produk Kesehatan,2024,Februari
4.73,Obat-obatan dan Produk Kesehatan,2024,Maret
4.73,Obat-obatan dan Produk Kesehatan,2024,April
4.1,Obat-obatan dan Produk Kesehatan,2024,Mei
4.1,Obat-obatan dan Produk Kesehatan,2024,Juni
3.3,Obat-obatan dan Produk Kesehatan,2024,Juli
2.97,Obat-obatan dan Produk Kesehatan,2024,Agustus
1.43,Jasa Rawat Jalan,2024,Januari
0.98,Jasa Rawat Jalan,2024,Februari
0.98,Jasa Rawat Jalan,2024,Maret
0.98,Jasa Rawat Jalan,2024,April
0,Jasa Rawat Jalan,2024,Mei
0,Jasa Rawat Jalan,2024,Juni
0,Jasa Rawat Jalan,2024,Juli
