inflasi,kelompok,tahun,bulan
7.73,"Makanan, Minuman dan Tembakau",2024,Januari
3.85,"Makanan, Minuman dan Tembakau",2024,Februari
5.69,"Makanan, Minuman dan Tembakau",2024,Maret
5.83,"Makanan, Minuman dan Tembakau",2024,April
2.75,"Makanan, Minuman dan Tembakau",2024,Mei
2.95,"Makanan, Minuman dan Tembakau",2024,Juni
1.51,"Makanan, Minuman dan Tembakau",2024,Juli
0.99,"Makanan, Minuman dan Tembakau",2024,Agustus
8.2,Makanan,2024,Januari
3.58,Makanan,2024,Februari
5.83,Makanan,2024,Maret
5.66,Makanan,2024,April
2.18,Makanan,2024,Mei
2.55,Makanan,2024,Juni
0.82,Makanan,2024,Juli
0.26,Makanan,2024,Agustus
11.08,Minuman yang Tidak Beralkohol,2024,Januari
13.23,Minuman yang Tidak Beralkohol,2024,Februari
13.1,Minuman yang Tidak Beralkohol,2024,Maret
12.72,Minuman yang Tidak Beralkohol,2024,April
9.44,Minuman yang Tidak Beralkohol,2024,Mei
9.03,Minuman yang Tidak Beralkohol,2024,Juni
8.72,Minuman yang Tidak Beralkohol,2024,Juli
7.34,Minuman yang Tidak Beralkohol,2024,Agustus
3.34,Rokok dan Tembakau,2024,Januari
1.81,Rokok dan Tembakau,2024,Februari
1.79,Rokok dan Tembakau,2024,Maret
4.3,Rokok dan Tembakau,2024,April
3.91,Rokok dan Tembakau,2024,Mei
3.2,Rokok dan Tembakau,2024,Juni
3.2,Rokok dan Tembakau,2024,Juli
3.18,Rokok dan Tembakau,2024,Agustus
2.12,Pakaian dan Alas Kaki,2024,Januari
1.73,Pakaian dan Alas Kaki,2024,Februari
2.9,Pakaian dan Alas Kaki,2024,Maret
2.41,Pakaian dan Alas Kaki,2024,April
2.35,Pakaian dan Alas Kaki,2024,Mei
1.91,Pakaian dan Alas Kaki,2024,Juni
1.92,Pakaian dan Alas Kaki,2024,Juli
1.91,Pakaian dan Alas Kaki,2024,Agustus
1.39,Pakaian,2024,Januari
1.37,Pakaian,2024,Februari
2.82,Pakaian,2024,Maret
2.31,Pakaian,2024,April
2.24,Pakaian,2024,Mei
1.7,Pakaian,2024,Juni
1.7,Pakaian,2024,Juli
1.66,Pakaian,2024,Agustus
5.3,Alas Kaki,2024,Januari
3.28,Alas Kaki,2024,Februari
3.22,Alas Kaki,2024,Maret
2.81,Alas Kaki,2024,April
2.81,Alas Kaki,2024,Mei
2.81,Alas Kaki,2024,Juni
2.88,Alas Kaki,2024,Juli
3.04,Alas Kaki,2024,Agustus
-0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.77,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.89,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-1.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.26,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.37,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.46,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
3.32,Sewa dan Kontrak Rumah,2024,Januari
3.32,Sewa dan Kontrak Rumah,2024,Februari
3.32,Sewa dan Kontrak Rumah,2024,Maret
3.32,Sewa dan Kontrak Rumah,2024,April
3.32,Sewa dan Kontrak Rumah,2024,Mei
3.32,Sewa dan Kontrak Rumah,2024,Juni
2.24,Sewa dan Kontrak Rumah,2024,Juli
2.24,Sewa dan Kontrak Rumah,2024,Agustus
-1.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-2.01,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-2.18,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-3.81,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-3.58,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-3.43,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-2.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-2.4,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
31.02,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
31.02,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
31.02,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
31.02,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.64,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.77,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.75,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.72,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.72,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-1.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-1.55,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-0.62,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.19,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.6,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.12,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.5,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.05,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.64,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
1.65,"Furnitur, Perlengkapan dan Karpet",2024,Januari
1.73,"Furnitur, Perlengkapan dan Karpet",2024,Februari
3.09,"Furnitur, Perlengkapan dan Karpet",2024,Maret
2.86,"Furnitur, Perlengkapan dan Karpet",2024,April
3.46,"Furnitur, Perlengkapan dan Karpet",2024,Mei
3.46,"Furnitur, Perlengkapan dan Karpet",2024,Juni
3.46,"Furnitur, Perlengkapan dan Karpet",2024,Juli
3.39,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
-0.89,Tekstil Rumah Tangga,2024,Januari
-0.89,Tekstil Rumah Tangga,2024,Februari
-2.26,Tekstil Rumah Tangga,2024,Maret
-6.83,Tekstil Rumah Tangga,2024,April
-7.06,Tekstil Rumah Tangga,2024,Mei
-6.61,Tekstil Rumah Tangga,2024,Juni
-7.22,Tekstil Rumah Tangga,2024,Juli
-7.13,Tekstil Rumah Tangga,2024,Agustus
-0.6,Peralatan Rumah Tangga,2024,Januari
-1.43,Peralatan Rumah Tangga,2024,Februari
-1.07,Peralatan Rumah Tangga,2024,Maret
-0.46,Peralatan Rumah Tangga,2024,April
