inflasi,kelompok,tahun,bulan
8.29,"Makanan, Minuman dan Tembakau",2024,Januari
9.43,"Makanan, Minuman dan Tembakau",2024,Februari
11.21,"Makanan, Minuman dan Tembakau",2024,Maret
10.51,"Makanan, Minuman dan Tembakau",2024,April
7.5,"Makanan, Minuman dan Tembakau",2024,Mei
5.02,"Makanan, Minuman dan Tembakau",2024,Juni
4.09,"Makanan, Minuman dan Tembakau",2024,Juli
2.72,"Makanan, Minuman dan Tembakau",2024,Agustus
9.83,Makanan,2024,Januari
11.25,Makanan,2024,Februari
13.35,Makanan,2024,Maret
12.4,Makanan,2024,April
8.31,Makanan,2024,Mei
5.34,Makanan,2024,Juni
4.1,Makanan,2024,Juli
2.17,Makanan,2024,Agustus
1.27,Minuman yang Tidak Beralkohol,2024,Januari
1.27,Minuman yang Tidak Beralkohol,2024,Februari
1.27,Minuman yang Tidak Beralkohol,2024,Maret
0.37,Minuman yang Tidak Beralkohol,2024,April
0.62,Minuman yang Tidak Beralkohol,2024,Mei
3.17,Minuman yang Tidak Beralkohol,2024,Juni
3.04,Minuman yang Tidak Beralkohol,2024,Juli
6.35,Minuman yang Tidak Beralkohol,2024,Agustus
2.82,Rokok dan Tembakau,2024,Januari
2.82,Rokok dan Tembakau,2024,Februari
3.52,Rokok dan Tembakau,2024,Maret
4.08,Rokok dan Tembakau,2024,April
5.4,Rokok dan Tembakau,2024,Mei
3.94,Rokok dan Tembakau,2024,Juni
4.37,Rokok dan Tembakau,2024,Juli
4.47,Rokok dan Tembakau,2024,Agustus
3.86,Pakaian dan Alas Kaki,2024,Januari
3.55,Pakaian dan Alas Kaki,2024,Februari
2.08,Pakaian dan Alas Kaki,2024,Maret
2.29,Pakaian dan Alas Kaki,2024,April
1.41,Pakaian dan Alas Kaki,2024,Mei
0.89,Pakaian dan Alas Kaki,2024,Juni
0.9,Pakaian dan Alas Kaki,2024,Juli
0.9,Pakaian dan Alas Kaki,2024,Agustus
4.07,Pakaian,2024,Januari
3.77,Pakaian,2024,Februari
2,Pakaian,2024,Maret
2.27,Pakaian,2024,April
1.41,Pakaian,2024,Mei
