inflasi,kelompok,tahun,bulan
4.72,"Makanan, Minuman dan Tembakau",2024,Januari
4.54,"Makanan, Minuman dan Tembakau",2024,Februari
4.3,"Makanan, Minuman dan Tembakau",2024,Maret
4.74,"Makanan, Minuman dan Tembakau",2024,April
8.73,"Makanan, Minuman dan Tembakau",2024,Mei
9.42,"Makanan, Minuman dan Tembakau",2024,Juni
6.28,"Makanan, Minuman dan Tembakau",2024,Juli
6.29,"Makanan, Minuman dan Tembakau",2024,Agustus
4.32,Makanan,2024,Januari
4.4,Makanan,2024,Februari
4.22,Makanan,2024,Maret
4.93,Makanan,2024,April
10.03,Makanan,2024,Mei
10.6,Makanan,2024,Juni
6.55,Makanan,2024,Juli
6.62,Makanan,2024,Agustus
1.42,Minuman yang Tidak Beralkohol,2024,Januari
0.54,Minuman yang Tidak Beralkohol,2024,Februari
-0.46,Minuman yang Tidak Beralkohol,2024,Maret
-1.04,Minuman yang Tidak Beralkohol,2024,April
-2.18,Minuman yang Tidak Beralkohol,2024,Mei
-0.3,Minuman yang Tidak Beralkohol,2024,Juni
1.4,Minuman yang Tidak Beralkohol,2024,Juli
1.14,Minuman yang Tidak Beralkohol,2024,Agustus
-7.46,Minuman Beralkohol,2024,Januari
-5.43,Minuman Beralkohol,2024,Februari
-1.9,Minuman Beralkohol,2024,Maret
-0.79,Minuman Beralkohol,2024,April
-2.52,Minuman Beralkohol,2024,Mei
-3.98,Minuman Beralkohol,2024,Juni
-22.08,Minuman Beralkohol,2024,Juli
-22.43,Minuman Beralkohol,2024,Agustus
10.78,Rokok dan Tembakau,2024,Januari
8.82,Rokok dan Tembakau,2024,Februari
8.45,Rokok dan Tembakau,2024,Maret
7.53,Rokok dan Tembakau,2024,April
6.84,Rokok dan Tembakau,2024,Mei
7.64,Rokok dan Tembakau,2024,Juni
8.8,Rokok dan Tembakau,2024,Juli
8.7,Rokok dan Tembakau,2024,Agustus
0.86,Pakaian dan Alas Kaki,2024,Januari
0.75,Pakaian dan Alas Kaki,2024,Februari
0.63,Pakaian dan Alas Kaki,2024,Maret
0.68,Pakaian dan Alas Kaki,2024,April
0.82,Pakaian dan Alas Kaki,2024,Mei
0.08,Pakaian dan Alas Kaki,2024,Juni
0.76,Pakaian dan Alas Kaki,2024,Juli
0.94,Pakaian dan Alas Kaki,2024,Agustus
0.67,Pakaian,2024,Januari
0.69,Pakaian,2024,Februari
0.49,Pakaian,2024,Maret
0.45,Pakaian,2024,April
0.62,Pakaian,2024,Mei
-0.57,Pakaian,2024,Juni
0.17,Pakaian,2024,Juli
