inflasi,kelompok,tahun,bulan
5.18,"Makanan, Minuman dan Tembakau",2024,Januari
6.5,"Makanan, Minuman dan Tembakau",2024,Februari
6.81,"Makanan, Minuman dan Tembakau",2024,Maret
6.07,"Makanan, Minuman dan Tembakau",2024,April
5.89,"Makanan, Minuman dan Tembakau",2024,Mei
5.08,"Makanan, Minuman dan Tembakau",2024,Juni
4.88,"Makanan, Minuman dan Tembakau",2024,Juli
4.01,"Makanan, Minuman dan Tembakau",2024,Agustus
5.1,Makanan,2024,Januari
7.01,Makanan,2024,Februari
7.23,Makanan,2024,Maret
6.32,Makanan,2024,April
5.84,Makanan,2024,Mei
4.9,Makanan,2024,Juni
4.35,Makanan,2024,Juli
3.1,Makanan,2024,Agustus
7.39,Minuman yang Tidak Beralkohol,2024,Januari
7.49,Minuman yang Tidak Beralkohol,2024,Februari
8.07,Minuman yang Tidak Beralkohol,2024,Maret
7.24,Minuman yang Tidak Beralkohol,2024,April
11.18,Minuman yang Tidak Beralkohol,2024,Mei
9.69,Minuman yang Tidak Beralkohol,2024,Juni
12.39,Minuman yang Tidak Beralkohol,2024,Juli
12.21,Minuman yang Tidak Beralkohol,2024,Agustus
4.65,Rokok dan Tembakau,2024,Januari
2.83,Rokok dan Tembakau,2024,Februari
3.59,Rokok dan Tembakau,2024,Maret
4.03,Rokok dan Tembakau,2024,April
3.9,Rokok dan Tembakau,2024,Mei
4.09,Rokok dan Tembakau,2024,Juni
4.74,Rokok dan Tembakau,2024,Juli
5.98,Rokok dan Tembakau,2024,Agustus
1.69,Pakaian dan Alas Kaki,2024,Januari
1.64,Pakaian dan Alas Kaki,2024,Februari
1.74,Pakaian dan Alas Kaki,2024,Maret
1.92,Pakaian dan Alas Kaki,2024,April
1.73,Pakaian dan Alas Kaki,2024,Mei
1.76,Pakaian dan Alas Kaki,2024,Juni
1.37,Pakaian dan Alas Kaki,2024,Juli
1.8,Pakaian dan Alas Kaki,2024,Agustus
1.63,Pakaian,2024,Januari
1.33,Pakaian,2024,Februari
1.37,Pakaian,2024,Maret
1.48,Pakaian,2024,April
1.48,Pakaian,2024,Mei
1.51,Pakaian,2024,Juni
1.27,Pakaian,2024,Juli
1.68,Pakaian,2024,Agustus
1.97,Alas Kaki,2024,Januari
2.8,Alas Kaki,2024,Februari
3.17,Alas Kaki,2024,Maret
3.53,Alas Kaki,2024,April
2.66,Alas Kaki,2024,Mei
2.66,Alas Kaki,2024,Juni
1.77,Alas Kaki,2024,Juli
2.24,Alas Kaki,2024,Agustus
0.94,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.92,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.8,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.86,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.79,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.75,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.18,Sewa dan Kontrak Rumah,2024,Januari
1.18,Sewa dan Kontrak Rumah,2024,Februari
1.18,Sewa dan Kontrak Rumah,2024,Maret
1.18,Sewa dan Kontrak Rumah,2024,April
0.99,Sewa dan Kontrak Rumah,2024,Mei
0.99,Sewa dan Kontrak Rumah,2024,Juni
0.99,Sewa dan Kontrak Rumah,2024,Juli
1.57,Sewa dan Kontrak Rumah,2024,Agustus
-0.54,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.68,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-0.66,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-0.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.61,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.61,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-0.45,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
14.59,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
14.59,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
11.34,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
11.34,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
11.34,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
11.34,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
