inflasi,kelompok,tahun,bulan
7.33,"Makanan, Minuman dan Tembakau",2024,Januari
4.3,"Makanan, Minuman dan Tembakau",2024,Februari
6.88,"Makanan, Minuman dan Tembakau",2024,Maret
6.02,"Makanan, Minuman dan Tembakau",2024,April
7.52,"Makanan, Minuman dan Tembakau",2024,Mei
6.7,"Makanan, Minuman dan Tembakau",2024,Juni
4.76,"Makanan, Minuman dan Tembakau",2024,Juli
3.18,"Makanan, Minuman dan Tembakau",2024,Agustus
7.52,Makanan,2024,Januari
4.11,Makanan,2024,Februari
7.33,Makanan,2024,Maret
6.38,Makanan,2024,April
8.3,Makanan,2024,Mei
7.36,Makanan,2024,Juni
5.08,Makanan,2024,Juli
3.16,Makanan,2024,Agustus
2.85,Minuman yang Tidak Beralkohol,2024,Januari
2.57,Minuman yang Tidak Beralkohol,2024,Februari
2.58,Minuman yang Tidak Beralkohol,2024,Maret
2.65,Minuman yang Tidak Beralkohol,2024,April
2.59,Minuman yang Tidak Beralkohol,2024,Mei
2.83,Minuman yang Tidak Beralkohol,2024,Juni
2.9,Minuman yang Tidak Beralkohol,2024,Juli
2.61,Minuman yang Tidak Beralkohol,2024,Agustus
2.71,Minuman Beralkohol,2024,Januari
0.52,Minuman Beralkohol,2024,Februari
-0.11,Minuman Beralkohol,2024,Maret
0.39,Minuman Beralkohol,2024,April
0.26,Minuman Beralkohol,2024,Mei
0.97,Minuman Beralkohol,2024,Juni
0.97,Minuman Beralkohol,2024,Juli
1.28,Minuman Beralkohol,2024,Agustus
9.19,Rokok dan Tembakau,2024,Januari
7.36,Rokok dan Tembakau,2024,Februari
6.41,Rokok dan Tembakau,2024,Maret
5.75,Rokok dan Tembakau,2024,April
4.82,Rokok dan Tembakau,2024,Mei
3.98,Rokok dan Tembakau,2024,Juni
3.47,Rokok dan Tembakau,2024,Juli
3.85,Rokok dan Tembakau,2024,Agustus
3.12,Pakaian dan Alas Kaki,2024,Januari
2.62,Pakaian dan Alas Kaki,2024,Februari
3.89,Pakaian dan Alas Kaki,2024,Maret
4.58,Pakaian dan Alas Kaki,2024,April
4.52,Pakaian dan Alas Kaki,2024,Mei
4.31,Pakaian dan Alas Kaki,2024,Juni
4.07,Pakaian dan Alas Kaki,2024,Juli
3.79,Pakaian dan Alas Kaki,2024,Agustus
3.49,Pakaian,2024,Januari
2.67,Pakaian,2024,Februari
2.75,Pakaian,2024,Maret
3.86,Pakaian,2024,April
3.79,Pakaian,2024,Mei
3.5,Pakaian,2024,Juni
3.17,Pakaian,2024,Juli
2.86,Pakaian,2024,Agustus
1.66,Alas Kaki,2024,Januari
2.37,Alas Kaki,2024,Februari
8.47,Alas Kaki,2024,Maret
7.41,Alas Kaki,2024,April
7.41,Alas Kaki,2024,Mei
7.61,Alas Kaki,2024,Juni
7.67,Alas Kaki,2024,Juli
7.58,Alas Kaki,2024,Agustus
1.91,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
1.12,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
1.17,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
1.11,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
1.11,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
1.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
2.95,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
3.11,Sewa dan Kontrak Rumah,2024,Januari
1.34,Sewa dan Kontrak Rumah,2024,Februari
1.34,Sewa dan Kontrak Rumah,2024,Maret
1.34,Sewa dan Kontrak Rumah,2024,April
1.48,Sewa dan Kontrak Rumah,2024,Mei
1.48,Sewa dan Kontrak Rumah,2024,Juni
1.64,Sewa dan Kontrak Rumah,2024,Juli
1.08,Sewa dan Kontrak Rumah,2024,Agustus
0.83,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.51,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.9,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.87,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.87,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
1.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
1.5,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
1.38,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
1.38,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
1.31,Listrik dan Bahan Bakar Rumah Tangga,2024,April
1.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
1.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
2.06,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
6.38,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.43,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.41,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.12,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.03,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.46,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.55,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.22,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-0.11,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0,"Furnitur, Perlengkapan dan Karpet",2024,April
0,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.93,Tekstil Rumah Tangga,2024,Januari
0.93,Tekstil Rumah Tangga,2024,Februari
0.93,Tekstil Rumah Tangga,2024,Maret
0.93,Tekstil Rumah Tangga,2024,April
0.93,Tekstil Rumah Tangga,2024,Mei
0.93,Tekstil Rumah Tangga,2024,Juni
0.81,Tekstil Rumah Tangga,2024,Juli
0.81,Tekstil Rumah Tangga,2024,Agustus
0.61,Peralatan Rumah Tangga,2024,Januari
0.52,Peralatan Rumah Tangga,2024,Februari
0.65,Peralatan Rumah Tangga,2024,Maret
0.59,Peralatan Rumah Tangga,2024,April
0.27,Peralatan Rumah Tangga,2024,Mei
0.84,Peralatan Rumah Tangga,2024,Juni
0.68,Peralatan Rumah Tangga,2024,Juli
0.87,Peralatan Rumah Tangga,2024,Agustus
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
0.55,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
2.14,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
2.14,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
2.14,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
2.14,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
2.14,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
0.31,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0.31,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
1.2,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
1.2,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
1.41,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
1.1,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
2.72,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
2.72,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
0.46,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
0.48,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
-0.26,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
-0.58,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-1.39,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
-1.74,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-1.17,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-1.04,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
2.31,Kesehatan,2024,Januari
2.47,Kesehatan,2024,Februari
2.81,Kesehatan,2024,Maret
2.84,Kesehatan,2024,April
2.78,Kesehatan,2024,Mei
2.72,Kesehatan,2024,Juni
2.72,Kesehatan,2024,Juli
2.7,Kesehatan,2024,Agustus
1.02,Obat-obatan dan Produk Kesehatan,2024,Januari
1.34,Obat-obatan dan Produk Kesehatan,2024,Februari
2.03,Obat-obatan dan Produk Kesehatan,2024,Maret
2.09,Obat-obatan dan Produk Kesehatan,2024,April
1.94,Obat-obatan dan Produk Kesehatan,2024,Mei
1.86,Obat-obatan dan Produk Kesehatan,2024,Juni
1.85,Obat-obatan dan Produk Kesehatan,2024,Juli
1.83,Obat-obatan dan Produk Kesehatan,2024,Agustus
0,Jasa Rawat Jalan,2024,Januari
0,Jasa Rawat Jalan,2024,Februari
