inflasi,kelompok,tahun,bulan
10.58,"Makanan, Minuman dan Tembakau",2024,Januari
9.78,"Makanan, Minuman dan Tembakau",2024,Februari
7.21,"Makanan, Minuman dan Tembakau",2024,Maret
8.71,"Makanan, Minuman dan Tembakau",2024,April
7.41,"Makanan, Minuman dan Tembakau",2024,Mei
8,"Makanan, Minuman dan Tembakau",2024,Juni
4.28,"Makanan, Minuman dan Tembakau",2024,Juli
4.71,"Makanan, Minuman dan Tembakau",2024,Agustus
12.18,Makanan,2024,Januari
10.71,Makanan,2024,Februari
7.02,Makanan,2024,Maret
8.12,Makanan,2024,April
6.6,Makanan,2024,Mei
7.29,Makanan,2024,Juni
3.09,Makanan,2024,Juli
3.42,Makanan,2024,Agustus
1.49,Minuman yang Tidak Beralkohol,2024,Januari
1.49,Minuman yang Tidak Beralkohol,2024,Februari
4.88,Minuman yang Tidak Beralkohol,2024,Maret
5.44,Minuman yang Tidak Beralkohol,2024,April
5.44,Minuman yang Tidak Beralkohol,2024,Mei
5.44,Minuman yang Tidak Beralkohol,2024,Juni
5.8,Minuman yang Tidak Beralkohol,2024,Juli
6.34,Minuman yang Tidak Beralkohol,2024,Agustus
1.79,Rokok dan Tembakau,2024,Januari
6.34,Rokok dan Tembakau,2024,Februari
10.06,Rokok dan Tembakau,2024,Maret
15.42,Rokok dan Tembakau,2024,April
15.42,Rokok dan Tembakau,2024,Mei
15.42,Rokok dan Tembakau,2024,Juni
13.65,Rokok dan Tembakau,2024,Juli
14.82,Rokok dan Tembakau,2024,Agustus
0.52,Pakaian dan Alas Kaki,2024,Januari
0.59,Pakaian dan Alas Kaki,2024,Februari
1.29,Pakaian dan Alas Kaki,2024,Maret
1.41,Pakaian dan Alas Kaki,2024,April
1.72,Pakaian dan Alas Kaki,2024,Mei
1.85,Pakaian dan Alas Kaki,2024,Juni
2.37,Pakaian dan Alas Kaki,2024,Juli
1.86,Pakaian dan Alas Kaki,2024,Agustus
0.69,Pakaian,2024,Januari
0.76,Pakaian,2024,Februari
1.21,Pakaian,2024,Maret
1.31,Pakaian,2024,April
1.85,Pakaian,2024,Mei
1.89,Pakaian,2024,Juni
2.31,Pakaian,2024,Juli
1.9,Pakaian,2024,Agustus
0.01,Alas Kaki,2024,Januari
0.03,Alas Kaki,2024,Februari
1.49,Alas Kaki,2024,Maret
1.79,Alas Kaki,2024,April
1.35,Alas Kaki,2024,Mei
1.7,Alas Kaki,2024,Juni
2.52,Alas Kaki,2024,Juli
1.79,Alas Kaki,2024,Agustus
1.34,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
1.33,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
1.33,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.49,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.32,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.32,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
