inflasi,kelompok,tahun,bulan
7.66,"Makanan, Minuman dan Tembakau",2024,Januari
8.53,"Makanan, Minuman dan Tembakau",2024,Februari
9.94,"Makanan, Minuman dan Tembakau",2024,Maret
8.03,"Makanan, Minuman dan Tembakau",2024,April
7.36,"Makanan, Minuman dan Tembakau",2024,Mei
7.04,"Makanan, Minuman dan Tembakau",2024,Juni
6.62,"Makanan, Minuman dan Tembakau",2024,Juli
6.17,"Makanan, Minuman dan Tembakau",2024,Agustus
6.8,Makanan,2024,Januari
8.3,Makanan,2024,Februari
10.7,Makanan,2024,Maret
8.99,Makanan,2024,April
8.08,Makanan,2024,Mei
7.78,Makanan,2024,Juni
7.32,Makanan,2024,Juli
6.66,Makanan,2024,Agustus
4.08,Minuman yang Tidak Beralkohol,2024,Januari
3.64,Minuman yang Tidak Beralkohol,2024,Februari
2.9,Minuman yang Tidak Beralkohol,2024,Maret
2.68,Minuman yang Tidak Beralkohol,2024,April
3.19,Minuman yang Tidak Beralkohol,2024,Mei
2.65,Minuman yang Tidak Beralkohol,2024,Juni
2.49,Minuman yang Tidak Beralkohol,2024,Juli
2.84,Minuman yang Tidak Beralkohol,2024,Agustus
16.49,Rokok dan Tembakau,2024,Januari
13.91,Rokok dan Tembakau,2024,Februari
10.07,Rokok dan Tembakau,2024,Maret
5.69,Rokok dan Tembakau,2024,April
5.67,Rokok dan Tembakau,2024,Mei
5.37,Rokok dan Tembakau,2024,Juni
5.11,Rokok dan Tembakau,2024,Juli
5.32,Rokok dan Tembakau,2024,Agustus
2.53,Pakaian dan Alas Kaki,2024,Januari
1.56,Pakaian dan Alas Kaki,2024,Februari
1.77,Pakaian dan Alas Kaki,2024,Maret
1.69,Pakaian dan Alas Kaki,2024,April
1.78,Pakaian dan Alas Kaki,2024,Mei
2.07,Pakaian dan Alas Kaki,2024,Juni
0.98,Pakaian dan Alas Kaki,2024,Juli
1.26,Pakaian dan Alas Kaki,2024,Agustus
2.88,Pakaian,2024,Januari
2.04,Pakaian,2024,Februari
2.33,Pakaian,2024,Maret
2.23,Pakaian,2024,April
2.73,Pakaian,2024,Mei
3.11,Pakaian,2024,Juni
1.81,Pakaian,2024,Juli
1.83,Pakaian,2024,Agustus
1.24,Alas Kaki,2024,Januari
-0.24,Alas Kaki,2024,Februari
-0.28,Alas Kaki,2024,Maret
-0.26,Alas Kaki,2024,April
-1.72,Alas Kaki,2024,Mei
-1.72,Alas Kaki,2024,Juni
-2.04,Alas Kaki,2024,Juli
-0.88,Alas Kaki,2024,Agustus
-0.29,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.27,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.25,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.26,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.62,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.62,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.81,Sewa dan Kontrak Rumah,2024,Januari
0.81,Sewa dan Kontrak Rumah,2024,Februari
0.81,Sewa dan Kontrak Rumah,2024,Maret
0.81,Sewa dan Kontrak Rumah,2024,April
0.81,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
0.41,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.4,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-1.82,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-1.62,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-1.76,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-1.64,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-1.67,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-1.67,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-1.67,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.09,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.8,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.16,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.27,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.71,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.7,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.19,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.16,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
1.5,"Furnitur, Perlengkapan dan Karpet",2024,Januari
1.51,"Furnitur, Perlengkapan dan Karpet",2024,Februari
1.49,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.69,"Furnitur, Perlengkapan dan Karpet",2024,April
0.8,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.79,"Furnitur, Perlengkapan dan Karpet",2024,Juni
