inflasi,kelompok,tahun,bulan
5.56,"Makanan, Minuman dan Tembakau",2024,Januari
6.59,"Makanan, Minuman dan Tembakau",2024,Februari
7.99,"Makanan, Minuman dan Tembakau",2024,Maret
7.55,"Makanan, Minuman dan Tembakau",2024,April
6.03,"Makanan, Minuman dan Tembakau",2024,Mei
4.47,"Makanan, Minuman dan Tembakau",2024,Juni
2.93,"Makanan, Minuman dan Tembakau",2024,Juli
3.16,"Makanan, Minuman dan Tembakau",2024,Agustus
5.76,Makanan,2024,Januari
7.27,Makanan,2024,Februari
8.9,Makanan,2024,Maret
8.27,Makanan,2024,April
6.3,Makanan,2024,Mei
4.53,Makanan,2024,Juni
2.82,Makanan,2024,Juli
2.77,Makanan,2024,Agustus
2.28,Minuman yang Tidak Beralkohol,2024,Januari
-1.21,Minuman yang Tidak Beralkohol,2024,Februari
-0.58,Minuman yang Tidak Beralkohol,2024,Maret
0.48,Minuman yang Tidak Beralkohol,2024,April
0.21,Minuman yang Tidak Beralkohol,2024,Mei
-0.35,Minuman yang Tidak Beralkohol,2024,Juni
0.74,Minuman yang Tidak Beralkohol,2024,Juli
0.82,Minuman yang Tidak Beralkohol,2024,Agustus
6.35,Rokok dan Tembakau,2024,Januari
7.05,Rokok dan Tembakau,2024,Februari
7.25,Rokok dan Tembakau,2024,Maret
6.98,Rokok dan Tembakau,2024,April
7.85,Rokok dan Tembakau,2024,Mei
7.13,Rokok dan Tembakau,2024,Juni
5.05,Rokok dan Tembakau,2024,Juli
7.23,Rokok dan Tembakau,2024,Agustus
4.27,Pakaian dan Alas Kaki,2024,Januari
4.21,Pakaian dan Alas Kaki,2024,Februari
3.16,Pakaian dan Alas Kaki,2024,Maret
1.98,Pakaian dan Alas Kaki,2024,April
1.95,Pakaian dan Alas Kaki,2024,Mei
1.13,Pakaian dan Alas Kaki,2024,Juni
1.12,Pakaian dan Alas Kaki,2024,Juli
1.77,Pakaian dan Alas Kaki,2024,Agustus
4.16,Pakaian,2024,Januari
4.11,Pakaian,2024,Februari
3.33,Pakaian,2024,Maret
2.28,Pakaian,2024,April
2.85,Pakaian,2024,Mei
1.75,Pakaian,2024,Juni
1.6,Pakaian,2024,Juli
2.16,Pakaian,2024,Agustus
4.67,Alas Kaki,2024,Januari
4.52,Alas Kaki,2024,Februari
2.61,Alas Kaki,2024,Maret
1.01,Alas Kaki,2024,April
-0.96,Alas Kaki,2024,Mei
-0.88,Alas Kaki,2024,Juni
-0.45,Alas Kaki,2024,Juli
0.48,Alas Kaki,2024,Agustus
2.35,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
2.35,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
2.35,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
2.06,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
2.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
2.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
2.39,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
2.33,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.41,Sewa dan Kontrak Rumah,2024,Januari
0.41,Sewa dan Kontrak Rumah,2024,Februari
0.41,Sewa dan Kontrak Rumah,2024,Maret
0.32,Sewa dan Kontrak Rumah,2024,April
0.32,Sewa dan Kontrak Rumah,2024,Mei
0.76,Sewa dan Kontrak Rumah,2024,Juni
0.76,Sewa dan Kontrak Rumah,2024,Juli
0.6,Sewa dan Kontrak Rumah,2024,Agustus
1.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.71,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
1.74,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
1.56,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
1.52,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
1.52,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.98,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
14.72,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.4,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.4,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.4,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.34,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.34,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.34,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.75,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.34,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.4,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.17,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.1,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.22,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.38,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.41,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
2.1,"Furnitur, Perlengkapan dan Karpet",2024,Januari
2.1,"Furnitur, Perlengkapan dan Karpet",2024,Februari
2.1,"Furnitur, Perlengkapan dan Karpet",2024,Maret
2.13,"Furnitur, Perlengkapan dan Karpet",2024,April
2.13,"Furnitur, Perlengkapan dan Karpet",2024,Mei
2.13,"Furnitur, Perlengkapan dan Karpet",2024,Juni
2.13,"Furnitur, Perlengkapan dan Karpet",2024,Juli
2.13,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.7,Tekstil Rumah Tangga,2024,Januari
0.7,Tekstil Rumah Tangga,2024,Februari
3.28,Tekstil Rumah Tangga,2024,Maret
3.28,Tekstil Rumah Tangga,2024,April
5.35,Tekstil Rumah Tangga,2024,Mei
5.35,Tekstil Rumah Tangga,2024,Juni
5.35,Tekstil Rumah Tangga,2024,Juli
5.35,Tekstil Rumah Tangga,2024,Agustus
6.67,Peralatan Rumah Tangga,2024,Januari
5.24,Peralatan Rumah Tangga,2024,Februari
