inflasi,kelompok,tahun,bulan
4.8,"Makanan, Minuman dan Tembakau",2024,Januari
6.61,"Makanan, Minuman dan Tembakau",2024,Februari
6.98,"Makanan, Minuman dan Tembakau",2024,Maret
7.15,"Makanan, Minuman dan Tembakau",2024,April
5.85,"Makanan, Minuman dan Tembakau",2024,Mei
4,"Makanan, Minuman dan Tembakau",2024,Juni
2.9,"Makanan, Minuman dan Tembakau",2024,Juli
2.99,"Makanan, Minuman dan Tembakau",2024,Agustus
4.82,Makanan,2024,Januari
6.92,Makanan,2024,Februari
7.47,Makanan,2024,Maret
7.71,Makanan,2024,April
6.3,Makanan,2024,Mei
3.91,Makanan,2024,Juni
2.35,Makanan,2024,Juli
2.36,Makanan,2024,Agustus
1.8,Minuman yang Tidak Beralkohol,2024,Januari
1.75,Minuman yang Tidak Beralkohol,2024,Februari
1.15,Minuman yang Tidak Beralkohol,2024,Maret
1,Minuman yang Tidak Beralkohol,2024,April
1.07,Minuman yang Tidak Beralkohol,2024,Mei
1.07,Minuman yang Tidak Beralkohol,2024,Juni
2.5,Minuman yang Tidak Beralkohol,2024,Juli
3.48,Minuman yang Tidak Beralkohol,2024,Agustus
6.6,Rokok dan Tembakau,2024,Januari
7.83,Rokok dan Tembakau,2024,Februari
7.88,Rokok dan Tembakau,2024,Maret
7.81,Rokok dan Tembakau,2024,April
6.29,Rokok dan Tembakau,2024,Mei
6.29,Rokok dan Tembakau,2024,Juni
6.25,Rokok dan Tembakau,2024,Juli
6.24,Rokok dan Tembakau,2024,Agustus
1.45,Pakaian dan Alas Kaki,2024,Januari
1.33,Pakaian dan Alas Kaki,2024,Februari
3.1,Pakaian dan Alas Kaki,2024,Maret
6.03,Pakaian dan Alas Kaki,2024,April
5.72,Pakaian dan Alas Kaki,2024,Mei
5.72,Pakaian dan Alas Kaki,2024,Juni
5.89,Pakaian dan Alas Kaki,2024,Juli
6.07,Pakaian dan Alas Kaki,2024,Agustus
1.51,Pakaian,2024,Januari
1.36,Pakaian,2024,Februari
3.44,Pakaian,2024,Maret
7.12,Pakaian,2024,April
6.62,Pakaian,2024,Mei
6.62,Pakaian,2024,Juni
6.82,Pakaian,2024,Juli
7.03,Pakaian,2024,Agustus
1.21,Alas Kaki,2024,Januari
1.21,Alas Kaki,2024,Februari
1.81,Alas Kaki,2024,Maret
1.8,Alas Kaki,2024,April
2.22,Alas Kaki,2024,Mei
2.21,Alas Kaki,2024,Juni
2.2,Alas Kaki,2024,Juli
2.32,Alas Kaki,2024,Agustus
0.13,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.15,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.15,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.15,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.24,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.26,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
