inflasi,kelompok,tahun,bulan
4.64,"Makanan, Minuman dan Tembakau",2024,Januari
6.44,"Makanan, Minuman dan Tembakau",2024,Februari
7.53,"Makanan, Minuman dan Tembakau",2024,Maret
8.43,"Makanan, Minuman dan Tembakau",2024,April
5.74,"Makanan, Minuman dan Tembakau",2024,Mei
4.42,"Makanan, Minuman dan Tembakau",2024,Juni
4.19,"Makanan, Minuman dan Tembakau",2024,Juli
3.21,"Makanan, Minuman dan Tembakau",2024,Agustus
4.48,Makanan,2024,Januari
6.87,Makanan,2024,Februari
8.27,Makanan,2024,Maret
9.26,Makanan,2024,April
6.11,Makanan,2024,Mei
4.26,Makanan,2024,Juni
3.69,Makanan,2024,Juli
2.55,Makanan,2024,Agustus
3.72,Minuman yang Tidak Beralkohol,2024,Januari
3.82,Minuman yang Tidak Beralkohol,2024,Februari
4.31,Minuman yang Tidak Beralkohol,2024,Maret
4.7,Minuman yang Tidak Beralkohol,2024,April
3.67,Minuman yang Tidak Beralkohol,2024,Mei
5.44,Minuman yang Tidak Beralkohol,2024,Juni
6.59,Minuman yang Tidak Beralkohol,2024,Juli
6.54,Minuman yang Tidak Beralkohol,2024,Agustus
0.3,Minuman Beralkohol,2024,Januari
0.3,Minuman Beralkohol,2024,Februari
-0.19,Minuman Beralkohol,2024,Maret
1.69,Minuman Beralkohol,2024,April
1.69,Minuman Beralkohol,2024,Mei
1.69,Minuman Beralkohol,2024,Juni
2.97,Minuman Beralkohol,2024,Juli
2.57,Minuman Beralkohol,2024,Agustus
7.28,Rokok dan Tembakau,2024,Januari
5.96,Rokok dan Tembakau,2024,Februari
5.17,Rokok dan Tembakau,2024,Maret
5.76,Rokok dan Tembakau,2024,April
5,Rokok dan Tembakau,2024,Mei
4.73,Rokok dan Tembakau,2024,Juni
5.89,Rokok dan Tembakau,2024,Juli
5.14,Rokok dan Tembakau,2024,Agustus
-0.73,Pakaian dan Alas Kaki,2024,Januari
-0.55,Pakaian dan Alas Kaki,2024,Februari
-0.47,Pakaian dan Alas Kaki,2024,Maret
-0.46,Pakaian dan Alas Kaki,2024,April
-0.24,Pakaian dan Alas Kaki,2024,Mei
-0.22,Pakaian dan Alas Kaki,2024,Juni
-0.12,Pakaian dan Alas Kaki,2024,Juli
0.2,Pakaian dan Alas Kaki,2024,Agustus
-1.04,Pakaian,2024,Januari
-0.83,Pakaian,2024,Februari
-0.59,Pakaian,2024,Maret
-0.41,Pakaian,2024,April
0.06,Pakaian,2024,Mei
0.07,Pakaian,2024,Juni
0.21,Pakaian,2024,Juli
0.6,Pakaian,2024,Agustus
0.34,Alas Kaki,2024,Januari
0.43,Alas Kaki,2024,Februari
-0.05,Alas Kaki,2024,Maret
-0.65,Alas Kaki,2024,April
-1.27,Alas Kaki,2024,Mei
-1.18,Alas Kaki,2024,Juni
-1.23,Alas Kaki,2024,Juli
-1.19,Alas Kaki,2024,Agustus
0.72,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.17,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.17,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.25,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0.02,Sewa dan Kontrak Rumah,2024,Maret
0.02,Sewa dan Kontrak Rumah,2024,April
0.02,Sewa dan Kontrak Rumah,2024,Mei
0.02,Sewa dan Kontrak Rumah,2024,Juni
0.02,Sewa dan Kontrak Rumah,2024,Juli
0.02,Sewa dan Kontrak Rumah,2024,Agustus
0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.37,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.45,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.45,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.51,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.51,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.5,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
2.63,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
2.63,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
2.63,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
2.26,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
1.93,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
1.93,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
1.93,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
1.93,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.98,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.46,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.68,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.68,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.68,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.66,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.28,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.07,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.68,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.5,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.89,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.92,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.8,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.99,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
1.44,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
1.79,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
-7.81,"Furnitur, Perlengkapan dan Karpet",2024,Januari
-7.16,"Furnitur, Perlengkapan dan Karpet",2024,Februari
