inflasi,kelompok,tahun,bulan
2.2,"Makanan, Minuman dan Tembakau",2024,Januari
4.2,"Makanan, Minuman dan Tembakau",2024,Februari
7.19,"Makanan, Minuman dan Tembakau",2024,Maret
6.89,"Makanan, Minuman dan Tembakau",2024,April
8.42,"Makanan, Minuman dan Tembakau",2024,Mei
7.38,"Makanan, Minuman dan Tembakau",2024,Juni
3.74,"Makanan, Minuman dan Tembakau",2024,Juli
3.67,"Makanan, Minuman dan Tembakau",2024,Agustus
1.4,Makanan,2024,Januari
4.02,Makanan,2024,Februari
8.08,Makanan,2024,Maret
7.75,Makanan,2024,April
9.22,Makanan,2024,Mei
7.91,Makanan,2024,Juni
3.13,Makanan,2024,Juli
3.01,Makanan,2024,Agustus
0.45,Minuman yang Tidak Beralkohol,2024,Januari
1,Minuman yang Tidak Beralkohol,2024,Februari
1.14,Minuman yang Tidak Beralkohol,2024,Maret
0.22,Minuman yang Tidak Beralkohol,2024,April
1.7,Minuman yang Tidak Beralkohol,2024,Mei
1.77,Minuman yang Tidak Beralkohol,2024,Juni
1.96,Minuman yang Tidak Beralkohol,2024,Juli
2.22,Minuman yang Tidak Beralkohol,2024,Agustus
8.11,Rokok dan Tembakau,2024,Januari
7,Rokok dan Tembakau,2024,Februari
5.01,Rokok dan Tembakau,2024,Maret
5.22,Rokok dan Tembakau,2024,April
7.1,Rokok dan Tembakau,2024,Mei
7,Rokok dan Tembakau,2024,Juni
8.26,Rokok dan Tembakau,2024,Juli
8.28,Rokok dan Tembakau,2024,Agustus
1.53,Pakaian dan Alas Kaki,2024,Januari
1.65,Pakaian dan Alas Kaki,2024,Februari
1.68,Pakaian dan Alas Kaki,2024,Maret
1.58,Pakaian dan Alas Kaki,2024,April
1.15,Pakaian dan Alas Kaki,2024,Mei
0.16,Pakaian dan Alas Kaki,2024,Juni
0.13,Pakaian dan Alas Kaki,2024,Juli
0.13,Pakaian dan Alas Kaki,2024,Agustus
1.72,Pakaian,2024,Januari
1.89,Pakaian,2024,Februari
1.92,Pakaian,2024,Maret
1.78,Pakaian,2024,April
1.48,Pakaian,2024,Mei
0.97,Pakaian,2024,Juni
0.93,Pakaian,2024,Juli
0.93,Pakaian,2024,Agustus
0.81,Alas Kaki,2024,Januari
0.81,Alas Kaki,2024,Februari
0.81,Alas Kaki,2024,Maret
0.81,Alas Kaki,2024,April
-0.02,Alas Kaki,2024,Mei
-2.71,Alas Kaki,2024,Juni
-2.71,Alas Kaki,2024,Juli
-2.71,Alas Kaki,2024,Agustus
0.77,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.82,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.84,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.81,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.58,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.38,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.09,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.09,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
2.42,Sewa dan Kontrak Rumah,2024,Januari
2.42,Sewa dan Kontrak Rumah,2024,Februari
2.42,Sewa dan Kontrak Rumah,2024,Maret
2.42,Sewa dan Kontrak Rumah,2024,April
1.82,Sewa dan Kontrak Rumah,2024,Mei
1.36,Sewa dan Kontrak Rumah,2024,Juni
0.54,Sewa dan Kontrak Rumah,2024,Juli
0.54,Sewa dan Kontrak Rumah,2024,Agustus
-0.7,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.31,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-0.17,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-0.36,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.43,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.65,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.66,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
