inflasi,kelompok,tahun,bulan
0.28,"Makanan, Minuman dan Tembakau",2024,Januari
3.33,"Makanan, Minuman dan Tembakau",2024,Februari
5.84,"Makanan, Minuman dan Tembakau",2024,Maret
5.85,"Makanan, Minuman dan Tembakau",2024,April
5.33,"Makanan, Minuman dan Tembakau",2024,Mei
5.63,"Makanan, Minuman dan Tembakau",2024,Juni
2.64,"Makanan, Minuman dan Tembakau",2024,Juli
3.7,"Makanan, Minuman dan Tembakau",2024,Agustus
-0.64,Makanan,2024,Januari
3.72,Makanan,2024,Februari
6.56,Makanan,2024,Maret
6.68,Makanan,2024,April
6.06,Makanan,2024,Mei
6.27,Makanan,2024,Juni
2.8,Makanan,2024,Juli
4.08,Makanan,2024,Agustus
5.31,Minuman yang Tidak Beralkohol,2024,Januari
-0.09,Minuman yang Tidak Beralkohol,2024,Februari
-0.09,Minuman yang Tidak Beralkohol,2024,Maret
0.7,Minuman yang Tidak Beralkohol,2024,April
0.7,Minuman yang Tidak Beralkohol,2024,Mei
2.48,Minuman yang Tidak Beralkohol,2024,Juni
2.02,Minuman yang Tidak Beralkohol,2024,Juli
1.59,Minuman yang Tidak Beralkohol,2024,Agustus
0,Minuman Beralkohol,2024,Januari
0,Minuman Beralkohol,2024,Februari
0,Minuman Beralkohol,2024,Maret
0,Minuman Beralkohol,2024,April
0,Minuman Beralkohol,2024,Mei
0,Minuman Beralkohol,2024,Juni
0,Minuman Beralkohol,2024,Juli
0,Minuman Beralkohol,2024,Agustus
8.02,Rokok dan Tembakau,2024,Januari
2.07,Rokok dan Tembakau,2024,Februari
2.92,Rokok dan Tembakau,2024,Maret
1.17,Rokok dan Tembakau,2024,April
1.17,Rokok dan Tembakau,2024,Mei
1.17,Rokok dan Tembakau,2024,Juni
1.17,Rokok dan Tembakau,2024,Juli
1.17,Rokok dan Tembakau,2024,Agustus
-1.32,Pakaian dan Alas Kaki,2024,Januari
-1.32,Pakaian dan Alas Kaki,2024,Februari
-1.24,Pakaian dan Alas Kaki,2024,Maret
-1.24,Pakaian dan Alas Kaki,2024,April
-1.09,Pakaian dan Alas Kaki,2024,Mei
-1.04,Pakaian dan Alas Kaki,2024,Juni
-1.04,Pakaian dan Alas Kaki,2024,Juli
-0.44,Pakaian dan Alas Kaki,2024,Agustus
-2.17,Pakaian,2024,Januari
-2.17,Pakaian,2024,Februari
-2.06,Pakaian,2024,Maret
-2.06,Pakaian,2024,April
-1.87,Pakaian,2024,Mei
-1.81,Pakaian,2024,Juni
