inflasi,kelompok,tahun,bulan
5.59,"Makanan, Minuman dan Tembakau",2024,Januari
6.28,"Makanan, Minuman dan Tembakau",2024,Februari
7.17,"Makanan, Minuman dan Tembakau",2024,Maret
6.53,"Makanan, Minuman dan Tembakau",2024,April
5.26,"Makanan, Minuman dan Tembakau",2024,Mei
4.89,"Makanan, Minuman dan Tembakau",2024,Juni
3.59,"Makanan, Minuman dan Tembakau",2024,Juli
3.51,"Makanan, Minuman dan Tembakau",2024,Agustus
5.72,Makanan,2024,Januari
6.86,Makanan,2024,Februari
8.1,Makanan,2024,Maret
7.26,Makanan,2024,April
5.66,Makanan,2024,Mei
5.23,Makanan,2024,Juni
3.52,Makanan,2024,Juli
3.42,Makanan,2024,Agustus
2.14,Minuman yang Tidak Beralkohol,2024,Januari
3.04,Minuman yang Tidak Beralkohol,2024,Februari
3.3,Minuman yang Tidak Beralkohol,2024,Maret
3.58,Minuman yang Tidak Beralkohol,2024,April
3.39,Minuman yang Tidak Beralkohol,2024,Mei
3.16,Minuman yang Tidak Beralkohol,2024,Juni
3.54,Minuman yang Tidak Beralkohol,2024,Juli
3.88,Minuman yang Tidak Beralkohol,2024,Agustus
8.1,Rokok dan Tembakau,2024,Januari
5.04,Rokok dan Tembakau,2024,Februari
3.72,Rokok dan Tembakau,2024,Maret
3.76,Rokok dan Tembakau,2024,April
3.93,Rokok dan Tembakau,2024,Mei
3.92,Rokok dan Tembakau,2024,Juni
4.35,Rokok dan Tembakau,2024,Juli
3.76,Rokok dan Tembakau,2024,Agustus
-2.08,Pakaian dan Alas Kaki,2024,Januari
-2.2,Pakaian dan Alas Kaki,2024,Februari
-2.19,Pakaian dan Alas Kaki,2024,Maret
-2.23,Pakaian dan Alas Kaki,2024,April
-0.52,Pakaian dan Alas Kaki,2024,Mei
-0.65,Pakaian dan Alas Kaki,2024,Juni
-0.64,Pakaian dan Alas Kaki,2024,Juli
0.39,Pakaian dan Alas Kaki,2024,Agustus
-1.84,Pakaian,2024,Januari
-2.08,Pakaian,2024,Februari
-2.05,Pakaian,2024,Maret
-2.6,Pakaian,2024,April
-0.88,Pakaian,2024,Mei
-1.05,Pakaian,2024,Juni
-0.89,Pakaian,2024,Juli
0.14,Pakaian,2024,Agustus
-3,Alas Kaki,2024,Januari
-2.66,Alas Kaki,2024,Februari
-2.76,Alas Kaki,2024,Maret
-0.75,Alas Kaki,2024,April
0.93,Alas Kaki,2024,Mei
0.89,Alas Kaki,2024,Juni
0.4,Alas Kaki,2024,Juli
1.37,Alas Kaki,2024,Agustus
0.51,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.65,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.46,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.48,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.52,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.52,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.52,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.03,Sewa dan Kontrak Rumah,2024,Januari
1.34,Sewa dan Kontrak Rumah,2024,Februari
0.9,Sewa dan Kontrak Rumah,2024,Maret
0.9,Sewa dan Kontrak Rumah,2024,April
0.98,Sewa dan Kontrak Rumah,2024,Mei
1.11,Sewa dan Kontrak Rumah,2024,Juni
1.11,Sewa dan Kontrak Rumah,2024,Juli
1.11,Sewa dan Kontrak Rumah,2024,Agustus
0.54,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.54,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.69,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.25,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.25,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.02,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.01,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.01,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
2.1,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.99,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.45,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
1.42,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.11,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.96,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
1.97,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
4.53,"Furnitur, Perlengkapan dan Karpet",2024,Januari
4.09,"Furnitur, Perlengkapan dan Karpet",2024,Februari
4.09,"Furnitur, Perlengkapan dan Karpet",2024,Maret
4.09,"Furnitur, Perlengkapan dan Karpet",2024,April
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0.14,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
-0.41,Tekstil Rumah Tangga,2024,Januari
-1.25,Tekstil Rumah Tangga,2024,Februari
-1.2,Tekstil Rumah Tangga,2024,Maret
-1.72,Tekstil Rumah Tangga,2024,April
-1.8,Tekstil Rumah Tangga,2024,Mei
-1.78,Tekstil Rumah Tangga,2024,Juni
-1.55,Tekstil Rumah Tangga,2024,Juli
-1.52,Tekstil Rumah Tangga,2024,Agustus
0.03,Peralatan Rumah Tangga,2024,Januari
-0.07,Peralatan Rumah Tangga,2024,Februari
0.87,Peralatan Rumah Tangga,2024,Maret
0.77,Peralatan Rumah Tangga,2024,April
0.75,Peralatan Rumah Tangga,2024,Mei
0.72,Peralatan Rumah Tangga,2024,Juni
0.61,Peralatan Rumah Tangga,2024,Juli
0.88,Peralatan Rumah Tangga,2024,Agustus
-0.93,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
0.86,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
1.33,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
1.88,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
-0.05,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
1.51,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
1.66,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
1.66,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
2.94,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
2.63,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
2.57,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
2.56,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
2.37,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
2.08,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
2.3,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
1.91,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
2.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
2.25,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
1.27,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
1.24,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
1.54,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
2.7,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
2.71,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
2.73,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
1.32,Kesehatan,2024,Januari
1.51,Kesehatan,2024,Februari
1.92,Kesehatan,2024,Maret
1.95,Kesehatan,2024,April
1.95,Kesehatan,2024,Mei
1.62,Kesehatan,2024,Juni
1.17,Kesehatan,2024,Juli
1.11,Kesehatan,2024,Agustus
2.37,Obat-obatan dan Produk Kesehatan,2024,Januari
2.34,Obat-obatan dan Produk Kesehatan,2024,Februari
3.2,Obat-obatan dan Produk Kesehatan,2024,Maret
3.24,Obat-obatan dan Produk Kesehatan,2024,April
2.83,Obat-obatan dan Produk Kesehatan,2024,Mei
2.18,Obat-obatan dan Produk Kesehatan,2024,Juni
1.25,Obat-obatan dan Produk Kesehatan,2024,Juli
1.11,Obat-obatan dan Produk Kesehatan,2024,Agustus
0.06,Jasa Rawat Jalan,2024,Januari
1.29,Jasa Rawat Jalan,2024,Februari
1.29,Jasa Rawat Jalan,2024,Maret
1.29,Jasa Rawat Jalan,2024,April
