inflasi,kelompok,tahun,bulan
6.51,"Makanan, Minuman dan Tembakau",2024,Januari
8.23,"Makanan, Minuman dan Tembakau",2024,Februari
9.32,"Makanan, Minuman dan Tembakau",2024,Maret
8.92,"Makanan, Minuman dan Tembakau",2024,April
9.56,"Makanan, Minuman dan Tembakau",2024,Mei
7.54,"Makanan, Minuman dan Tembakau",2024,Juni
3.36,"Makanan, Minuman dan Tembakau",2024,Juli
4.37,"Makanan, Minuman dan Tembakau",2024,Agustus
6.43,Makanan,2024,Januari
8.62,Makanan,2024,Februari
9.83,Makanan,2024,Maret
9.43,Makanan,2024,April
10.18,Makanan,2024,Mei
7.85,Makanan,2024,Juni
3,Makanan,2024,Juli
4.12,Makanan,2024,Agustus
4.08,Minuman yang Tidak Beralkohol,2024,Januari
3.24,Minuman yang Tidak Beralkohol,2024,Februari
4.42,Minuman yang Tidak Beralkohol,2024,Maret
4.73,Minuman yang Tidak Beralkohol,2024,April
6.78,Minuman yang Tidak Beralkohol,2024,Mei
7.3,Minuman yang Tidak Beralkohol,2024,Juni
6.82,Minuman yang Tidak Beralkohol,2024,Juli
7.22,Minuman yang Tidak Beralkohol,2024,Agustus
8.74,Rokok dan Tembakau,2024,Januari
8.07,Rokok dan Tembakau,2024,Februari
8.13,Rokok dan Tembakau,2024,Maret
7.37,Rokok dan Tembakau,2024,April
6.2,Rokok dan Tembakau,2024,Mei
5.16,Rokok dan Tembakau,2024,Juni
4.14,Rokok dan Tembakau,2024,Juli
4.7,Rokok dan Tembakau,2024,Agustus
0.38,Pakaian dan Alas Kaki,2024,Januari
0.7,Pakaian dan Alas Kaki,2024,Februari
0.71,Pakaian dan Alas Kaki,2024,Maret
0.8,Pakaian dan Alas Kaki,2024,April
0.86,Pakaian dan Alas Kaki,2024,Mei
0.64,Pakaian dan Alas Kaki,2024,Juni
0.53,Pakaian dan Alas Kaki,2024,Juli
0.53,Pakaian dan Alas Kaki,2024,Agustus
0.41,Pakaian,2024,Januari
0.79,Pakaian,2024,Februari
0.79,Pakaian,2024,Maret
0.94,Pakaian,2024,April
1.02,Pakaian,2024,Mei
0.76,Pakaian,2024,Juni
0.62,Pakaian,2024,Juli
0.62,Pakaian,2024,Agustus
0.28,Alas Kaki,2024,Januari
0.28,Alas Kaki,2024,Februari
0.33,Alas Kaki,2024,Maret
0.22,Alas Kaki,2024,April
0.22,Alas Kaki,2024,Mei
0.13,Alas Kaki,2024,Juni
0.13,Alas Kaki,2024,Juli
0.13,Alas Kaki,2024,Agustus
0.53,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.77,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
1.03,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
1.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.11,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.04,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.15,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.39,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0.38,Sewa dan Kontrak Rumah,2024,Juli
0.99,Sewa dan Kontrak Rumah,2024,Agustus
-4.7,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-2.58,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-0.69,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-0.59,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.58,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.11,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.33,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
9.24,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
9.24,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
9.24,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
9.24,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
