inflasi,kelompok,tahun,bulan
5.29,"Makanan, Minuman dan Tembakau",2024,Januari
6.71,"Makanan, Minuman dan Tembakau",2024,Februari
8.28,"Makanan, Minuman dan Tembakau",2024,Maret
7.74,"Makanan, Minuman dan Tembakau",2024,April
5.5,"Makanan, Minuman dan Tembakau",2024,Mei
3.24,"Makanan, Minuman dan Tembakau",2024,Juni
2.58,"Makanan, Minuman dan Tembakau",2024,Juli
2.04,"Makanan, Minuman dan Tembakau",2024,Agustus
5.82,Makanan,2024,Januari
7.61,Makanan,2024,Februari
9.58,Makanan,2024,Maret
8.87,Makanan,2024,April
6,Makanan,2024,Mei
3.2,Makanan,2024,Juni
2.36,Makanan,2024,Juli
1.71,Makanan,2024,Agustus
0.88,Minuman yang Tidak Beralkohol,2024,Januari
0.38,Minuman yang Tidak Beralkohol,2024,Februari
0.36,Minuman yang Tidak Beralkohol,2024,Maret
1.33,Minuman yang Tidak Beralkohol,2024,April
1.18,Minuman yang Tidak Beralkohol,2024,Mei
1.08,Minuman yang Tidak Beralkohol,2024,Juni
1.08,Minuman yang Tidak Beralkohol,2024,Juli
1.08,Minuman yang Tidak Beralkohol,2024,Agustus
4.59,Rokok dan Tembakau,2024,Januari
4.56,Rokok dan Tembakau,2024,Februari
4.57,Rokok dan Tembakau,2024,Maret
4.34,Rokok dan Tembakau,2024,April
4.81,Rokok dan Tembakau,2024,Mei
4.81,Rokok dan Tembakau,2024,Juni
4.83,Rokok dan Tembakau,2024,Juli
4.68,Rokok dan Tembakau,2024,Agustus
0.88,Pakaian dan Alas Kaki,2024,Januari
0.82,Pakaian dan Alas Kaki,2024,Februari
0.41,Pakaian dan Alas Kaki,2024,Maret
0.44,Pakaian dan Alas Kaki,2024,April
0.59,Pakaian dan Alas Kaki,2024,Mei
0.69,Pakaian dan Alas Kaki,2024,Juni
0.34,Pakaian dan Alas Kaki,2024,Juli
0.3,Pakaian dan Alas Kaki,2024,Agustus
0.8,Pakaian,2024,Januari
0.74,Pakaian,2024,Februari
0.21,Pakaian,2024,Maret
0.3,Pakaian,2024,April
0.45,Pakaian,2024,Mei
0.59,Pakaian,2024,Juni
0.35,Pakaian,2024,Juli
0.34,Pakaian,2024,Agustus
1.17,Alas Kaki,2024,Januari
1.14,Alas Kaki,2024,Februari
1.11,Alas Kaki,2024,Maret
1,Alas Kaki,2024,April
1.02,Alas Kaki,2024,Mei
1.06,Alas Kaki,2024,Juni
0.28,Alas Kaki,2024,Juli
0.15,Alas Kaki,2024,Agustus
0.6,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.6,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.55,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.49,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.26,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.33,Sewa dan Kontrak Rumah,2024,Januari
0.33,Sewa dan Kontrak Rumah,2024,Februari
0.17,Sewa dan Kontrak Rumah,2024,Maret
0.17,Sewa dan Kontrak Rumah,2024,April
0.17,Sewa dan Kontrak Rumah,2024,Mei
0.63,Sewa dan Kontrak Rumah,2024,Juni
0.46,Sewa dan Kontrak Rumah,2024,Juli
0.46,Sewa dan Kontrak Rumah,2024,Agustus
1.23,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.22,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.14,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
1.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
1.27,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
1.27,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.75,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.57,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
2.06,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
1.32,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.28,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.28,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.28,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.06,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.65,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.02,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.02,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.08,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.35,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.42,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.03,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-0.13,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0.35,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0.35,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0.35,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.35,"Furnitur, Perlengkapan dan Karpet",2024,April
0.2,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.2,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0.2,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0.21,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
