inflasi,kelompok,tahun,bulan
1.7,"Makanan, Minuman dan Tembakau",2024,Januari
4.95,"Makanan, Minuman dan Tembakau",2024,Februari
4.24,"Makanan, Minuman dan Tembakau",2024,Maret
5.39,"Makanan, Minuman dan Tembakau",2024,April
4.31,"Makanan, Minuman dan Tembakau",2024,Mei
3.63,"Makanan, Minuman dan Tembakau",2024,Juni
2.86,"Makanan, Minuman dan Tembakau",2024,Juli
3.45,"Makanan, Minuman dan Tembakau",2024,Agustus
0.72,Makanan,2024,Januari
4.78,Makanan,2024,Februari
4.04,Makanan,2024,Maret
5.39,Makanan,2024,April
4.12,Makanan,2024,Mei
3.21,Makanan,2024,Juni
2.29,Makanan,2024,Juli
3.47,Makanan,2024,Agustus
1.94,Minuman yang Tidak Beralkohol,2024,Januari
1.91,Minuman yang Tidak Beralkohol,2024,Februari
2.06,Minuman yang Tidak Beralkohol,2024,Maret
2.2,Minuman yang Tidak Beralkohol,2024,April
1.69,Minuman yang Tidak Beralkohol,2024,Mei
3.14,Minuman yang Tidak Beralkohol,2024,Juni
3.62,Minuman yang Tidak Beralkohol,2024,Juli
2.91,Minuman yang Tidak Beralkohol,2024,Agustus
0.65,Minuman Beralkohol,2024,Januari
0.65,Minuman Beralkohol,2024,Februari
0.49,Minuman Beralkohol,2024,Maret
0.41,Minuman Beralkohol,2024,April
0.41,Minuman Beralkohol,2024,Mei
1.5,Minuman Beralkohol,2024,Juni
1.5,Minuman Beralkohol,2024,Juli
1.15,Minuman Beralkohol,2024,Agustus
11.37,Rokok dan Tembakau,2024,Januari
8.63,Rokok dan Tembakau,2024,Februari
7.69,Rokok dan Tembakau,2024,Maret
7.8,Rokok dan Tembakau,2024,April
7.97,Rokok dan Tembakau,2024,Mei
7.97,Rokok dan Tembakau,2024,Juni
7.65,Rokok dan Tembakau,2024,Juli
3.86,Rokok dan Tembakau,2024,Agustus
-0.07,Pakaian dan Alas Kaki,2024,Januari
-0.09,Pakaian dan Alas Kaki,2024,Februari
-0.1,Pakaian dan Alas Kaki,2024,Maret
0.04,Pakaian dan Alas Kaki,2024,April
0.05,Pakaian dan Alas Kaki,2024,Mei
0.16,Pakaian dan Alas Kaki,2024,Juni
0.27,Pakaian dan Alas Kaki,2024,Juli
0.4,Pakaian dan Alas Kaki,2024,Agustus
0.12,Pakaian,2024,Januari
0.03,Pakaian,2024,Februari
0.02,Pakaian,2024,Maret
0.11,Pakaian,2024,April
0.12,Pakaian,2024,Mei
0.25,Pakaian,2024,Juni
0.53,Pakaian,2024,Juli
0.52,Pakaian,2024,Agustus
-0.63,Alas Kaki,2024,Januari
-0.5,Alas Kaki,2024,Februari
-0.5,Alas Kaki,2024,Maret
-0.17,Alas Kaki,2024,April
-0.18,Alas Kaki,2024,Mei
-0.12,Alas Kaki,2024,Juni
-0.53,Alas Kaki,2024,Juli
0.02,Alas Kaki,2024,Agustus
1.85,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
1.73,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.82,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.55,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
