inflasi,kelompok,tahun,bulan
1.92,"Makanan, Minuman dan Tembakau",2024,Januari
2.63,"Makanan, Minuman dan Tembakau",2024,Februari
6.31,"Makanan, Minuman dan Tembakau",2024,Maret
7.47,"Makanan, Minuman dan Tembakau",2024,April
6.09,"Makanan, Minuman dan Tembakau",2024,Mei
6.25,"Makanan, Minuman dan Tembakau",2024,Juni
3.34,"Makanan, Minuman dan Tembakau",2024,Juli
3.84,"Makanan, Minuman dan Tembakau",2024,Agustus
1.21,Makanan,2024,Januari
2.28,Makanan,2024,Februari
6.57,Makanan,2024,Maret
7.97,Makanan,2024,April
6.26,Makanan,2024,Mei
6.4,Makanan,2024,Juni
2.89,Makanan,2024,Juli
3.47,Makanan,2024,Agustus
1.01,Minuman yang Tidak Beralkohol,2024,Januari
0.76,Minuman yang Tidak Beralkohol,2024,Februari
2.86,Minuman yang Tidak Beralkohol,2024,Maret
2.97,Minuman yang Tidak Beralkohol,2024,April
2.21,Minuman yang Tidak Beralkohol,2024,Mei
3.5,Minuman yang Tidak Beralkohol,2024,Juni
3.24,Minuman yang Tidak Beralkohol,2024,Juli
3.73,Minuman yang Tidak Beralkohol,2024,Agustus
7.07,Rokok dan Tembakau,2024,Januari
5.69,Rokok dan Tembakau,2024,Februari
5.96,Rokok dan Tembakau,2024,Maret
5.96,Rokok dan Tembakau,2024,April
6.32,Rokok dan Tembakau,2024,Mei
6.32,Rokok dan Tembakau,2024,Juni
6.32,Rokok dan Tembakau,2024,Juli
6.25,Rokok dan Tembakau,2024,Agustus
3.84,Pakaian dan Alas Kaki,2024,Januari
3.59,Pakaian dan Alas Kaki,2024,Februari
3.55,Pakaian dan Alas Kaki,2024,Maret
3.43,Pakaian dan Alas Kaki,2024,April
3.15,Pakaian dan Alas Kaki,2024,Mei
3.3,Pakaian dan Alas Kaki,2024,Juni
2.2,Pakaian dan Alas Kaki,2024,Juli
1.82,Pakaian dan Alas Kaki,2024,Agustus
2.27,Pakaian,2024,Januari
2.29,Pakaian,2024,Februari
1.96,Pakaian,2024,Maret
1.82,Pakaian,2024,April
1.48,Pakaian,2024,Mei
1.66,Pakaian,2024,Juni
1.38,Pakaian,2024,Juli
1.1,Pakaian,2024,Agustus
10.74,Alas Kaki,2024,Januari
9.17,Alas Kaki,2024,Februari
10.38,Alas Kaki,2024,Maret
10.38,Alas Kaki,2024,April
10.38,Alas Kaki,2024,Mei
10.38,Alas Kaki,2024,Juni
5.61,Alas Kaki,2024,Juli
4.84,Alas Kaki,2024,Agustus
-0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.52,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.52,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.61,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.97,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.51,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
1.25,Sewa dan Kontrak Rumah,2024,Juni
2.12,Sewa dan Kontrak Rumah,2024,Juli
2.91,Sewa dan Kontrak Rumah,2024,Agustus
-1.6,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-2.68,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-2.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-2.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-1.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-1.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-1.98,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-1.96,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.3,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.13,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.13,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.97,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.85,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
2.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
2.59,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
