inflasi,kelompok,tahun,bulan
4.29,"Makanan, Minuman dan Tembakau",2024,Januari
5.08,"Makanan, Minuman dan Tembakau",2024,Februari
5.59,"Makanan, Minuman dan Tembakau",2024,Maret
5.36,"Makanan, Minuman dan Tembakau",2024,April
4.98,"Makanan, Minuman dan Tembakau",2024,Mei
3.71,"Makanan, Minuman dan Tembakau",2024,Juni
1.42,"Makanan, Minuman dan Tembakau",2024,Juli
0.8,"Makanan, Minuman dan Tembakau",2024,Agustus
4.2,Makanan,2024,Januari
5.38,Makanan,2024,Februari
5.98,Makanan,2024,Maret
5.63,Makanan,2024,April
5.14,Makanan,2024,Mei
3.63,Makanan,2024,Juni
0.8,Makanan,2024,Juli
0.07,Makanan,2024,Agustus
5.73,Minuman yang Tidak Beralkohol,2024,Januari
5.79,Minuman yang Tidak Beralkohol,2024,Februari
6.53,Minuman yang Tidak Beralkohol,2024,Maret
6.61,Minuman yang Tidak Beralkohol,2024,April
6.21,Minuman yang Tidak Beralkohol,2024,Mei
5.69,Minuman yang Tidak Beralkohol,2024,Juni
5.4,Minuman yang Tidak Beralkohol,2024,Juli
5.7,Minuman yang Tidak Beralkohol,2024,Agustus
4.36,Rokok dan Tembakau,2024,Januari
2.87,Rokok dan Tembakau,2024,Februari
2.75,Rokok dan Tembakau,2024,Maret
3.26,Rokok dan Tembakau,2024,April
3.61,Rokok dan Tembakau,2024,Mei
3.71,Rokok dan Tembakau,2024,Juni
4.16,Rokok dan Tembakau,2024,Juli
3.93,Rokok dan Tembakau,2024,Agustus
0.31,Pakaian dan Alas Kaki,2024,Januari
0.31,Pakaian dan Alas Kaki,2024,Februari
0.46,Pakaian dan Alas Kaki,2024,Maret
0.85,Pakaian dan Alas Kaki,2024,April
0.93,Pakaian dan Alas Kaki,2024,Mei
0.93,Pakaian dan Alas Kaki,2024,Juni
1.01,Pakaian dan Alas Kaki,2024,Juli
1.02,Pakaian dan Alas Kaki,2024,Agustus
0.57,Pakaian,2024,Januari
0.57,Pakaian,2024,Februari
0.79,Pakaian,2024,Maret
0.98,Pakaian,2024,April
0.98,Pakaian,2024,Mei
0.98,Pakaian,2024,Juni
0.99,Pakaian,2024,Juli
1.02,Pakaian,2024,Agustus
-0.42,Alas Kaki,2024,Januari
-0.43,Alas Kaki,2024,Februari
-0.43,Alas Kaki,2024,Maret
0.49,Alas Kaki,2024,April
0.76,Alas Kaki,2024,Mei
0.76,Alas Kaki,2024,Juni
1.08,Alas Kaki,2024,Juli
1.08,Alas Kaki,2024,Agustus
0.45,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.37,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
