inflasi,kelompok,tahun,bulan
5.43,"Makanan, Minuman dan Tembakau",2024,Januari
7.14,"Makanan, Minuman dan Tembakau",2024,Februari
8.88,"Makanan, Minuman dan Tembakau",2024,Maret
7.98,"Makanan, Minuman dan Tembakau",2024,April
5.89,"Makanan, Minuman dan Tembakau",2024,Mei
3.79,"Makanan, Minuman dan Tembakau",2024,Juni
3.17,"Makanan, Minuman dan Tembakau",2024,Juli
3.4,"Makanan, Minuman dan Tembakau",2024,Agustus
4.95,Makanan,2024,Januari
7.07,Makanan,2024,Februari
9.16,Makanan,2024,Maret
8.06,Makanan,2024,April
5.57,Makanan,2024,Mei
2.85,Makanan,2024,Juni
2.26,Makanan,2024,Juli
2.05,Makanan,2024,Agustus
1.38,Minuman yang Tidak Beralkohol,2024,Januari
1.38,Minuman yang Tidak Beralkohol,2024,Februari
1.7,Minuman yang Tidak Beralkohol,2024,Maret
1.94,Minuman yang Tidak Beralkohol,2024,April
1.92,Minuman yang Tidak Beralkohol,2024,Mei
2.27,Minuman yang Tidak Beralkohol,2024,Juni
2.18,Minuman yang Tidak Beralkohol,2024,Juli
5.2,Minuman yang Tidak Beralkohol,2024,Agustus
13.4,Rokok dan Tembakau,2024,Januari
12.81,Rokok dan Tembakau,2024,Februari
12.8,Rokok dan Tembakau,2024,Maret
12.56,Rokok dan Tembakau,2024,April
12.01,Rokok dan Tembakau,2024,Mei
13.18,Rokok dan Tembakau,2024,Juni
11.63,Rokok dan Tembakau,2024,Juli
13.06,Rokok dan Tembakau,2024,Agustus
1.06,Pakaian dan Alas Kaki,2024,Januari
1.08,Pakaian dan Alas Kaki,2024,Februari
1.12,Pakaian dan Alas Kaki,2024,Maret
0.97,Pakaian dan Alas Kaki,2024,April
1.09,Pakaian dan Alas Kaki,2024,Mei
0.79,Pakaian dan Alas Kaki,2024,Juni
0.7,Pakaian dan Alas Kaki,2024,Juli
0.57,Pakaian dan Alas Kaki,2024,Agustus
1,Pakaian,2024,Januari
1.02,Pakaian,2024,Februari
1.07,Pakaian,2024,Maret
0.89,Pakaian,2024,April
1.05,Pakaian,2024,Mei
0.71,Pakaian,2024,Juni
0.6,Pakaian,2024,Juli
0.7,Pakaian,2024,Agustus
1.31,Alas Kaki,2024,Januari
1.31,Alas Kaki,2024,Februari
1.33,Alas Kaki,2024,Maret
1.25,Alas Kaki,2024,April
1.26,Alas Kaki,2024,Mei
1.16,Alas Kaki,2024,Juni
1.16,Alas Kaki,2024,Juli
