inflasi,kelompok,tahun,bulan
4.19,"Makanan, Minuman dan Tembakau",2024,Januari
6.09,"Makanan, Minuman dan Tembakau",2024,Februari
5.22,"Makanan, Minuman dan Tembakau",2024,Maret
5.19,"Makanan, Minuman dan Tembakau",2024,April
4.45,"Makanan, Minuman dan Tembakau",2024,Mei
3.46,"Makanan, Minuman dan Tembakau",2024,Juni
3.09,"Makanan, Minuman dan Tembakau",2024,Juli
3.08,"Makanan, Minuman dan Tembakau",2024,Agustus
3.94,Makanan,2024,Januari
6.43,Makanan,2024,Februari
5.3,Makanan,2024,Maret
5.25,Makanan,2024,April
4.37,Makanan,2024,Mei
3.22,Makanan,2024,Juni
2.58,Makanan,2024,Juli
2.78,Makanan,2024,Agustus
2.96,Minuman yang Tidak Beralkohol,2024,Januari
2.61,Minuman yang Tidak Beralkohol,2024,Februari
2.07,Minuman yang Tidak Beralkohol,2024,Maret
1.88,Minuman yang Tidak Beralkohol,2024,April
1.35,Minuman yang Tidak Beralkohol,2024,Mei
0.61,Minuman yang Tidak Beralkohol,2024,Juni
1.36,Minuman yang Tidak Beralkohol,2024,Juli
1.29,Minuman yang Tidak Beralkohol,2024,Agustus
7.55,Rokok dan Tembakau,2024,Januari
5.9,Rokok dan Tembakau,2024,Februari
7.01,Rokok dan Tembakau,2024,Maret
7.42,Rokok dan Tembakau,2024,April
7.64,Rokok dan Tembakau,2024,Mei
7.97,Rokok dan Tembakau,2024,Juni
9.11,Rokok dan Tembakau,2024,Juli
6.93,Rokok dan Tembakau,2024,Agustus
1.17,Pakaian dan Alas Kaki,2024,Januari
1.29,Pakaian dan Alas Kaki,2024,Februari
1.25,Pakaian dan Alas Kaki,2024,Maret
0.55,Pakaian dan Alas Kaki,2024,April
0.86,Pakaian dan Alas Kaki,2024,Mei
0.92,Pakaian dan Alas Kaki,2024,Juni
0.96,Pakaian dan Alas Kaki,2024,Juli
1.23,Pakaian dan Alas Kaki,2024,Agustus
1.22,Pakaian,2024,Januari
1.24,Pakaian,2024,Februari
1.19,Pakaian,2024,Maret
0.43,Pakaian,2024,April
0.73,Pakaian,2024,Mei
0.81,Pakaian,2024,Juni
0.94,Pakaian,2024,Juli
1.22,Pakaian,2024,Agustus
1,Alas Kaki,2024,Januari
1.44,Alas Kaki,2024,Februari
1.44,Alas Kaki,2024,Maret
0.95,Alas Kaki,2024,April
1.33,Alas Kaki,2024,Mei
1.33,Alas Kaki,2024,Juni
1,Alas Kaki,2024,Juli
1.26,Alas Kaki,2024,Agustus
0.76,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.75,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.76,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.73,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.66,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.67,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.64,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
2.39,Sewa dan Kontrak Rumah,2024,Januari
2.4,Sewa dan Kontrak Rumah,2024,Februari
2.4,Sewa dan Kontrak Rumah,2024,Maret
2.4,Sewa dan Kontrak Rumah,2024,April
2.15,Sewa dan Kontrak Rumah,2024,Mei
2.15,Sewa dan Kontrak Rumah,2024,Juni
2.12,Sewa dan Kontrak Rumah,2024,Juli
2.03,Sewa dan Kontrak Rumah,2024,Agustus
1.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.93,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.08,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.87,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.91,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
