inflasi,kelompok,tahun,bulan
7.91,"Makanan, Minuman dan Tembakau",2024,Januari
7.7,"Makanan, Minuman dan Tembakau",2024,Februari
8.12,"Makanan, Minuman dan Tembakau",2024,Maret
7.85,"Makanan, Minuman dan Tembakau",2024,April
8.68,"Makanan, Minuman dan Tembakau",2024,Mei
9.13,"Makanan, Minuman dan Tembakau",2024,Juni
9.22,"Makanan, Minuman dan Tembakau",2024,Juli
9.68,"Makanan, Minuman dan Tembakau",2024,Agustus
9.78,Makanan,2024,Januari
9.58,Makanan,2024,Februari
10.08,Makanan,2024,Maret
10.04,Makanan,2024,April
11.07,Makanan,2024,Mei
11.48,Makanan,2024,Juni
11.06,Makanan,2024,Juli
11.6,Makanan,2024,Agustus
-1.17,Minuman yang Tidak Beralkohol,2024,Januari
-1.65,Minuman yang Tidak Beralkohol,2024,Februari
-2.16,Minuman yang Tidak Beralkohol,2024,Maret
-4.5,Minuman yang Tidak Beralkohol,2024,April
-4.6,Minuman yang Tidak Beralkohol,2024,Mei
-3.41,Minuman yang Tidak Beralkohol,2024,Juni
1.6,Minuman yang Tidak Beralkohol,2024,Juli
2,Minuman yang Tidak Beralkohol,2024,Agustus
0,Minuman Beralkohol,2024,Januari
0,Minuman Beralkohol,2024,Februari
0,Minuman Beralkohol,2024,Maret
0,Minuman Beralkohol,2024,April
0,Minuman Beralkohol,2024,Mei
0,Minuman Beralkohol,2024,Juni
0.3,Minuman Beralkohol,2024,Juli
0.3,Minuman Beralkohol,2024,Agustus
1.28,Rokok dan Tembakau,2024,Januari
1.28,Rokok dan Tembakau,2024,Februari
1.28,Rokok dan Tembakau,2024,Maret
1.28,Rokok dan Tembakau,2024,April
1.28,Rokok dan Tembakau,2024,Mei
1.28,Rokok dan Tembakau,2024,Juni
1.28,Rokok dan Tembakau,2024,Juli
1.28,Rokok dan Tembakau,2024,Agustus
1.16,Pakaian dan Alas Kaki,2024,Januari
-0.44,Pakaian dan Alas Kaki,2024,Februari
-1.17,Pakaian dan Alas Kaki,2024,Maret
-1.15,Pakaian dan Alas Kaki,2024,April
-1.06,Pakaian dan Alas Kaki,2024,Mei
-0.98,Pakaian dan Alas Kaki,2024,Juni
-1.11,Pakaian dan Alas Kaki,2024,Juli
-1.36,Pakaian dan Alas Kaki,2024,Agustus
0.05,Pakaian,2024,Januari
-0.91,Pakaian,2024,Februari
-2.16,Pakaian,2024,Maret
-2.13,Pakaian,2024,April
-2.02,Pakaian,2024,Mei
-1.95,Pakaian,2024,Juni
-2.14,Pakaian,2024,Juli
-2.31,Pakaian,2024,Agustus
4.52,Alas Kaki,2024,Januari
0.96,Alas Kaki,2024,Februari
1.85,Alas Kaki,2024,Maret
1.85,Alas Kaki,2024,April
1.86,Alas Kaki,2024,Mei
1.93,Alas Kaki,2024,Juni
2.05,Alas Kaki,2024,Juli
1.45,Alas Kaki,2024,Agustus
0.11,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.08,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.06,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.03,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.04,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.03,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
0.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.22,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.23,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.23,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.06,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.22,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.13,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.07,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.06,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-0.16,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-0.47,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-0.35,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.52,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.38,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.25,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.21,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-0.21,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0.13,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0.13,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0.13,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.13,"Furnitur, Perlengkapan dan Karpet",2024,April
0.03,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.03,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-0.55,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-0.55,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
-0.81,Tekstil Rumah Tangga,2024,Januari
0.09,Tekstil Rumah Tangga,2024,Februari
0.09,Tekstil Rumah Tangga,2024,Maret
0.09,Tekstil Rumah Tangga,2024,April
0.09,Tekstil Rumah Tangga,2024,Mei
0.09,Tekstil Rumah Tangga,2024,Juni
-0.45,Tekstil Rumah Tangga,2024,Juli
-0.45,Tekstil Rumah Tangga,2024,Agustus
1.43,Peralatan Rumah Tangga,2024,Januari
0.07,Peralatan Rumah Tangga,2024,Februari
-0.17,Peralatan Rumah Tangga,2024,Maret
-0.17,Peralatan Rumah Tangga,2024,April
-0.25,Peralatan Rumah Tangga,2024,Mei
-0.26,Peralatan Rumah Tangga,2024,Juni
-0.26,Peralatan Rumah Tangga,2024,Juli
-0.23,Peralatan Rumah Tangga,2024,Agustus
5.8,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-1.06,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
-2.47,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
-3.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
-3.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
-3.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
-3.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
-3.84,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
1.75,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
3.09,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
6.57,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
8.31,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
-0.86,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
-0.74,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
-0.4,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
-0.59,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-0.39,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
-0.26,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-0.18,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-0.26,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
-0.9,Kesehatan,2024,Januari
-0.96,Kesehatan,2024,Februari
-0.83,Kesehatan,2024,Maret
-0.82,Kesehatan,2024,April
-0.59,Kesehatan,2024,Mei
-0.64,Kesehatan,2024,Juni
-0.64,Kesehatan,2024,Juli
-0.3,Kesehatan,2024,Agustus
-1.54,Obat-obatan dan Produk Kesehatan,2024,Januari
-1.63,Obat-obatan dan Produk Kesehatan,2024,Februari
-1.41,Obat-obatan dan Produk Kesehatan,2024,Maret
-1.38,Obat-obatan dan Produk Kesehatan,2024,April
-1,Obat-obatan dan Produk Kesehatan,2024,Mei
-1.08,Obat-obatan dan Produk Kesehatan,2024,Juni
-1.08,Obat-obatan dan Produk Kesehatan,2024,Juli
-1.21,Obat-obatan dan Produk Kesehatan,2024,Agustus
0,Jasa Rawat Jalan,2024,Januari
0,Jasa Rawat Jalan,2024,Februari
0,Jasa Rawat Jalan,2024,Maret
0,Jasa Rawat Jalan,2024,April
0,Jasa Rawat Jalan,2024,Mei
0,Jasa Rawat Jalan,2024,Juni
0,Jasa Rawat Jalan,2024,Juli
0,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
0,Jasa Kesehatan Lainnya,2024,Januari
0,Jasa Kesehatan Lainnya,2024,Februari
0,Jasa Kesehatan Lainnya,2024,Maret
0,Jasa Kesehatan Lainnya,2024,April
0,Jasa Kesehatan Lainnya,2024,Mei
0,Jasa Kesehatan Lainnya,2024,Juni
0,Jasa Kesehatan Lainnya,2024,Juli
3.6,Jasa Kesehatan Lainnya,2024,Agustus
1.09,Transportasi,2024,Januari
1.57,Transportasi,2024,Februari
2.37,Transportasi,2024,Maret
2.08,Transportasi,2024,April
3.46,Transportasi,2024,Mei
1.94,Transportasi,2024,Juni
1.11,Transportasi,2024,Juli
0.25,Transportasi,2024,Agustus
3.51,Pembelian Kendaraan,2024,Januari
3.51,Pembelian Kendaraan,2024,Februari
3.5,Pembelian Kendaraan,2024,Maret
3.5,Pembelian Kendaraan,2024,April
3.68,Pembelian Kendaraan,2024,Mei
4.11,Pembelian Kendaraan,2024,Juni
4.26,Pembelian Kendaraan,2024,Juli
3.59,Pembelian Kendaraan,2024,Agustus
0.44,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
0.17,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
0.01,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
0,Pengoperasian Peralatan Transportasi Pribadi,2024,April
0,Pengoperasian Peralatan Transportasi Pribadi,2024,Mei
0.29,Pengoperasian Peralatan Transportasi Pribadi,2024,Juni
0.26,Pengoperasian Peralatan Transportasi Pribadi,2024,Juli
0.37,Pengoperasian Peralatan Transportasi Pribadi,2024,Agustus
0.82,Jasa Angkutan Penumpang,2024,Januari
2.67,Jasa Angkutan Penumpang,2024,Februari
5.31,Jasa Angkutan Penumpang,2024,Maret
4.32,Jasa Angkutan Penumpang,2024,April
8.66,Jasa Angkutan Penumpang,2024,Mei
3.21,Jasa Angkutan Penumpang,2024,Juni
0.73,Jasa Angkutan Penumpang,2024,Juli
-1.6,Jasa Angkutan Penumpang,2024,Agustus
0,Jasa Pengiriman Barang,2024,Januari
0,Jasa Pengiriman Barang,2024,Februari
0,Jasa Pengiriman Barang,2024,Maret
0,Jasa Pengiriman Barang,2024,April
0,Jasa Pengiriman Barang,2024,Mei
0,Jasa Pengiriman Barang,2024,Juni
0,Jasa Pengiriman Barang,2024,Juli
0,Jasa Pengiriman Barang,2024,Agustus
-0.02,"Informasi, Komunikasi dan Jasa Keuangan",2024,Januari
-0.02,"Informasi, Komunikasi dan Jasa Keuangan",2024,Februari
-0.02,"Informasi, Komunikasi dan Jasa Keuangan",2024,Maret
0.05,"Informasi, Komunikasi dan Jasa Keuangan",2024,April
0.05,"Informasi, Komunikasi dan Jasa Keuangan",2024,Mei
-0.29,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juni
-0.72,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juli
-1.06,"Informasi, Komunikasi dan Jasa Keuangan",2024,Agustus
-1.8,Peralatan Informasi dan Komunikasi,2024,Januari
-1.8,Peralatan Informasi dan Komunikasi,2024,Februari
-1.8,Peralatan Informasi dan Komunikasi,2024,Maret
-1.39,Peralatan Informasi dan Komunikasi,2024,April
-1.39,Peralatan Informasi dan Komunikasi,2024,Mei
-3.37,Peralatan Informasi dan Komunikasi,2024,Juni
-5.88,Peralatan Informasi dan Komunikasi,2024,Juli
-7.85,Peralatan Informasi dan Komunikasi,2024,Agustus
0.38,Layanan Informasi dan Komunikasi,2024,Januari
0.38,Layanan Informasi dan Komunikasi,2024,Februari
0.38,Layanan Informasi dan Komunikasi,2024,Maret
0.38,Layanan Informasi dan Komunikasi,2024,April
0.38,Layanan Informasi dan Komunikasi,2024,Mei
0.38,Layanan Informasi dan Komunikasi,2024,Juni
0.38,Layanan Informasi dan Komunikasi,2024,Juli
0.38,Layanan Informasi dan Komunikasi,2024,Agustus
0,Asuransi,2024,Januari
0,Asuransi,2024,Februari
0,Asuransi,2024,Maret
0,Asuransi,2024,April
0,Asuransi,2024,Mei
0,Asuransi,2024,Juni
0,Asuransi,2024,Juli
0,Asuransi,2024,Agustus
0,Jasa Keuangan,2024,Januari
0,Jasa Keuangan,2024,Februari
