inflasi,kelompok,tahun,bulan
3,"Makanan, Minuman dan Tembakau",2024,Januari
5.48,"Makanan, Minuman dan Tembakau",2024,Februari
9.23,"Makanan, Minuman dan Tembakau",2024,Maret
9.8,"Makanan, Minuman dan Tembakau",2024,April
10.92,"Makanan, Minuman dan Tembakau",2024,Mei
7.77,"Makanan, Minuman dan Tembakau",2024,Juni
5.12,"Makanan, Minuman dan Tembakau",2024,Juli
4.34,"Makanan, Minuman dan Tembakau",2024,Agustus
2.58,Makanan,2024,Januari
5.7,Makanan,2024,Februari
10.04,Makanan,2024,Maret
10.95,Makanan,2024,April
12.25,Makanan,2024,Mei
8.47,Makanan,2024,Juni
5.31,Makanan,2024,Juli
4.23,Makanan,2024,Agustus
1.8,Minuman yang Tidak Beralkohol,2024,Januari
1.58,Minuman yang Tidak Beralkohol,2024,Februari
2.51,Minuman yang Tidak Beralkohol,2024,Maret
1.82,Minuman yang Tidak Beralkohol,2024,April
2.25,Minuman yang Tidak Beralkohol,2024,Mei
2.38,Minuman yang Tidak Beralkohol,2024,Juni
2.55,Minuman yang Tidak Beralkohol,2024,Juli
2.76,Minuman yang Tidak Beralkohol,2024,Agustus
7.75,Rokok dan Tembakau,2024,Januari
5.99,Rokok dan Tembakau,2024,Februari
6.5,Rokok dan Tembakau,2024,Maret
5,Rokok dan Tembakau,2024,April
5.07,Rokok dan Tembakau,2024,Mei
4.93,Rokok dan Tembakau,2024,Juni
5.14,Rokok dan Tembakau,2024,Juli
6.34,Rokok dan Tembakau,2024,Agustus
0.74,Pakaian dan Alas Kaki,2024,Januari
0.74,Pakaian dan Alas Kaki,2024,Februari
1.11,Pakaian dan Alas Kaki,2024,Maret
1.19,Pakaian dan Alas Kaki,2024,April
1.5,Pakaian dan Alas Kaki,2024,Mei
1.4,Pakaian dan Alas Kaki,2024,Juni
1.52,Pakaian dan Alas Kaki,2024,Juli
1.51,Pakaian dan Alas Kaki,2024,Agustus
0.67,Pakaian,2024,Januari
0.67,Pakaian,2024,Februari
1.13,Pakaian,2024,Maret
1.06,Pakaian,2024,April
1.44,Pakaian,2024,Mei
1.32,Pakaian,2024,Juni
1.48,Pakaian,2024,Juli
1.45,Pakaian,2024,Agustus
1.01,Alas Kaki,2024,Januari
1.01,Alas Kaki,2024,Februari
1.01,Alas Kaki,2024,Maret
1.69,Alas Kaki,2024,April
1.69,Alas Kaki,2024,Mei
1.69,Alas Kaki,2024,Juni
1.69,Alas Kaki,2024,Juli
1.69,Alas Kaki,2024,Agustus
1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.74,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.81,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.86,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.86,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.86,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.81,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.78,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.64,Sewa dan Kontrak Rumah,2024,Januari
1.13,Sewa dan Kontrak Rumah,2024,Februari
1.26,Sewa dan Kontrak Rumah,2024,Maret
1.26,Sewa dan Kontrak Rumah,2024,April
1.26,Sewa dan Kontrak Rumah,2024,Mei
1.26,Sewa dan Kontrak Rumah,2024,Juni
1.15,Sewa dan Kontrak Rumah,2024,Juli
1.15,Sewa dan Kontrak Rumah,2024,Agustus
1.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
1.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
1.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
2.14,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
2.22,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
2.22,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
2.22,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.48,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
0.43,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
0.45,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
1.61,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.96,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.88,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.83,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.56,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.09,"Furnitur, Perlengkapan dan Karpet",2024,April
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.09,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-0.9,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-1.04,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0,Tekstil Rumah Tangga,2024,Januari
0,Tekstil Rumah Tangga,2024,Februari
0,Tekstil Rumah Tangga,2024,Maret
0,Tekstil Rumah Tangga,2024,April
0,Tekstil Rumah Tangga,2024,Mei
0,Tekstil Rumah Tangga,2024,Juni
0,Tekstil Rumah Tangga,2024,Juli
0,Tekstil Rumah Tangga,2024,Agustus
-0.18,Peralatan Rumah Tangga,2024,Januari
-0.14,Peralatan Rumah Tangga,2024,Februari
-0.18,Peralatan Rumah Tangga,2024,Maret
-0.19,Peralatan Rumah Tangga,2024,April
-0.19,Peralatan Rumah Tangga,2024,Mei
-0.19,Peralatan Rumah Tangga,2024,Juni
-0.19,Peralatan Rumah Tangga,2024,Juli
-0.19,Peralatan Rumah Tangga,2024,Agustus
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
5.46,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
-0.81,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
0.34,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
0.35,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
1.55,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
2.44,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
1.48,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
1.36,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
1.36,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
0.98,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
1.09,Kesehatan,2024,Januari
1.22,Kesehatan,2024,Februari
1.22,Kesehatan,2024,Maret
1.12,Kesehatan,2024,April
2.37,Kesehatan,2024,Mei
2.29,Kesehatan,2024,Juni
1.38,Kesehatan,2024,Juli
1.29,Kesehatan,2024,Agustus
1.13,Obat-obatan dan Produk Kesehatan,2024,Januari
1.38,Obat-obatan dan Produk Kesehatan,2024,Februari
1.38,Obat-obatan dan Produk Kesehatan,2024,Maret
1.17,Obat-obatan dan Produk Kesehatan,2024,April
3.59,Obat-obatan dan Produk Kesehatan,2024,Mei
3.44,Obat-obatan dan Produk Kesehatan,2024,Juni
1.66,Obat-obatan dan Produk Kesehatan,2024,Juli
1.48,Obat-obatan dan Produk Kesehatan,2024,Agustus
0.28,Jasa Rawat Jalan,2024,Januari
0.28,Jasa Rawat Jalan,2024,Februari
0.28,Jasa Rawat Jalan,2024,Maret
0.28,Jasa Rawat Jalan,2024,April
0.28,Jasa Rawat Jalan,2024,Mei
0.28,Jasa Rawat Jalan,2024,Juni
0.28,Jasa Rawat Jalan,2024,Juli
0.28,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
7.46,Jasa Kesehatan Lainnya,2024,Januari
7.46,Jasa Kesehatan Lainnya,2024,Februari
7.46,Jasa Kesehatan Lainnya,2024,Maret
7.46,Jasa Kesehatan Lainnya,2024,April
7.46,Jasa Kesehatan Lainnya,2024,Mei
7.46,Jasa Kesehatan Lainnya,2024,Juni
7.46,Jasa Kesehatan Lainnya,2024,Juli
7.46,Jasa Kesehatan Lainnya,2024,Agustus
0.79,Transportasi,2024,Januari
0.71,Transportasi,2024,Februari
0.29,Transportasi,2024,Maret
1.47,Transportasi,2024,April
1.07,Transportasi,2024,Mei
1.72,Transportasi,2024,Juni
0.47,Transportasi,2024,Juli
0.73,Transportasi,2024,Agustus
0.59,Pembelian Kendaraan,2024,Januari
0.49,Pembelian Kendaraan,2024,Februari
0.48,Pembelian Kendaraan,2024,Maret
0.58,Pembelian Kendaraan,2024,April
0.56,Pembelian Kendaraan,2024,Mei
1.9,Pembelian Kendaraan,2024,Juni
1.9,Pembelian Kendaraan,2024,Juli
2.15,Pembelian Kendaraan,2024,Agustus
0.54,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
0.54,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
0.04,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
