inflasi,kelompok,tahun,bulan
6.42,"Makanan, Minuman dan Tembakau",2024,Januari
7.78,"Makanan, Minuman dan Tembakau",2024,Februari
9.97,"Makanan, Minuman dan Tembakau",2024,Maret
8.67,"Makanan, Minuman dan Tembakau",2024,April
6.49,"Makanan, Minuman dan Tembakau",2024,Mei
6.31,"Makanan, Minuman dan Tembakau",2024,Juni
4.85,"Makanan, Minuman dan Tembakau",2024,Juli
4.74,"Makanan, Minuman dan Tembakau",2024,Agustus
6.49,Makanan,2024,Januari
8.18,Makanan,2024,Februari
10.82,Makanan,2024,Maret
9.25,Makanan,2024,April
6.75,Makanan,2024,Mei
6.49,Makanan,2024,Juni
4.89,Makanan,2024,Juli
4.78,Makanan,2024,Agustus
2.38,Minuman yang Tidak Beralkohol,2024,Januari
3.3,Minuman yang Tidak Beralkohol,2024,Februari
5.49,Minuman yang Tidak Beralkohol,2024,Maret
4.99,Minuman yang Tidak Beralkohol,2024,April
4.63,Minuman yang Tidak Beralkohol,2024,Mei
5.94,Minuman yang Tidak Beralkohol,2024,Juni
4.81,Minuman yang Tidak Beralkohol,2024,Juli
4.83,Minuman yang Tidak Beralkohol,2024,Agustus
7.07,Rokok dan Tembakau,2024,Januari
6.99,Rokok dan Tembakau,2024,Februari
6.99,Rokok dan Tembakau,2024,Maret
6.77,Rokok dan Tembakau,2024,April
5.64,Rokok dan Tembakau,2024,Mei
5.6,Rokok dan Tembakau,2024,Juni
4.69,Rokok dan Tembakau,2024,Juli
4.62,Rokok dan Tembakau,2024,Agustus
1.34,Pakaian dan Alas Kaki,2024,Januari
1.54,Pakaian dan Alas Kaki,2024,Februari
1.65,Pakaian dan Alas Kaki,2024,Maret
1.44,Pakaian dan Alas Kaki,2024,April
1.29,Pakaian dan Alas Kaki,2024,Mei
0.95,Pakaian dan Alas Kaki,2024,Juni
0.79,Pakaian dan Alas Kaki,2024,Juli
0.79,Pakaian dan Alas Kaki,2024,Agustus
1.51,Pakaian,2024,Januari
1.76,Pakaian,2024,Februari
1.93,Pakaian,2024,Maret
1.52,Pakaian,2024,April
1.36,Pakaian,2024,Mei
1.02,Pakaian,2024,Juni
0.83,Pakaian,2024,Juli
0.84,Pakaian,2024,Agustus
0.72,Alas Kaki,2024,Januari
0.72,Alas Kaki,2024,Februari
0.7,Alas Kaki,2024,Maret
1.1,Alas Kaki,2024,April
1.02,Alas Kaki,2024,Mei
0.64,Alas Kaki,2024,Juni
0.64,Alas Kaki,2024,Juli
0.64,Alas Kaki,2024,Agustus
-1.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.3,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.23,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.25,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.52,Sewa dan Kontrak Rumah,2024,Januari
0.52,Sewa dan Kontrak Rumah,2024,Februari
0.52,Sewa dan Kontrak Rumah,2024,Maret
0.52,Sewa dan Kontrak Rumah,2024,April
0.52,Sewa dan Kontrak Rumah,2024,Mei
0.52,Sewa dan Kontrak Rumah,2024,Juni
0.52,Sewa dan Kontrak Rumah,2024,Juli
0.52,Sewa dan Kontrak Rumah,2024,Agustus
1.87,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
2.54,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
3.79,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
3.86,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
2.88,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
2.67,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
2.95,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
2.99,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-2.61,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-1.32,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.56,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.48,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.48,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.49,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.49,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.47,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-2.21,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-2.2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-1.52,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.59,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.57,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.35,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.97,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-1.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0.76,"Furnitur, Perlengkapan dan Karpet",2024,Januari
0.76,"Furnitur, Perlengkapan dan Karpet",2024,Februari
0.71,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.71,"Furnitur, Perlengkapan dan Karpet",2024,April
-0.7,"Furnitur, Perlengkapan dan Karpet",2024,Mei
-0.61,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-0.5,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-0.47,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
1.01,Tekstil Rumah Tangga,2024,Januari
1.01,Tekstil Rumah Tangga,2024,Februari
1.48,Tekstil Rumah Tangga,2024,Maret
0.72,Tekstil Rumah Tangga,2024,April
1.23,Tekstil Rumah Tangga,2024,Mei
0.71,Tekstil Rumah Tangga,2024,Juni
0.83,Tekstil Rumah Tangga,2024,Juli
0.83,Tekstil Rumah Tangga,2024,Agustus
-3.84,Peralatan Rumah Tangga,2024,Januari
-3.47,Peralatan Rumah Tangga,2024,Februari
-3.05,Peralatan Rumah Tangga,2024,Maret
-3.54,Peralatan Rumah Tangga,2024,April
-2.16,Peralatan Rumah Tangga,2024,Mei
-2.2,Peralatan Rumah Tangga,2024,Juni
-2.23,Peralatan Rumah Tangga,2024,Juli
-2.48,Peralatan Rumah Tangga,2024,Agustus
-0.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-0.03,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
0.6,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
0.6,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
0.6,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
-0.27,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
-0.27,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
-0.27,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
1.24,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
1.24,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
1.24,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0.35,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0.2,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
0.19,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
0.19,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0.19,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
-2.92,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
-2.97,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
-2.05,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
-0.37,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-0.43,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
0.02,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-0.98,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-1.84,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
0.74,Kesehatan,2024,Januari
0.64,Kesehatan,2024,Februari
1.25,Kesehatan,2024,Maret
1.23,Kesehatan,2024,April
1.73,Kesehatan,2024,Mei
2.05,Kesehatan,2024,Juni
1.37,Kesehatan,2024,Juli
1.33,Kesehatan,2024,Agustus
0.09,Obat-obatan dan Produk Kesehatan,2024,Januari
-0.13,Obat-obatan dan Produk Kesehatan,2024,Februari
1.19,Obat-obatan dan Produk Kesehatan,2024,Maret
1.15,Obat-obatan dan Produk Kesehatan,2024,April
1.15,Obat-obatan dan Produk Kesehatan,2024,Mei
1.86,Obat-obatan dan Produk Kesehatan,2024,Juni
0.38,Obat-obatan dan Produk Kesehatan,2024,Juli
0.28,Obat-obatan dan Produk Kesehatan,2024,Agustus
2.16,Jasa Rawat Jalan,2024,Januari
2.16,Jasa Rawat Jalan,2024,Februari
2.16,Jasa Rawat Jalan,2024,Maret
2.16,Jasa Rawat Jalan,2024,April
3.67,Jasa Rawat Jalan,2024,Mei
3.67,Jasa Rawat Jalan,2024,Juni
3.67,Jasa Rawat Jalan,2024,Juli
3.67,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
0,Jasa Kesehatan Lainnya,2024,Januari
0,Jasa Kesehatan Lainnya,2024,Februari
0,Jasa Kesehatan Lainnya,2024,Maret
0,Jasa Kesehatan Lainnya,2024,April
0,Jasa Kesehatan Lainnya,2024,Mei
0,Jasa Kesehatan Lainnya,2024,Juni
0,Jasa Kesehatan Lainnya,2024,Juli
0,Jasa Kesehatan Lainnya,2024,Agustus
1.54,Transportasi,2024,Januari
1.21,Transportasi,2024,Februari
0.83,Transportasi,2024,Maret
0.69,Transportasi,2024,April
0.66,Transportasi,2024,Mei
1.58,Transportasi,2024,Juni
1.99,Transportasi,2024,Juli
2.76,Transportasi,2024,Agustus
2.75,Pembelian Kendaraan,2024,Januari
1.77,Pembelian Kendaraan,2024,Februari
1.57,Pembelian Kendaraan,2024,Maret
1.15,Pembelian Kendaraan,2024,April
1.4,Pembelian Kendaraan,2024,Mei
1.28,Pembelian Kendaraan,2024,Juni
1.38,Pembelian Kendaraan,2024,Juli
3.41,Pembelian Kendaraan,2024,Agustus
1.03,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
0.99,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
0.35,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
0.07,Pengoperasian Peralatan Transportasi Pribadi,2024,April
0.15,Pengoperasian Peralatan Transportasi Pribadi,2024,Mei
1.84,Pengoperasian Peralatan Transportasi Pribadi,2024,Juni
2.47,Pengoperasian Peralatan Transportasi Pribadi,2024,Juli
2.63,Pengoperasian Peralatan Transportasi Pribadi,2024,Agustus
-0.25,Jasa Angkutan Penumpang,2024,Januari
0.02,Jasa Angkutan Penumpang,2024,Februari
0.83,Jasa Angkutan Penumpang,2024,Maret
3.73,Jasa Angkutan Penumpang,2024,April
0.97,Jasa Angkutan Penumpang,2024,Mei
0.88,Jasa Angkutan Penumpang,2024,Juni
0.89,Jasa Angkutan Penumpang,2024,Juli
0.96,Jasa Angkutan Penumpang,2024,Agustus
6.3,Jasa Pengiriman Barang,2024,Januari
6.3,Jasa Pengiriman Barang,2024,Februari
6.3,Jasa Pengiriman Barang,2024,Maret
6.3,Jasa Pengiriman Barang,2024,April
6.3,Jasa Pengiriman Barang,2024,Mei
0,Jasa Pengiriman Barang,2024,Juni
0,Jasa Pengiriman Barang,2024,Juli
0,Jasa Pengiriman Barang,2024,Agustus
-1.49,"Informasi, Komunikasi dan Jasa Keuangan",2024,Januari
-2.16,"Informasi, Komunikasi dan Jasa Keuangan",2024,Februari
-1.88,"Informasi, Komunikasi dan Jasa Keuangan",2024,Maret
-1.86,"Informasi, Komunikasi dan Jasa Keuangan",2024,April
-1.38,"Informasi, Komunikasi dan Jasa Keuangan",2024,Mei
