inflasi,kelompok,tahun,bulan
4.93,"Makanan, Minuman dan Tembakau",2024,Januari
7.08,"Makanan, Minuman dan Tembakau",2024,Februari
7.07,"Makanan, Minuman dan Tembakau",2024,Maret
7.79,"Makanan, Minuman dan Tembakau",2024,April
6.08,"Makanan, Minuman dan Tembakau",2024,Mei
5.54,"Makanan, Minuman dan Tembakau",2024,Juni
4.52,"Makanan, Minuman dan Tembakau",2024,Juli
4.47,"Makanan, Minuman dan Tembakau",2024,Agustus
5.04,Makanan,2024,Januari
7.21,Makanan,2024,Februari
7.3,Makanan,2024,Maret
8.35,Makanan,2024,April
6.04,Makanan,2024,Mei
5.3,Makanan,2024,Juni
4.35,Makanan,2024,Juli
4.37,Makanan,2024,Agustus
0.86,Minuman yang Tidak Beralkohol,2024,Januari
0.86,Minuman yang Tidak Beralkohol,2024,Februari
0.83,Minuman yang Tidak Beralkohol,2024,Maret
1.04,Minuman yang Tidak Beralkohol,2024,April
1.22,Minuman yang Tidak Beralkohol,2024,Mei
1.21,Minuman yang Tidak Beralkohol,2024,Juni
0.88,Minuman yang Tidak Beralkohol,2024,Juli
1.11,Minuman yang Tidak Beralkohol,2024,Agustus
6.15,Rokok dan Tembakau,2024,Januari
9.08,Rokok dan Tembakau,2024,Februari
8.49,Rokok dan Tembakau,2024,Maret
7.5,Rokok dan Tembakau,2024,April
8.48,Rokok dan Tembakau,2024,Mei
8.86,Rokok dan Tembakau,2024,Juni
7.07,Rokok dan Tembakau,2024,Juli
6.56,Rokok dan Tembakau,2024,Agustus
1.36,Pakaian dan Alas Kaki,2024,Januari
0.99,Pakaian dan Alas Kaki,2024,Februari
0.99,Pakaian dan Alas Kaki,2024,Maret
0.7,Pakaian dan Alas Kaki,2024,April
0.6,Pakaian dan Alas Kaki,2024,Mei
0.57,Pakaian dan Alas Kaki,2024,Juni
0.75,Pakaian dan Alas Kaki,2024,Juli
0.32,Pakaian dan Alas Kaki,2024,Agustus
1.73,Pakaian,2024,Januari
1.25,Pakaian,2024,Februari
1.25,Pakaian,2024,Maret
0.9,Pakaian,2024,April
0.8,Pakaian,2024,Mei
0.72,Pakaian,2024,Juni
0.87,Pakaian,2024,Juli
0.31,Pakaian,2024,Agustus
0.02,Alas Kaki,2024,Januari
0.07,Alas Kaki,2024,Februari
0.07,Alas Kaki,2024,Maret
-0.01,Alas Kaki,2024,April
-0.05,Alas Kaki,2024,Mei
0.05,Alas Kaki,2024,Juni
0.34,Alas Kaki,2024,Juli
0.34,Alas Kaki,2024,Agustus
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.23,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.23,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.23,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.21,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.28,Sewa dan Kontrak Rumah,2024,Januari
0.28,Sewa dan Kontrak Rumah,2024,Februari
0.28,Sewa dan Kontrak Rumah,2024,Maret
0.28,Sewa dan Kontrak Rumah,2024,April
0.28,Sewa dan Kontrak Rumah,2024,Mei
0.28,Sewa dan Kontrak Rumah,2024,Juni
0.28,Sewa dan Kontrak Rumah,2024,Juli
0.28,Sewa dan Kontrak Rumah,2024,Agustus
0.4,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.43,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.36,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.37,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.38,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.4,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.42,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.42,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.85,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.85,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.85,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.85,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.85,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.84,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.83,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.83,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.34,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.36,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.45,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.56,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
0.51,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
0.48,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.58,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.56,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
0.58,"Furnitur, Perlengkapan dan Karpet",2024,Januari
1.02,"Furnitur, Perlengkapan dan Karpet",2024,Februari
1.02,"Furnitur, Perlengkapan dan Karpet",2024,Maret
1.02,"Furnitur, Perlengkapan dan Karpet",2024,April
1.02,"Furnitur, Perlengkapan dan Karpet",2024,Mei
1.02,"Furnitur, Perlengkapan dan Karpet",2024,Juni
1.34,"Furnitur, Perlengkapan dan Karpet",2024,Juli
1.34,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0,Tekstil Rumah Tangga,2024,Januari
0,Tekstil Rumah Tangga,2024,Februari
0,Tekstil Rumah Tangga,2024,Maret
0,Tekstil Rumah Tangga,2024,April
0,Tekstil Rumah Tangga,2024,Mei
0,Tekstil Rumah Tangga,2024,Juni
0,Tekstil Rumah Tangga,2024,Juli
0,Tekstil Rumah Tangga,2024,Agustus
