inflasi,kelompok,tahun,bulan
2.83,"Makanan, Minuman dan Tembakau",2024,Januari
3.61,"Makanan, Minuman dan Tembakau",2024,Februari
6.45,"Makanan, Minuman dan Tembakau",2024,Maret
6.31,"Makanan, Minuman dan Tembakau",2024,April
7.08,"Makanan, Minuman dan Tembakau",2024,Mei
6.36,"Makanan, Minuman dan Tembakau",2024,Juni
2.96,"Makanan, Minuman dan Tembakau",2024,Juli
1.57,"Makanan, Minuman dan Tembakau",2024,Agustus
2.37,Makanan,2024,Januari
3.34,Makanan,2024,Februari
6.92,Makanan,2024,Maret
6.79,Makanan,2024,April
7.75,Makanan,2024,Mei
6.88,Makanan,2024,Juni
2.74,Makanan,2024,Juli
1.14,Makanan,2024,Agustus
2.02,Minuman yang Tidak Beralkohol,2024,Januari
1.99,Minuman yang Tidak Beralkohol,2024,Februari
1.82,Minuman yang Tidak Beralkohol,2024,Maret
2.28,Minuman yang Tidak Beralkohol,2024,April
2.45,Minuman yang Tidak Beralkohol,2024,Mei
2.13,Minuman yang Tidak Beralkohol,2024,Juni
2.07,Minuman yang Tidak Beralkohol,2024,Juli
2.13,Minuman yang Tidak Beralkohol,2024,Agustus
6,Rokok dan Tembakau,2024,Januari
5.95,Rokok dan Tembakau,2024,Februari
5.58,Rokok dan Tembakau,2024,Maret
5.23,Rokok dan Tembakau,2024,April
5.05,Rokok dan Tembakau,2024,Mei
4.98,Rokok dan Tembakau,2024,Juni
4.75,Rokok dan Tembakau,2024,Juli
3.84,Rokok dan Tembakau,2024,Agustus
0.83,Pakaian dan Alas Kaki,2024,Januari
0.53,Pakaian dan Alas Kaki,2024,Februari
0.6,Pakaian dan Alas Kaki,2024,Maret
0.58,Pakaian dan Alas Kaki,2024,April
0.56,Pakaian dan Alas Kaki,2024,Mei
0.26,Pakaian dan Alas Kaki,2024,Juni
0.26,Pakaian dan Alas Kaki,2024,Juli
0.26,Pakaian dan Alas Kaki,2024,Agustus
0.93,Pakaian,2024,Januari
0.57,Pakaian,2024,Februari
0.63,Pakaian,2024,Maret
0.63,Pakaian,2024,April
0.62,Pakaian,2024,Mei
0.25,Pakaian,2024,Juni
0.25,Pakaian,2024,Juli
0.25,Pakaian,2024,Agustus
0.34,Alas Kaki,2024,Januari
0.36,Alas Kaki,2024,Februari
0.38,Alas Kaki,2024,Maret
0.3,Alas Kaki,2024,April
0.3,Alas Kaki,2024,Mei
0.3,Alas Kaki,2024,Juni
0.29,Alas Kaki,2024,Juli
0.29,Alas Kaki,2024,Agustus
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.01,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.02,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.09,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.16,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.82,Sewa dan Kontrak Rumah,2024,Januari
0.05,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0.09,Sewa dan Kontrak Rumah,2024,Mei
0.09,Sewa dan Kontrak Rumah,2024,Juni
0.18,Sewa dan Kontrak Rumah,2024,Juli
0.29,Sewa dan Kontrak Rumah,2024,Agustus
-0.56,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.01,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.08,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.1,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.14,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.21,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
