inflasi,kelompok,tahun,bulan
4.21,"Makanan, Minuman dan Tembakau",2024,Januari
5.95,"Makanan, Minuman dan Tembakau",2024,Februari
6.66,"Makanan, Minuman dan Tembakau",2024,Maret
6.36,"Makanan, Minuman dan Tembakau",2024,April
4.68,"Makanan, Minuman dan Tembakau",2024,Mei
2.89,"Makanan, Minuman dan Tembakau",2024,Juni
3.33,"Makanan, Minuman dan Tembakau",2024,Juli
2.73,"Makanan, Minuman dan Tembakau",2024,Agustus
3.65,Makanan,2024,Januari
5.82,Makanan,2024,Februari
6.81,Makanan,2024,Maret
6.44,Makanan,2024,April
4.56,Makanan,2024,Mei
2.11,Makanan,2024,Juni
2.63,Makanan,2024,Juli
1.54,Makanan,2024,Agustus
2.71,Minuman yang Tidak Beralkohol,2024,Januari
2.87,Minuman yang Tidak Beralkohol,2024,Februari
2.4,Minuman yang Tidak Beralkohol,2024,Maret
3.04,Minuman yang Tidak Beralkohol,2024,April
2.72,Minuman yang Tidak Beralkohol,2024,Mei
5.59,Minuman yang Tidak Beralkohol,2024,Juni
5.6,Minuman yang Tidak Beralkohol,2024,Juli
9.01,Minuman yang Tidak Beralkohol,2024,Agustus
8.51,Rokok dan Tembakau,2024,Januari
8.24,Rokok dan Tembakau,2024,Februari
7.64,Rokok dan Tembakau,2024,Maret
7.37,Rokok dan Tembakau,2024,April
6.34,Rokok dan Tembakau,2024,Mei
6.56,Rokok dan Tembakau,2024,Juni
6.66,Rokok dan Tembakau,2024,Juli
7.41,Rokok dan Tembakau,2024,Agustus
3.29,Pakaian dan Alas Kaki,2024,Januari
3.57,Pakaian dan Alas Kaki,2024,Februari
3.68,Pakaian dan Alas Kaki,2024,Maret
2.18,Pakaian dan Alas Kaki,2024,April
2.05,Pakaian dan Alas Kaki,2024,Mei
1.49,Pakaian dan Alas Kaki,2024,Juni
1.23,Pakaian dan Alas Kaki,2024,Juli
1.12,Pakaian dan Alas Kaki,2024,Agustus
3.42,Pakaian,2024,Januari
3.77,Pakaian,2024,Februari
3.9,Pakaian,2024,Maret
2.56,Pakaian,2024,April
2.38,Pakaian,2024,Mei
1.76,Pakaian,2024,Juni
1.48,Pakaian,2024,Juli
1.35,Pakaian,2024,Agustus
2.74,Alas Kaki,2024,Januari
2.74,Alas Kaki,2024,Februari
2.74,Alas Kaki,2024,Maret
0.62,Alas Kaki,2024,April
0.61,Alas Kaki,2024,Mei
0.28,Alas Kaki,2024,Juni
0.19,Alas Kaki,2024,Juli
0.19,Alas Kaki,2024,Agustus
0.84,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.84,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.78,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.78,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.9,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.96,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
