inflasi,kelompok,tahun,bulan
5.01,"Makanan, Minuman dan Tembakau",2024,Januari
6.51,"Makanan, Minuman dan Tembakau",2024,Februari
8.47,"Makanan, Minuman dan Tembakau",2024,Maret
8.05,"Makanan, Minuman dan Tembakau",2024,April
6.12,"Makanan, Minuman dan Tembakau",2024,Mei
4.72,"Makanan, Minuman dan Tembakau",2024,Juni
3.58,"Makanan, Minuman dan Tembakau",2024,Juli
3.11,"Makanan, Minuman dan Tembakau",2024,Agustus
4.82,Makanan,2024,Januari
6.88,Makanan,2024,Februari
9.23,Makanan,2024,Maret
8.89,Makanan,2024,April
6.68,Makanan,2024,Mei
4.86,Makanan,2024,Juni
3.4,Makanan,2024,Juli
2.72,Makanan,2024,Agustus
3.8,Minuman yang Tidak Beralkohol,2024,Januari
2.95,Minuman yang Tidak Beralkohol,2024,Februari
2.75,Minuman yang Tidak Beralkohol,2024,Maret
2.81,Minuman yang Tidak Beralkohol,2024,April
2.6,Minuman yang Tidak Beralkohol,2024,Mei
3.23,Minuman yang Tidak Beralkohol,2024,Juni
3.47,Minuman yang Tidak Beralkohol,2024,Juli
4.67,Minuman yang Tidak Beralkohol,2024,Agustus
7.58,Rokok dan Tembakau,2024,Januari
6.54,Rokok dan Tembakau,2024,Februari
7,Rokok dan Tembakau,2024,Maret
5.51,Rokok dan Tembakau,2024,April
4.51,Rokok dan Tembakau,2024,Mei
4.85,Rokok dan Tembakau,2024,Juni
5.09,Rokok dan Tembakau,2024,Juli
5.03,Rokok dan Tembakau,2024,Agustus
1.53,Pakaian dan Alas Kaki,2024,Januari
1.51,Pakaian dan Alas Kaki,2024,Februari
1.41,Pakaian dan Alas Kaki,2024,Maret
1.16,Pakaian dan Alas Kaki,2024,April
1.16,Pakaian dan Alas Kaki,2024,Mei
0.87,Pakaian dan Alas Kaki,2024,Juni
0.75,Pakaian dan Alas Kaki,2024,Juli
0.85,Pakaian dan Alas Kaki,2024,Agustus
1.67,Pakaian,2024,Januari
1.66,Pakaian,2024,Februari
1.53,Pakaian,2024,Maret
1.24,Pakaian,2024,April
1.23,Pakaian,2024,Mei
1.1,Pakaian,2024,Juni
0.96,Pakaian,2024,Juli
1.07,Pakaian,2024,Agustus
0.93,Alas Kaki,2024,Januari
0.93,Alas Kaki,2024,Februari
0.94,Alas Kaki,2024,Maret
0.89,Alas Kaki,2024,April
0.89,Alas Kaki,2024,Mei
-0.04,Alas Kaki,2024,Juni
-0.04,Alas Kaki,2024,Juli
-0.04,Alas Kaki,2024,Agustus
-0.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.06,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.12,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.25,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.32,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.14,Sewa dan Kontrak Rumah,2024,Januari
0.14,Sewa dan Kontrak Rumah,2024,Februari
0.14,Sewa dan Kontrak Rumah,2024,Maret
0.09,Sewa dan Kontrak Rumah,2024,April
0.09,Sewa dan Kontrak Rumah,2024,Mei
0.07,Sewa dan Kontrak Rumah,2024,Juni
0.07,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
-0.24,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.29,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-1.08,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-1.26,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-1.33,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-1.25,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.8,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-0.56,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.06,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.06,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.24,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.19,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.19,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.19,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.07,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.17,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.26,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
1.41,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.37,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.24,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
1.25,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
1.25,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
2.08,"Furnitur, Perlengkapan dan Karpet",2024,Januari
1.82,"Furnitur, Perlengkapan dan Karpet",2024,Februari
1.82,"Furnitur, Perlengkapan dan Karpet",2024,Maret
1.82,"Furnitur, Perlengkapan dan Karpet",2024,April
1.82,"Furnitur, Perlengkapan dan Karpet",2024,Mei
1.82,"Furnitur, Perlengkapan dan Karpet",2024,Juni
1.95,"Furnitur, Perlengkapan dan Karpet",2024,Juli
1.95,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.38,Tekstil Rumah Tangga,2024,Januari
0.38,Tekstil Rumah Tangga,2024,Februari
0.38,Tekstil Rumah Tangga,2024,Maret
0,Tekstil Rumah Tangga,2024,April
0,Tekstil Rumah Tangga,2024,Mei
0,Tekstil Rumah Tangga,2024,Juni
0.92,Tekstil Rumah Tangga,2024,Juli
0.92,Tekstil Rumah Tangga,2024,Agustus
-0.8,Peralatan Rumah Tangga,2024,Januari
-0.58,Peralatan Rumah Tangga,2024,Februari
-0.41,Peralatan Rumah Tangga,2024,Maret
0.02,Peralatan Rumah Tangga,2024,April
0.32,Peralatan Rumah Tangga,2024,Mei
0.15,Peralatan Rumah Tangga,2024,Juni
0.32,Peralatan Rumah Tangga,2024,Juli
0.53,Peralatan Rumah Tangga,2024,Agustus
1.55,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
0.5,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
1.28,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
1.51,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
1.93,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
2.47,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
2.25,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
1.9,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
3.68,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0.22,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
0.22,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
0.58,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
0.58,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0.24,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
1.21,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
1.62,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
1.65,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
1.8,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
1.61,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
1.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
1.28,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
1.26,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
