inflasi,kelompok,tahun,bulan
4.61,"Makanan, Minuman dan Tembakau",2024,Januari
6.89,"Makanan, Minuman dan Tembakau",2024,Februari
9.17,"Makanan, Minuman dan Tembakau",2024,Maret
9.1,"Makanan, Minuman dan Tembakau",2024,April
6.14,"Makanan, Minuman dan Tembakau",2024,Mei
5.93,"Makanan, Minuman dan Tembakau",2024,Juni
4.31,"Makanan, Minuman dan Tembakau",2024,Juli
4.1,"Makanan, Minuman dan Tembakau",2024,Agustus
3.72,Makanan,2024,Januari
7.3,Makanan,2024,Februari
10.17,Makanan,2024,Maret
10.35,Makanan,2024,April
6.38,Makanan,2024,Mei
5.78,Makanan,2024,Juni
3.35,Makanan,2024,Juli
2.96,Makanan,2024,Agustus
2.62,Minuman yang Tidak Beralkohol,2024,Januari
2.58,Minuman yang Tidak Beralkohol,2024,Februari
3.17,Minuman yang Tidak Beralkohol,2024,Maret
2.85,Minuman yang Tidak Beralkohol,2024,April
2.16,Minuman yang Tidak Beralkohol,2024,Mei
3.63,Minuman yang Tidak Beralkohol,2024,Juni
4.26,Minuman yang Tidak Beralkohol,2024,Juli
5.07,Minuman yang Tidak Beralkohol,2024,Agustus
9.49,Rokok dan Tembakau,2024,Januari
7.35,Rokok dan Tembakau,2024,Februari
7.95,Rokok dan Tembakau,2024,Maret
7.03,Rokok dan Tembakau,2024,April
7.1,Rokok dan Tembakau,2024,Mei
7.71,Rokok dan Tembakau,2024,Juni
8.24,Rokok dan Tembakau,2024,Juli
8.31,Rokok dan Tembakau,2024,Agustus
0.38,Pakaian dan Alas Kaki,2024,Januari
0.37,Pakaian dan Alas Kaki,2024,Februari
1.07,Pakaian dan Alas Kaki,2024,Maret
0.84,Pakaian dan Alas Kaki,2024,April
0.65,Pakaian dan Alas Kaki,2024,Mei
0.75,Pakaian dan Alas Kaki,2024,Juni
0.97,Pakaian dan Alas Kaki,2024,Juli
0.98,Pakaian dan Alas Kaki,2024,Agustus
0.44,Pakaian,2024,Januari
0.38,Pakaian,2024,Februari
0.94,Pakaian,2024,Maret
0.49,Pakaian,2024,April
0.2,Pakaian,2024,Mei
0.33,Pakaian,2024,Juni
0.57,Pakaian,2024,Juli
0.53,Pakaian,2024,Agustus
0.17,Alas Kaki,2024,Januari
0.31,Alas Kaki,2024,Februari
1.42,Alas Kaki,2024,Maret
2.02,Alas Kaki,2024,April
2.18,Alas Kaki,2024,Mei
2.2,Alas Kaki,2024,Juni
2.3,Alas Kaki,2024,Juli
2.45,Alas Kaki,2024,Agustus
0.62,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.55,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.51,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.28,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.3,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.31,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
2.36,Sewa dan Kontrak Rumah,2024,Januari
2.36,Sewa dan Kontrak Rumah,2024,Februari
2.36,Sewa dan Kontrak Rumah,2024,Maret
2.36,Sewa dan Kontrak Rumah,2024,April
2.57,Sewa dan Kontrak Rumah,2024,Mei
1.7,Sewa dan Kontrak Rumah,2024,Juni
1.69,Sewa dan Kontrak Rumah,2024,Juli
1.69,Sewa dan Kontrak Rumah,2024,Agustus
0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.08,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-0.33,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-0.3,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-0.07,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.1,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.2,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.07,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.11,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
1.12,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.47,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
