inflasi,kelompok,tahun,bulan
2.64,"Makanan, Minuman dan Tembakau",2024,Januari
4.41,"Makanan, Minuman dan Tembakau",2024,Februari
5.04,"Makanan, Minuman dan Tembakau",2024,Maret
4.49,"Makanan, Minuman dan Tembakau",2024,April
3.31,"Makanan, Minuman dan Tembakau",2024,Mei
1.98,"Makanan, Minuman dan Tembakau",2024,Juni
1.82,"Makanan, Minuman dan Tembakau",2024,Juli
1.28,"Makanan, Minuman dan Tembakau",2024,Agustus
1.93,Makanan,2024,Januari
4.16,Makanan,2024,Februari
5.09,Makanan,2024,Maret
4.41,Makanan,2024,April
2.51,Makanan,2024,Mei
0.77,Makanan,2024,Juni
0.56,Makanan,2024,Juli
-0.07,Makanan,2024,Agustus
1.87,Minuman yang Tidak Beralkohol,2024,Januari
2.01,Minuman yang Tidak Beralkohol,2024,Februari
2.65,Minuman yang Tidak Beralkohol,2024,Maret
3.33,Minuman yang Tidak Beralkohol,2024,April
3.52,Minuman yang Tidak Beralkohol,2024,Mei
4.5,Minuman yang Tidak Beralkohol,2024,Juni
4.72,Minuman yang Tidak Beralkohol,2024,Juli
5.15,Minuman yang Tidak Beralkohol,2024,Agustus
7.89,Rokok dan Tembakau,2024,Januari
6.85,Rokok dan Tembakau,2024,Februari
5.47,Rokok dan Tembakau,2024,Maret
5.39,Rokok dan Tembakau,2024,April
8.73,Rokok dan Tembakau,2024,Mei
9.51,Rokok dan Tembakau,2024,Juni
9.51,Rokok dan Tembakau,2024,Juli
9.27,Rokok dan Tembakau,2024,Agustus
1.47,Pakaian dan Alas Kaki,2024,Januari
1.49,Pakaian dan Alas Kaki,2024,Februari
1.36,Pakaian dan Alas Kaki,2024,Maret
1.21,Pakaian dan Alas Kaki,2024,April
1.21,Pakaian dan Alas Kaki,2024,Mei
1.16,Pakaian dan Alas Kaki,2024,Juni
0.97,Pakaian dan Alas Kaki,2024,Juli
0.68,Pakaian dan Alas Kaki,2024,Agustus
1.77,Pakaian,2024,Januari
1.78,Pakaian,2024,Februari
1.63,Pakaian,2024,Maret
1.45,Pakaian,2024,April
1.45,Pakaian,2024,Mei
1.39,Pakaian,2024,Juni
1.14,Pakaian,2024,Juli
0.8,Pakaian,2024,Agustus
0.16,Alas Kaki,2024,Januari
0.16,Alas Kaki,2024,Februari
0.16,Alas Kaki,2024,Maret
0.16,Alas Kaki,2024,April
0.16,Alas Kaki,2024,Mei
0.16,Alas Kaki,2024,Juni
0.13,Alas Kaki,2024,Juli
0.13,Alas Kaki,2024,Agustus
0.76,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.75,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.72,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.72,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.62,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.13,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.18,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.13,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.66,Sewa dan Kontrak Rumah,2024,Januari
0.63,Sewa dan Kontrak Rumah,2024,Februari
0.63,Sewa dan Kontrak Rumah,2024,Maret
0.63,Sewa dan Kontrak Rumah,2024,April
0.63,Sewa dan Kontrak Rumah,2024,Mei
0.63,Sewa dan Kontrak Rumah,2024,Juni
0.96,Sewa dan Kontrak Rumah,2024,Juli
0.82,Sewa dan Kontrak Rumah,2024,Agustus
0.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.35,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.29,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.34,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.15,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.05,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
1.03,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
1.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
0.98,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
0.98,Listrik dan Bahan Bakar Rumah Tangga,2024,April
0.79,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.09,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.18,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.18,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.85,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
2.01,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
2.14,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
1.88,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.62,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.38,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
0.83,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
