inflasi,kelompok,tahun,bulan
1.29,"Makanan, Minuman dan Tembakau",2024,Januari
1.6,"Makanan, Minuman dan Tembakau",2024,Februari
-0.26,"Makanan, Minuman dan Tembakau",2024,Maret
2.15,"Makanan, Minuman dan Tembakau",2024,April
-0.07,"Makanan, Minuman dan Tembakau",2024,Mei
0.17,"Makanan, Minuman dan Tembakau",2024,Juni
1.38,"Makanan, Minuman dan Tembakau",2024,Juli
1.54,"Makanan, Minuman dan Tembakau",2024,Agustus
0.2,Makanan,2024,Januari
0.89,Makanan,2024,Februari
-0.79,Makanan,2024,Maret
1.95,Makanan,2024,April
-0.6,Makanan,2024,Mei
-0.28,Makanan,2024,Juni
1.19,Makanan,2024,Juli
1.38,Makanan,2024,Agustus
2.69,Minuman yang Tidak Beralkohol,2024,Januari
3.12,Minuman yang Tidak Beralkohol,2024,Februari
1.83,Minuman yang Tidak Beralkohol,2024,Maret
3.48,Minuman yang Tidak Beralkohol,2024,April
2.92,Minuman yang Tidak Beralkohol,2024,Mei
0.86,Minuman yang Tidak Beralkohol,2024,Juni
0.97,Minuman yang Tidak Beralkohol,2024,Juli
0.85,Minuman yang Tidak Beralkohol,2024,Agustus
10.56,Rokok dan Tembakau,2024,Januari
7.09,Rokok dan Tembakau,2024,Februari
3.23,Rokok dan Tembakau,2024,Maret
3.14,Rokok dan Tembakau,2024,April
3.05,Rokok dan Tembakau,2024,Mei
3.76,Rokok dan Tembakau,2024,Juni
3.44,Rokok dan Tembakau,2024,Juli
3.55,Rokok dan Tembakau,2024,Agustus
4.89,Pakaian dan Alas Kaki,2024,Januari
1.78,Pakaian dan Alas Kaki,2024,Februari
1.87,Pakaian dan Alas Kaki,2024,Maret
4.31,Pakaian dan Alas Kaki,2024,April
4.1,Pakaian dan Alas Kaki,2024,Mei
3.93,Pakaian dan Alas Kaki,2024,Juni
3.19,Pakaian dan Alas Kaki,2024,Juli
4.54,Pakaian dan Alas Kaki,2024,Agustus
4.47,Pakaian,2024,Januari
2.21,Pakaian,2024,Februari
2.28,Pakaian,2024,Maret
3.83,Pakaian,2024,April
3.57,Pakaian,2024,Mei
3.48,Pakaian,2024,Juni
2.84,Pakaian,2024,Juli
4.27,Pakaian,2024,Agustus
6.23,Alas Kaki,2024,Januari
0.49,Alas Kaki,2024,Februari
0.68,Alas Kaki,2024,Maret
5.82,Alas Kaki,2024,April
5.73,Alas Kaki,2024,Mei
5.28,Alas Kaki,2024,Juni
4.3,Alas Kaki,2024,Juli
5.36,Alas Kaki,2024,Agustus
0.5,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
