inflasi,kelompok,tahun,bulan
5.03,"Makanan, Minuman dan Tembakau",2024,Januari
6.66,"Makanan, Minuman dan Tembakau",2024,Februari
7.73,"Makanan, Minuman dan Tembakau",2024,Maret
7.82,"Makanan, Minuman dan Tembakau",2024,April
6.53,"Makanan, Minuman dan Tembakau",2024,Mei
4.61,"Makanan, Minuman dan Tembakau",2024,Juni
4.32,"Makanan, Minuman dan Tembakau",2024,Juli
3.82,"Makanan, Minuman dan Tembakau",2024,Agustus
5.24,Makanan,2024,Januari
7.4,Makanan,2024,Februari
8.75,Makanan,2024,Maret
8.99,Makanan,2024,April
7.42,Makanan,2024,Mei
5.11,Makanan,2024,Juni
4.39,Makanan,2024,Juli
3.72,Makanan,2024,Agustus
2.28,Minuman yang Tidak Beralkohol,2024,Januari
2.14,Minuman yang Tidak Beralkohol,2024,Februari
2.1,Minuman yang Tidak Beralkohol,2024,Maret
1.97,Minuman yang Tidak Beralkohol,2024,April
2.24,Minuman yang Tidak Beralkohol,2024,Mei
2,Minuman yang Tidak Beralkohol,2024,Juni
2.97,Minuman yang Tidak Beralkohol,2024,Juli
3.31,Minuman yang Tidak Beralkohol,2024,Agustus
5.78,Rokok dan Tembakau,2024,Januari
4.79,Rokok dan Tembakau,2024,Februari
4.43,Rokok dan Tembakau,2024,Maret
3.62,Rokok dan Tembakau,2024,April
3.12,Rokok dan Tembakau,2024,Mei
2.87,Rokok dan Tembakau,2024,Juni
5,Rokok dan Tembakau,2024,Juli
5.12,Rokok dan Tembakau,2024,Agustus
4.63,Pakaian dan Alas Kaki,2024,Januari
5.28,Pakaian dan Alas Kaki,2024,Februari
4.55,Pakaian dan Alas Kaki,2024,Maret
3.59,Pakaian dan Alas Kaki,2024,April
2.84,Pakaian dan Alas Kaki,2024,Mei
2.8,Pakaian dan Alas Kaki,2024,Juni
2.18,Pakaian dan Alas Kaki,2024,Juli
2.18,Pakaian dan Alas Kaki,2024,Agustus
3.5,Pakaian,2024,Januari
