inflasi,kelompok,tahun,bulan
7.49,"Makanan, Minuman dan Tembakau",2024,Januari
8.62,"Makanan, Minuman dan Tembakau",2024,Februari
10.05,"Makanan, Minuman dan Tembakau",2024,Maret
10.12,"Makanan, Minuman dan Tembakau",2024,April
7.91,"Makanan, Minuman dan Tembakau",2024,Mei
5.85,"Makanan, Minuman dan Tembakau",2024,Juni
4.37,"Makanan, Minuman dan Tembakau",2024,Juli
3.73,"Makanan, Minuman dan Tembakau",2024,Agustus
7.16,Makanan,2024,Januari
9.06,Makanan,2024,Februari
10.97,Makanan,2024,Maret
11.12,Makanan,2024,April
8.49,Makanan,2024,Mei
5.97,Makanan,2024,Juni
4.26,Makanan,2024,Juli
3.57,Makanan,2024,Agustus
7.14,Minuman yang Tidak Beralkohol,2024,Januari
6.23,Minuman yang Tidak Beralkohol,2024,Februari
5.74,Minuman yang Tidak Beralkohol,2024,Maret
5.59,Minuman yang Tidak Beralkohol,2024,April
5.69,Minuman yang Tidak Beralkohol,2024,Mei
6.03,Minuman yang Tidak Beralkohol,2024,Juni
5.4,Minuman yang Tidak Beralkohol,2024,Juli
4.71,Minuman yang Tidak Beralkohol,2024,Agustus
10.63,Rokok dan Tembakau,2024,Januari
6.6,Rokok dan Tembakau,2024,Februari
5.6,Rokok dan Tembakau,2024,Maret
5.18,Rokok dan Tembakau,2024,April
4.63,Rokok dan Tembakau,2024,Mei
4.72,Rokok dan Tembakau,2024,Juni
4.43,Rokok dan Tembakau,2024,Juli
4.43,Rokok dan Tembakau,2024,Agustus
1.34,Pakaian dan Alas Kaki,2024,Januari
0.98,Pakaian dan Alas Kaki,2024,Februari
1.14,Pakaian dan Alas Kaki,2024,Maret
1.3,Pakaian dan Alas Kaki,2024,April
1.24,Pakaian dan Alas Kaki,2024,Mei
0.94,Pakaian dan Alas Kaki,2024,Juni
0.82,Pakaian dan Alas Kaki,2024,Juli
0.72,Pakaian dan Alas Kaki,2024,Agustus
1.13,Pakaian,2024,Januari
0.75,Pakaian,2024,Februari
1,Pakaian,2024,Maret
1.16,Pakaian,2024,April
1.11,Pakaian,2024,Mei
0.9,Pakaian,2024,Juni
0.7,Pakaian,2024,Juli
0.59,Pakaian,2024,Agustus
2.24,Alas Kaki,2024,Januari
2.02,Alas Kaki,2024,Februari
1.74,Alas Kaki,2024,Maret
1.91,Alas Kaki,2024,April
1.78,Alas Kaki,2024,Mei
1.12,Alas Kaki,2024,Juni
1.36,Alas Kaki,2024,Juli
1.28,Alas Kaki,2024,Agustus
1.25,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
1.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.98,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.96,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.82,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.5,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.55,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
2.56,Sewa dan Kontrak Rumah,2024,Januari
2.25,Sewa dan Kontrak Rumah,2024,Februari
1.73,Sewa dan Kontrak Rumah,2024,Maret
0.62,Sewa dan Kontrak Rumah,2024,April
0.71,Sewa dan Kontrak Rumah,2024,Mei
0.71,Sewa dan Kontrak Rumah,2024,Juni
0.71,Sewa dan Kontrak Rumah,2024,Juli
0.71,Sewa dan Kontrak Rumah,2024,Agustus
3.56,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
3.49,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
3.5,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
3.84,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
3.6,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
2.75,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
2.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
2.9,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
2.28,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
2.28,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
2.28,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
2.28,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
2.28,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
2.28,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.37,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.14,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.1,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
0.88,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
0.68,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.53,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-0.29,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.19,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.21,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
-0.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
4.44,"Furnitur, Perlengkapan dan Karpet",2024,Januari
4.44,"Furnitur, Perlengkapan dan Karpet",2024,Februari
4.44,"Furnitur, Perlengkapan dan Karpet",2024,Maret
0.07,"Furnitur, Perlengkapan dan Karpet",2024,April
0.07,"Furnitur, Perlengkapan dan Karpet",2024,Mei
0.07,"Furnitur, Perlengkapan dan Karpet",2024,Juni
0.07,"Furnitur, Perlengkapan dan Karpet",2024,Juli
0.07,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
0.77,Tekstil Rumah Tangga,2024,Januari
0.16,Tekstil Rumah Tangga,2024,Februari
0.16,Tekstil Rumah Tangga,2024,Maret
0.08,Tekstil Rumah Tangga,2024,April
-0.11,Tekstil Rumah Tangga,2024,Mei
0.39,Tekstil Rumah Tangga,2024,Juni
0.39,Tekstil Rumah Tangga,2024,Juli
0.39,Tekstil Rumah Tangga,2024,Agustus
-0.09,Peralatan Rumah Tangga,2024,Januari
-0.69,Peralatan Rumah Tangga,2024,Februari
-2.18,Peralatan Rumah Tangga,2024,Maret
-3.02,Peralatan Rumah Tangga,2024,April
-2.89,Peralatan Rumah Tangga,2024,Mei
-2.52,Peralatan Rumah Tangga,2024,Juni
-2.55,Peralatan Rumah Tangga,2024,Juli
-1.61,Peralatan Rumah Tangga,2024,Agustus
-0.53,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
-1.97,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
-0.37,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
-1.78,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
-1.78,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
-2.19,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
-1.76,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
-3.35,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
0.35,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0.35,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
0.09,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0.07,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0.23,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
0.31,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
0.31,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0.31,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
0.36,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
0.29,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
0.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
0.4,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
0.5,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
0.43,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
0.37,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
0.28,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
0.58,Kesehatan,2024,Januari
0.25,Kesehatan,2024,Februari
0.77,Kesehatan,2024,Maret
0.84,Kesehatan,2024,April
0.68,Kesehatan,2024,Mei
0.68,Kesehatan,2024,Juni
0.7,Kesehatan,2024,Juli
0.56,Kesehatan,2024,Agustus
1.39,Obat-obatan dan Produk Kesehatan,2024,Januari
