inflasi,kelompok,tahun,bulan
5.27,"Makanan, Minuman dan Tembakau",2024,Januari
3.95,"Makanan, Minuman dan Tembakau",2024,Februari
5.55,"Makanan, Minuman dan Tembakau",2024,Maret
4.81,"Makanan, Minuman dan Tembakau",2024,April
7.39,"Makanan, Minuman dan Tembakau",2024,Mei
6.49,"Makanan, Minuman dan Tembakau",2024,Juni
4.17,"Makanan, Minuman dan Tembakau",2024,Juli
4.01,"Makanan, Minuman dan Tembakau",2024,Agustus
5.1,Makanan,2024,Januari
3.92,Makanan,2024,Februari
5.73,Makanan,2024,Maret
4.91,Makanan,2024,April
7.84,Makanan,2024,Mei
6.75,Makanan,2024,Juni
4.08,Makanan,2024,Juli
3.66,Makanan,2024,Agustus
0.89,Minuman yang Tidak Beralkohol,2024,Januari
1.27,Minuman yang Tidak Beralkohol,2024,Februari
2,Minuman yang Tidak Beralkohol,2024,Maret
1.87,Minuman yang Tidak Beralkohol,2024,April
1.79,Minuman yang Tidak Beralkohol,2024,Mei
2.27,Minuman yang Tidak Beralkohol,2024,Juni
2.33,Minuman yang Tidak Beralkohol,2024,Juli
2.7,Minuman yang Tidak Beralkohol,2024,Agustus
9.06,Rokok dan Tembakau,2024,Januari
5.8,Rokok dan Tembakau,2024,Februari
6.1,Rokok dan Tembakau,2024,Maret
5.68,Rokok dan Tembakau,2024,April
7.14,Rokok dan Tembakau,2024,Mei
6.9,Rokok dan Tembakau,2024,Juni
5.89,Rokok dan Tembakau,2024,Juli
7.25,Rokok dan Tembakau,2024,Agustus
-0.36,Pakaian dan Alas Kaki,2024,Januari
-0.47,Pakaian dan Alas Kaki,2024,Februari
-0.41,Pakaian dan Alas Kaki,2024,Maret
-0.72,Pakaian dan Alas Kaki,2024,April
-2.68,Pakaian dan Alas Kaki,2024,Mei
-3.84,Pakaian dan Alas Kaki,2024,Juni
-4,Pakaian dan Alas Kaki,2024,Juli
-3.6,Pakaian dan Alas Kaki,2024,Agustus
-0.16,Pakaian,2024,Januari
-0.05,Pakaian,2024,Februari
0.06,Pakaian,2024,Maret
-0.33,Pakaian,2024,April
-0.7,Pakaian,2024,Mei
-0.98,Pakaian,2024,Juni
-1.74,Pakaian,2024,Juli
-1.15,Pakaian,2024,Agustus
-1.06,Alas Kaki,2024,Januari
-1.89,Alas Kaki,2024,Februari
-2,Alas Kaki,2024,Maret
-2.04,Alas Kaki,2024,April
-9.46,Alas Kaki,2024,Mei
-13.63,Alas Kaki,2024,Juni
-11.81,Alas Kaki,2024,Juli
-11.98,Alas Kaki,2024,Agustus
0.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.2,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.06,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.09,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.1,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.05,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.07,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0.02,Sewa dan Kontrak Rumah,2024,Januari
0.03,Sewa dan Kontrak Rumah,2024,Februari
0.03,Sewa dan Kontrak Rumah,2024,Maret
0.03,Sewa dan Kontrak Rumah,2024,April
0.03,Sewa dan Kontrak Rumah,2024,Mei
0.03,Sewa dan Kontrak Rumah,2024,Juni
0.03,Sewa dan Kontrak Rumah,2024,Juli
0.02,Sewa dan Kontrak Rumah,2024,Agustus
3.24,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
3.28,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
3.26,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.79,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.55,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.55,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
0.93,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
0.78,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
