inflasi,kelompok,tahun,bulan
7.25,"Makanan, Minuman dan Tembakau",2024,Januari
6.45,"Makanan, Minuman dan Tembakau",2024,Februari
6.48,"Makanan, Minuman dan Tembakau",2024,Maret
7.35,"Makanan, Minuman dan Tembakau",2024,April
6.63,"Makanan, Minuman dan Tembakau",2024,Mei
5.02,"Makanan, Minuman dan Tembakau",2024,Juni
2.04,"Makanan, Minuman dan Tembakau",2024,Juli
1.98,"Makanan, Minuman dan Tembakau",2024,Agustus
6.11,Makanan,2024,Januari
5.22,Makanan,2024,Februari
6.54,Makanan,2024,Maret
7.85,Makanan,2024,April
6.45,Makanan,2024,Mei
4.41,Makanan,2024,Juni
0.94,Makanan,2024,Juli
0.61,Makanan,2024,Agustus
3.46,Minuman yang Tidak Beralkohol,2024,Januari
3.46,Minuman yang Tidak Beralkohol,2024,Februari
1.19,Minuman yang Tidak Beralkohol,2024,Maret
0.65,Minuman yang Tidak Beralkohol,2024,April
4.34,Minuman yang Tidak Beralkohol,2024,Mei
4.33,Minuman yang Tidak Beralkohol,2024,Juni
4.18,Minuman yang Tidak Beralkohol,2024,Juli
8.65,Minuman yang Tidak Beralkohol,2024,Agustus
16.64,Rokok dan Tembakau,2024,Januari
16.13,Rokok dan Tembakau,2024,Februari
7.88,Rokok dan Tembakau,2024,Maret
6.32,Rokok dan Tembakau,2024,April
8.58,Rokok dan Tembakau,2024,Mei
9.26,Rokok dan Tembakau,2024,Juni
8.55,Rokok dan Tembakau,2024,Juli
8.77,Rokok dan Tembakau,2024,Agustus
2.37,Pakaian dan Alas Kaki,2024,Januari
2.41,Pakaian dan Alas Kaki,2024,Februari
3.13,Pakaian dan Alas Kaki,2024,Maret
2.3,Pakaian dan Alas Kaki,2024,April
2.29,Pakaian dan Alas Kaki,2024,Mei
2.41,Pakaian dan Alas Kaki,2024,Juni
1.88,Pakaian dan Alas Kaki,2024,Juli
1.79,Pakaian dan Alas Kaki,2024,Agustus
2.59,Pakaian,2024,Januari
2.66,Pakaian,2024,Februari
3.55,Pakaian,2024,Maret
2.52,Pakaian,2024,April
2.51,Pakaian,2024,Mei
2.71,Pakaian,2024,Juni
2.09,Pakaian,2024,Juli
2.1,Pakaian,2024,Agustus
1.38,Alas Kaki,2024,Januari
1.32,Alas Kaki,2024,Februari
1.32,Alas Kaki,2024,Maret
1.32,Alas Kaki,2024,April
1.32,Alas Kaki,2024,Mei
1.1,Alas Kaki,2024,Juni
0.98,Alas Kaki,2024,Juli
0.47,Alas Kaki,2024,Agustus
-0.22,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
-0.63,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-1.15,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-1.15,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-1.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-1.12,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
-0.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
-0.48,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
0,Sewa dan Kontrak Rumah,2024,Januari
0,Sewa dan Kontrak Rumah,2024,Februari
0,Sewa dan Kontrak Rumah,2024,Maret
0,Sewa dan Kontrak Rumah,2024,April
0,Sewa dan Kontrak Rumah,2024,Mei
0,Sewa dan Kontrak Rumah,2024,Juni
0,Sewa dan Kontrak Rumah,2024,Juli
0,Sewa dan Kontrak Rumah,2024,Agustus
2.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
2.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
2.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
2.44,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
2.8,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
3.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
3.48,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
3.85,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
-0.57,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-1.42,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-2.51,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-2.51,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-2.51,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-2.51,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-1.12,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-1.23,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
-1.72,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
-2,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
-2.46,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
-1.23,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
-0.46,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
-0.48,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
-0.13,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
0.34,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
3.68,"Furnitur, Perlengkapan dan Karpet",2024,Januari
3.68,"Furnitur, Perlengkapan dan Karpet",2024,Februari
3.68,"Furnitur, Perlengkapan dan Karpet",2024,Maret
3.68,"Furnitur, Perlengkapan dan Karpet",2024,April
3.68,"Furnitur, Perlengkapan dan Karpet",2024,Mei
3.68,"Furnitur, Perlengkapan dan Karpet",2024,Juni
3.68,"Furnitur, Perlengkapan dan Karpet",2024,Juli
3.26,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
9.06,Tekstil Rumah Tangga,2024,Januari
9.06,Tekstil Rumah Tangga,2024,Februari
9.06,Tekstil Rumah Tangga,2024,Maret
9.06,Tekstil Rumah Tangga,2024,April
8.93,Tekstil Rumah Tangga,2024,Mei
8.93,Tekstil Rumah Tangga,2024,Juni
8.93,Tekstil Rumah Tangga,2024,Juli
16.24,Tekstil Rumah Tangga,2024,Agustus
-1.68,Peralatan Rumah Tangga,2024,Januari
-1.5,Peralatan Rumah Tangga,2024,Februari
-1.5,Peralatan Rumah Tangga,2024,Maret
-0.5,Peralatan Rumah Tangga,2024,April
-1.34,Peralatan Rumah Tangga,2024,Mei
0.43,Peralatan Rumah Tangga,2024,Juni
-0.16,Peralatan Rumah Tangga,2024,Juli
-0.16,Peralatan Rumah Tangga,2024,Agustus
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
0,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
2.91,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
3.01,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
3.01,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
3.01,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
3.01,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
2.76,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
2.76,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
2.76,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
2.76,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
-4.81,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
-5.37,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
-6.16,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
-4.6,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
-2.97,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
-3.38,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
-2.65,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
-2.69,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
2.95,Kesehatan,2024,Januari
2.82,Kesehatan,2024,Februari
3.16,Kesehatan,2024,Maret
3.16,Kesehatan,2024,April
3.44,Kesehatan,2024,Mei
3.44,Kesehatan,2024,Juni
1.37,Kesehatan,2024,Juli
1.2,Kesehatan,2024,Agustus
7.14,Obat-obatan dan Produk Kesehatan,2024,Januari
7.14,Obat-obatan dan Produk Kesehatan,2024,Februari
8.22,Obat-obatan dan Produk Kesehatan,2024,Maret
8.22,Obat-obatan dan Produk Kesehatan,2024,April
9.02,Obat-obatan dan Produk Kesehatan,2024,Mei
9.02,Obat-obatan dan Produk Kesehatan,2024,Juni
3.43,Obat-obatan dan Produk Kesehatan,2024,Juli
3.43,Obat-obatan dan Produk Kesehatan,2024,Agustus
2.9,Jasa Rawat Jalan,2024,Januari
2.17,Jasa Rawat Jalan,2024,Februari
2.17,Jasa Rawat Jalan,2024,Maret
2.17,Jasa Rawat Jalan,2024,April
2.17,Jasa Rawat Jalan,2024,Mei
2.17,Jasa Rawat Jalan,2024,Juni
0.96,Jasa Rawat Jalan,2024,Juli
0,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
1.33,Transportasi,2024,Januari
1.05,Transportasi,2024,Februari
0.69,Transportasi,2024,Maret
0.7,Transportasi,2024,April
0.69,Transportasi,2024,Mei
1.38,Transportasi,2024,Juni
1.44,Transportasi,2024,Juli
1.48,Transportasi,2024,Agustus
2.74,Pembelian Kendaraan,2024,Januari
0.91,Pembelian Kendaraan,2024,Februari
0.91,Pembelian Kendaraan,2024,Maret
0.91,Pembelian Kendaraan,2024,April
0.91,Pembelian Kendaraan,2024,Mei
0.7,Pembelian Kendaraan,2024,Juni
0.7,Pembelian Kendaraan,2024,Juli
-0.1,Pembelian Kendaraan,2024,Agustus
0.85,Pengoperasian Peralatan Transportasi Pribadi,2024,Januari
0.93,Pengoperasian Peralatan Transportasi Pribadi,2024,Februari
0.46,Pengoperasian Peralatan Transportasi Pribadi,2024,Maret
0.46,Pengoperasian Peralatan Transportasi Pribadi,2024,April
0.46,Pengoperasian Peralatan Transportasi Pribadi,2024,Mei
1.31,Pengoperasian Peralatan Transportasi Pribadi,2024,Juni
1.4,Pengoperasian Peralatan Transportasi Pribadi,2024,Juli
1.81,Pengoperasian Peralatan Transportasi Pribadi,2024,Agustus
2.73,Jasa Angkutan Penumpang,2024,Januari
1.9,Jasa Angkutan Penumpang,2024,Februari
1.79,Jasa Angkutan Penumpang,2024,Maret
1.79,Jasa Angkutan Penumpang,2024,April
1.79,Jasa Angkutan Penumpang,2024,Mei
2.42,Jasa Angkutan Penumpang,2024,Juni
2.41,Jasa Angkutan Penumpang,2024,Juli
1.22,Jasa Angkutan Penumpang,2024,Agustus
0,Jasa Pengiriman Barang,2024,Januari
0,Jasa Pengiriman Barang,2024,Februari
0,Jasa Pengiriman Barang,2024,Maret
0,Jasa Pengiriman Barang,2024,April
0,Jasa Pengiriman Barang,2024,Mei
0,Jasa Pengiriman Barang,2024,Juni
0,Jasa Pengiriman Barang,2024,Juli
0,Jasa Pengiriman Barang,2024,Agustus
0.02,"Informasi, Komunikasi dan Jasa Keuangan",2024,Januari
0.02,"Informasi, Komunikasi dan Jasa Keuangan",2024,Februari
0.02,"Informasi, Komunikasi dan Jasa Keuangan",2024,Maret
1.8,"Informasi, Komunikasi dan Jasa Keuangan",2024,April
1.8,"Informasi, Komunikasi dan Jasa Keuangan",2024,Mei
0.01,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juni
0.01,"Informasi, Komunikasi dan Jasa Keuangan",2024,Juli
0.01,"Informasi, Komunikasi dan Jasa Keuangan",2024,Agustus
-0.11,Peralatan Informasi dan Komunikasi,2024,Januari
-0.11,Peralatan Informasi dan Komunikasi,2024,Februari
-0.11,Peralatan Informasi dan Komunikasi,2024,Maret
4.99,Peralatan Informasi dan Komunikasi,2024,April
4.99,Peralatan Informasi dan Komunikasi,2024,Mei
-0.15,Peralatan Informasi dan Komunikasi,2024,Juni
-0.15,Peralatan Informasi dan Komunikasi,2024,Juli
-0.15,Peralatan Informasi dan Komunikasi,2024,Agustus
0.09,Layanan Informasi dan Komunikasi,2024,Januari
0.09,Layanan Informasi dan Komunikasi,2024,Februari
0.09,Layanan Informasi dan Komunikasi,2024,Maret
0.09,Layanan Informasi dan Komunikasi,2024,April
0.09,Layanan Informasi dan Komunikasi,2024,Mei
0.09,Layanan Informasi dan Komunikasi,2024,Juni
0.09,Layanan Informasi dan Komunikasi,2024,Juli
0.09,Layanan Informasi dan Komunikasi,2024,Agustus
0,Jasa Keuangan,2024,Januari
0,Jasa Keuangan,2024,Februari
0,Jasa Keuangan,2024,Maret
0,Jasa Keuangan,2024,April
0,Jasa Keuangan,2024,Mei
0,Jasa Keuangan,2024,Juni
0,Jasa Keuangan,2024,Juli
0,Jasa Keuangan,2024,Agustus
3.13,"Rekreasi, Olahraga dan Budaya",2024,Januari
3.13,"Rekreasi, Olahraga dan Budaya",2024,Februari
3.03,"Rekreasi, Olahraga dan Budaya",2024,Maret
3.03,"Rekreasi, Olahraga dan Budaya",2024,April
3.03,"Rekreasi, Olahraga dan Budaya",2024,Mei
2.54,"Rekreasi, Olahraga dan Budaya",2024,Juni
0.75,"Rekreasi, Olahraga dan Budaya",2024,Juli
0.67,"Rekreasi, Olahraga dan Budaya",2024,Agustus
2.22,Barang Rekreasi Lainnya dan Olahraga,2024,Januari
2.22,Barang Rekreasi Lainnya dan Olahraga,2024,Februari
1.87,Barang Rekreasi Lainnya dan Olahraga,2024,Maret
1.87,Barang Rekreasi Lainnya dan Olahraga,2024,April
1.87,Barang Rekreasi Lainnya dan Olahraga,2024,Mei
1.87,Barang Rekreasi Lainnya dan Olahraga,2024,Juni
1.87,Barang Rekreasi Lainnya dan Olahraga,2024,Juli
1.87,Barang Rekreasi Lainnya dan Olahraga,2024,Agustus
0,Layanan Rekreasi dan Olahraga,2024,Januari
0,Layanan Rekreasi dan Olahraga,2024,Februari
0,Layanan Rekreasi dan Olahraga,2024,Maret
0,Layanan Rekreasi dan Olahraga,2024,April
0,Layanan Rekreasi dan Olahraga,2024,Mei
0,Layanan Rekreasi dan Olahraga,2024,Juni
0,Layanan Rekreasi dan Olahraga,2024,Juli
0,Layanan Rekreasi dan Olahraga,2024,Agustus
4.33,"Koran, Buku dan Perlengkapan Sekolah",2024,Januari
4.33,"Koran, Buku dan Perlengkapan Sekolah",2024,Februari
4.33,"Koran, Buku dan Perlengkapan Sekolah",2024,Maret
