inflasi,kelompok,tahun,bulan
6.47,"Makanan, Minuman dan Tembakau",2024,Januari
7.43,"Makanan, Minuman dan Tembakau",2024,Februari
8.23,"Makanan, Minuman dan Tembakau",2024,Maret
7.14,"Makanan, Minuman dan Tembakau",2024,April
5.54,"Makanan, Minuman dan Tembakau",2024,Mei
4.07,"Makanan, Minuman dan Tembakau",2024,Juni
3.09,"Makanan, Minuman dan Tembakau",2024,Juli
2.42,"Makanan, Minuman dan Tembakau",2024,Agustus
6.44,Makanan,2024,Januari
8.21,Makanan,2024,Februari
9.37,Makanan,2024,Maret
7.91,Makanan,2024,April
5.84,Makanan,2024,Mei
3.95,Makanan,2024,Juni
2.93,Makanan,2024,Juli
1.96,Makanan,2024,Agustus
1.65,Minuman yang Tidak Beralkohol,2024,Januari
0.85,Minuman yang Tidak Beralkohol,2024,Februari
0.89,Minuman yang Tidak Beralkohol,2024,Maret
1.08,Minuman yang Tidak Beralkohol,2024,April
1.54,Minuman yang Tidak Beralkohol,2024,Mei
1.63,Minuman yang Tidak Beralkohol,2024,Juni
1.85,Minuman yang Tidak Beralkohol,2024,Juli
2.46,Minuman yang Tidak Beralkohol,2024,Agustus
9.25,Rokok dan Tembakau,2024,Januari
5.54,Rokok dan Tembakau,2024,Februari
4.54,Rokok dan Tembakau,2024,Maret
5.1,Rokok dan Tembakau,2024,April
5.51,Rokok dan Tembakau,2024,Mei
6.08,Rokok dan Tembakau,2024,Juni
4.71,Rokok dan Tembakau,2024,Juli
5.35,Rokok dan Tembakau,2024,Agustus
1.33,Pakaian dan Alas Kaki,2024,Januari
1.28,Pakaian dan Alas Kaki,2024,Februari
1.33,Pakaian dan Alas Kaki,2024,Maret
1.25,Pakaian dan Alas Kaki,2024,April
1.4,Pakaian dan Alas Kaki,2024,Mei
1.54,Pakaian dan Alas Kaki,2024,Juni
1.27,Pakaian dan Alas Kaki,2024,Juli
1.09,Pakaian dan Alas Kaki,2024,Agustus
1.53,Pakaian,2024,Januari
1.48,Pakaian,2024,Februari
1.41,Pakaian,2024,Maret
1.29,Pakaian,2024,April
1.46,Pakaian,2024,Mei
1.64,Pakaian,2024,Juni
1.31,Pakaian,2024,Juli
1.09,Pakaian,2024,Agustus
0.3,Alas Kaki,2024,Januari
0.3,Alas Kaki,2024,Februari
0.84,Alas Kaki,2024,Maret
1.04,Alas Kaki,2024,April
1.04,Alas Kaki,2024,Mei
1.04,Alas Kaki,2024,Juni
1.04,Alas Kaki,2024,Juli
1.04,Alas Kaki,2024,Agustus
0.36,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.31,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
0.68,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0.57,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.51,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.44,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
2.35,Sewa dan Kontrak Rumah,2024,Januari
2.35,Sewa dan Kontrak Rumah,2024,Februari
2.35,Sewa dan Kontrak Rumah,2024,Maret
2.11,Sewa dan Kontrak Rumah,2024,April
2.11,Sewa dan Kontrak Rumah,2024,Mei
2.11,Sewa dan Kontrak Rumah,2024,Juni
2.11,Sewa dan Kontrak Rumah,2024,Juli
1.11,Sewa dan Kontrak Rumah,2024,Agustus
0.98,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
0.19,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
0.18,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
