inflasi,kelompok,tahun,bulan
-0.51,"Makanan, Minuman dan Tembakau",2024,Januari
2.03,"Makanan, Minuman dan Tembakau",2024,Februari
5.46,"Makanan, Minuman dan Tembakau",2024,Maret
5.35,"Makanan, Minuman dan Tembakau",2024,April
4.68,"Makanan, Minuman dan Tembakau",2024,Mei
5.42,"Makanan, Minuman dan Tembakau",2024,Juni
3.91,"Makanan, Minuman dan Tembakau",2024,Juli
2.98,"Makanan, Minuman dan Tembakau",2024,Agustus
-1.92,Makanan,2024,Januari
1.34,Makanan,2024,Februari
5.72,Makanan,2024,Maret
5.53,Makanan,2024,April
4.58,Makanan,2024,Mei
5.51,Makanan,2024,Juni
3.36,Makanan,2024,Juli
2.47,Makanan,2024,Agustus
2.59,Minuman yang Tidak Beralkohol,2024,Januari
2.32,Minuman yang Tidak Beralkohol,2024,Februari
1.64,Minuman yang Tidak Beralkohol,2024,Maret
2.65,Minuman yang Tidak Beralkohol,2024,April
2.76,Minuman yang Tidak Beralkohol,2024,Mei
2.97,Minuman yang Tidak Beralkohol,2024,Juni
4.06,Minuman yang Tidak Beralkohol,2024,Juli
3.72,Minuman yang Tidak Beralkohol,2024,Agustus
5.71,Rokok dan Tembakau,2024,Januari
5.64,Rokok dan Tembakau,2024,Februari
5.64,Rokok dan Tembakau,2024,Maret
5.54,Rokok dan Tembakau,2024,April
5.97,Rokok dan Tembakau,2024,Mei
5.84,Rokok dan Tembakau,2024,Juni
6.64,Rokok dan Tembakau,2024,Juli
5.25,Rokok dan Tembakau,2024,Agustus
3.24,Pakaian dan Alas Kaki,2024,Januari
3.05,Pakaian dan Alas Kaki,2024,Februari
3.98,Pakaian dan Alas Kaki,2024,Maret
2.32,Pakaian dan Alas Kaki,2024,April
2.32,Pakaian dan Alas Kaki,2024,Mei
2.24,Pakaian dan Alas Kaki,2024,Juni
2.24,Pakaian dan Alas Kaki,2024,Juli
2.23,Pakaian dan Alas Kaki,2024,Agustus
3.9,Pakaian,2024,Januari
3.78,Pakaian,2024,Februari
4.8,Pakaian,2024,Maret
2.77,Pakaian,2024,April
2.77,Pakaian,2024,Mei
2.13,Pakaian,2024,Juni
2.13,Pakaian,2024,Juli
2.11,Pakaian,2024,Agustus
0.71,Alas Kaki,2024,Januari
0.27,Alas Kaki,2024,Februari
0.85,Alas Kaki,2024,Maret
0.61,Alas Kaki,2024,April
0.61,Alas Kaki,2024,Mei
2.65,Alas Kaki,2024,Juni
2.65,Alas Kaki,2024,Juli
2.65,Alas Kaki,2024,Agustus
0.56,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.33,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
0.19,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.23,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.17,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
-0.11,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.5,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.37,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.58,Sewa dan Kontrak Rumah,2024,Januari
1.58,Sewa dan Kontrak Rumah,2024,Februari
1.58,Sewa dan Kontrak Rumah,2024,Maret
1.18,Sewa dan Kontrak Rumah,2024,April
1.18,Sewa dan Kontrak Rumah,2024,Mei
1.18,Sewa dan Kontrak Rumah,2024,Juni
2.47,Sewa dan Kontrak Rumah,2024,Juli
2.47,Sewa dan Kontrak Rumah,2024,Agustus
-1.28,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-2.32,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-3.07,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
-4.45,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
-4.09,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
-3.77,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
-3.57,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
-4.18,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
0.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
-0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.02,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.04,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.01,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.05,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.15,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.94,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
