inflasi,kelompok,tahun,bulan
5.99,"Makanan, Minuman dan Tembakau",2024,Januari
5.73,"Makanan, Minuman dan Tembakau",2024,Februari
0.63,"Makanan, Minuman dan Tembakau",2024,Maret
3.08,"Makanan, Minuman dan Tembakau",2024,April
3.69,"Makanan, Minuman dan Tembakau",2024,Mei
3.45,"Makanan, Minuman dan Tembakau",2024,Juni
2.71,"Makanan, Minuman dan Tembakau",2024,Juli
1.2,"Makanan, Minuman dan Tembakau",2024,Agustus
6.01,Makanan,2024,Januari
6.12,Makanan,2024,Februari
0.22,Makanan,2024,Maret
3.05,Makanan,2024,April
3.49,Makanan,2024,Mei
3.19,Makanan,2024,Juni
2.33,Makanan,2024,Juli
0.45,Makanan,2024,Agustus
2.79,Minuman yang Tidak Beralkohol,2024,Januari
1.68,Minuman yang Tidak Beralkohol,2024,Februari
0.54,Minuman yang Tidak Beralkohol,2024,Maret
0.38,Minuman yang Tidak Beralkohol,2024,April
0.21,Minuman yang Tidak Beralkohol,2024,Mei
0.5,Minuman yang Tidak Beralkohol,2024,Juni
0.42,Minuman yang Tidak Beralkohol,2024,Juli
0.31,Minuman yang Tidak Beralkohol,2024,Agustus
6.76,Minuman Beralkohol,2024,Januari
6.31,Minuman Beralkohol,2024,Februari
7.34,Minuman Beralkohol,2024,Maret
7.34,Minuman Beralkohol,2024,April
11.04,Minuman Beralkohol,2024,Mei
11.04,Minuman Beralkohol,2024,Juni
11.05,Minuman Beralkohol,2024,Juli
11.05,Minuman Beralkohol,2024,Agustus
8.15,Rokok dan Tembakau,2024,Januari
4.61,Rokok dan Tembakau,2024,Februari
4.61,Rokok dan Tembakau,2024,Maret
5.27,Rokok dan Tembakau,2024,April
8.05,Rokok dan Tembakau,2024,Mei
8.05,Rokok dan Tembakau,2024,Juni
8.05,Rokok dan Tembakau,2024,Juli
9.37,Rokok dan Tembakau,2024,Agustus
1.54,Pakaian dan Alas Kaki,2024,Januari
0.72,Pakaian dan Alas Kaki,2024,Februari
0.65,Pakaian dan Alas Kaki,2024,Maret
-0.11,Pakaian dan Alas Kaki,2024,April
-0.91,Pakaian dan Alas Kaki,2024,Mei
-0.05,Pakaian dan Alas Kaki,2024,Juni
-0.24,Pakaian dan Alas Kaki,2024,Juli
-0.51,Pakaian dan Alas Kaki,2024,Agustus
1.55,Pakaian,2024,Januari
1.03,Pakaian,2024,Februari
1,Pakaian,2024,Maret
-0.02,Pakaian,2024,April
-0.05,Pakaian,2024,Mei
1.11,Pakaian,2024,Juni
0.91,Pakaian,2024,Juli
0.49,Pakaian,2024,Agustus
1.52,Alas Kaki,2024,Januari
-0.23,Alas Kaki,2024,Februari
-0.37,Alas Kaki,2024,Maret
-0.4,Alas Kaki,2024,April
-3.48,Alas Kaki,2024,Mei
-3.5,Alas Kaki,2024,Juni
-3.65,Alas Kaki,2024,Juli
-3.54,Alas Kaki,2024,Agustus
0.71,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Januari
0.53,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Februari
-0.4,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Maret
-0.14,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,April
-0.16,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Mei
0,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juni
0.81,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Juli
0.79,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",2024,Agustus
1.51,Sewa dan Kontrak Rumah,2024,Januari
0.96,Sewa dan Kontrak Rumah,2024,Februari
0.28,Sewa dan Kontrak Rumah,2024,Maret
0.28,Sewa dan Kontrak Rumah,2024,April
0.28,Sewa dan Kontrak Rumah,2024,Mei
0.28,Sewa dan Kontrak Rumah,2024,Juni
0.28,Sewa dan Kontrak Rumah,2024,Juli
0.28,Sewa dan Kontrak Rumah,2024,Agustus
-0.66,"Pemeliharaan, Perbaikan dan Keamanan",2024,Januari
-0.54,"Pemeliharaan, Perbaikan dan Keamanan",2024,Februari
-1.13,"Pemeliharaan, Perbaikan dan Keamanan",2024,Maret
0.12,"Pemeliharaan, Perbaikan dan Keamanan",2024,April
0.02,"Pemeliharaan, Perbaikan dan Keamanan",2024,Mei
0.66,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juni
2.39,"Pemeliharaan, Perbaikan dan Keamanan",2024,Juli
1.89,"Pemeliharaan, Perbaikan dan Keamanan",2024,Agustus
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Januari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Februari
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Maret
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,April
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Mei
0,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juni
4.6,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Juli
4.6,Penyediaan Air dan Layanan Perumahan Lainnya,2024,Agustus
1.17,Listrik dan Bahan Bakar Rumah Tangga,2024,Januari
1.12,Listrik dan Bahan Bakar Rumah Tangga,2024,Februari
-0.72,Listrik dan Bahan Bakar Rumah Tangga,2024,Maret
-0.9,Listrik dan Bahan Bakar Rumah Tangga,2024,April
-0.9,Listrik dan Bahan Bakar Rumah Tangga,2024,Mei
-0.9,Listrik dan Bahan Bakar Rumah Tangga,2024,Juni
-0.9,Listrik dan Bahan Bakar Rumah Tangga,2024,Juli
-0.55,Listrik dan Bahan Bakar Rumah Tangga,2024,Agustus
1.09,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Januari
1.02,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Februari
0.93,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Maret
0.94,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,April
1.18,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Mei
1.86,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juni
2.67,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Juli
2.62,"Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga",2024,Agustus
-1.58,"Furnitur, Perlengkapan dan Karpet",2024,Januari
-1.42,"Furnitur, Perlengkapan dan Karpet",2024,Februari
-1.42,"Furnitur, Perlengkapan dan Karpet",2024,Maret
-1.42,"Furnitur, Perlengkapan dan Karpet",2024,April
-0.68,"Furnitur, Perlengkapan dan Karpet",2024,Mei
-0.26,"Furnitur, Perlengkapan dan Karpet",2024,Juni
-0.04,"Furnitur, Perlengkapan dan Karpet",2024,Juli
-0.78,"Furnitur, Perlengkapan dan Karpet",2024,Agustus
-0.36,Tekstil Rumah Tangga,2024,Januari
-0.36,Tekstil Rumah Tangga,2024,Februari
-0.36,Tekstil Rumah Tangga,2024,Maret
-0.36,Tekstil Rumah Tangga,2024,April
-0.36,Tekstil Rumah Tangga,2024,Mei
-0.36,Tekstil Rumah Tangga,2024,Juni
-0.36,Tekstil Rumah Tangga,2024,Juli
-0.36,Tekstil Rumah Tangga,2024,Agustus
-1.24,Peralatan Rumah Tangga,2024,Januari
-1.55,Peralatan Rumah Tangga,2024,Februari
-1.34,Peralatan Rumah Tangga,2024,Maret
-1.34,Peralatan Rumah Tangga,2024,April
-1.41,Peralatan Rumah Tangga,2024,Mei
-1.2,Peralatan Rumah Tangga,2024,Juni
-1.24,Peralatan Rumah Tangga,2024,Juli
-0.98,Peralatan Rumah Tangga,2024,Agustus
2.44,Barang Pecah Belah dan Peralatan Makan Minum,2024,Januari
2.44,Barang Pecah Belah dan Peralatan Makan Minum,2024,Februari
2.1,Barang Pecah Belah dan Peralatan Makan Minum,2024,Maret
1.32,Barang Pecah Belah dan Peralatan Makan Minum,2024,April
1.32,Barang Pecah Belah dan Peralatan Makan Minum,2024,Mei
0.74,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juni
0.56,Barang Pecah Belah dan Peralatan Makan Minum,2024,Juli
0.56,Barang Pecah Belah dan Peralatan Makan Minum,2024,Agustus
1.95,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Januari
0.54,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Februari
0.54,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Maret
0.54,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,April
0.54,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Mei
0.54,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juni
0.54,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Juli
0.86,Peralatan dan Perlengkapan Perumahan dan Kebun,2024,Agustus
2.07,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Januari
2.09,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Februari
1.92,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Maret
2.08,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,April
2.34,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Mei
3.5,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juni
4.93,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Juli
4.92,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,2024,Agustus
1.48,Kesehatan,2024,Januari
0.56,Kesehatan,2024,Februari
0.56,Kesehatan,2024,Maret
0.56,Kesehatan,2024,April
0.89,Kesehatan,2024,Mei
0.54,Kesehatan,2024,Juni
0.49,Kesehatan,2024,Juli
1.1,Kesehatan,2024,Agustus
2.63,Obat-obatan dan Produk Kesehatan,2024,Januari
0.91,Obat-obatan dan Produk Kesehatan,2024,Februari
0.85,Obat-obatan dan Produk Kesehatan,2024,Maret
0.83,Obat-obatan dan Produk Kesehatan,2024,April
1.42,Obat-obatan dan Produk Kesehatan,2024,Mei
0.8,Obat-obatan dan Produk Kesehatan,2024,Juni
0.71,Obat-obatan dan Produk Kesehatan,2024,Juli
1.8,Obat-obatan dan Produk Kesehatan,2024,Agustus
0,Jasa Rawat Jalan,2024,Januari
0,Jasa Rawat Jalan,2024,Februari
0,Jasa Rawat Jalan,2024,Maret
0,Jasa Rawat Jalan,2024,April
0,Jasa Rawat Jalan,2024,Mei
0,Jasa Rawat Jalan,2024,Juni
0,Jasa Rawat Jalan,2024,Juli
0,Jasa Rawat Jalan,2024,Agustus
0,Jasa Rawat Inap,2024,Januari
0,Jasa Rawat Inap,2024,Februari
0,Jasa Rawat Inap,2024,Maret
0,Jasa Rawat Inap,2024,April
0,Jasa Rawat Inap,2024,Mei
0,Jasa Rawat Inap,2024,Juni
0,Jasa Rawat Inap,2024,Juli
0,Jasa Rawat Inap,2024,Agustus
0.64,Jasa Kesehatan Lainnya,2024,Januari
0.64,Jasa Kesehatan Lainnya,2024,Februari
1.32,Jasa Kesehatan Lainnya,2024,Maret
1.32,Jasa Kesehatan Lainnya,2024,April
1.32,Jasa Kesehatan Lainnya,2024,Mei
